CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Fenerbahce Dogus Istanbul,ULK,Valencia Basket,PAM,0,0,,,0.0,0.0,0.0,"GUDURIC, MARKO","VESELY, JAN","WANAMAKER, BRAD","MELLI, NICOLO","DATOME, LUIGI","DUBLJEVIC, BOJAN","DOORNEKAMP, AARON","THOMAS, WILL","GREEN, ERICK","VIVES, GUILLEM"
ULK,23.0,09:53,1,3,"GUDURIC, MARKO",P004004   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Valencia Basket,PAM,9,53,7.0,7.0,0.0,0.0,0.0,"GUDURIC, MARKO","VESELY, JAN","WANAMAKER, BRAD","MELLI, NICOLO","DATOME, LUIGI","DUBLJEVIC, BOJAN","DOORNEKAMP, AARON","THOMAS, WILL","GREEN, ERICK","VIVES, GUILLEM"
ULK,24.0,09:48,1,4,"VESELY, JAN",P000925   ,Off Rebound (1),O,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Valencia Basket,PAM,9,48,12.0,12.0,5.0,0.0,0.0,"GUDURIC, MARKO","VESELY, JAN","WANAMAKER, BRAD","MELLI, NICOLO","DATOME, LUIGI","DUBLJEVIC, BOJAN","DOORNEKAMP, AARON","THOMAS, WILL","GREEN, ERICK","VIVES, GUILLEM"
ULK,11.0,09:41,1,5,"WANAMAKER, BRAD",P005838   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Valencia Basket,PAM,9,41,19.0,19.0,7.0,2.0,0.0,"GUDURIC, MARKO","VESELY, JAN","WANAMAKER, BRAD","MELLI, NICOLO","DATOME, LUIGI","DUBLJEVIC, BOJAN","DOORNEKAMP, AARON","THOMAS, WILL","GREEN, ERICK","VIVES, GUILLEM"
ULK,11.0,09:41,1,6,"WANAMAKER, BRAD",P005838   ,Foul Drawn (1),RV,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Valencia Basket,PAM,9,41,19.0,19.0,0.0,0.0,0.0,"GUDURIC, MARKO","VESELY, JAN","WANAMAKER, BRAD","MELLI, NICOLO","DATOME, LUIGI","DUBLJEVIC, BOJAN","DOORNEKAMP, AARON","THOMAS, WILL","GREEN, ERICK","VIVES, GUILLEM"
PAM,14.0,09:41,1,7,"DUBLJEVIC, BOJAN",P002742   ,Foul (1),CM,2.0,0.0,Valencia Basket,Fenerbahce Dogus Istanbul,ULK,Valencia Basket,PAM,9,41,19.0,19.0,0.0,0.0,0.0,"GUDURIC, MARKO","VESELY, JAN","WANAMAKER, BRAD","MELLI, NICOLO","DATOME, LUIGI","DUBLJEVIC, BOJAN","DOORNEKAMP, AARON","THOMAS, WILL","GREEN, ERICK","VIVES, GUILLEM"
ULK,11.0,09:41,1,8,"WANAMAKER, BRAD",P005838   ,Missed Free Throw (0/1 -  2 pt),FTA,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Valencia Basket,PAM,9,41,19.0,19.0,0.0,0.0,0.0,"GUDURIC, MARKO","VESELY, JAN","WANAMAKER, BRAD","MELLI, NICOLO","DATOME, LUIGI","DUBLJEVIC, BOJAN","DOORNEKAMP, AARON","THOMAS, WILL","GREEN, ERICK","VIVES, GUILLEM"
PAM,42.0,09:41,1,9,"DOORNEKAMP, AARON",P002763   ,Def Rebound (1),D,2.0,0.0,Valencia Basket,Fenerbahce Dogus Istanbul,ULK,Valencia Basket,PAM,9,41,19.0,19.0,0.0,0.0,0.0,"GUDURIC, MARKO","VESELY, JAN","WANAMAKER, BRAD","MELLI, NICOLO","DATOME, LUIGI","DUBLJEVIC, BOJAN","DOORNEKAMP, AARON","THOMAS, WILL","GREEN, ERICK","VIVES, GUILLEM"
PAM,0.0,09:15,1,10,"THOMAS, WILL",P005856   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,0.0,Valencia Basket,Fenerbahce Dogus Istanbul,ULK,Valencia Basket,PAM,9,15,45.0,45.0,26.0,0.0,0.0,"GUDURIC, MARKO","VESELY, JAN","WANAMAKER, BRAD","MELLI, NICOLO","DATOME, LUIGI","DUBLJEVIC, BOJAN","DOORNEKAMP, AARON","THOMAS, WILL","GREEN, ERICK","VIVES, GUILLEM"
PAM,14.0,09:12,1,11,"DUBLJEVIC, BOJAN",P002742   ,Off Rebound (1),O,2.0,0.0,Valencia Basket,Fenerbahce Dogus Istanbul,ULK,Valencia Basket,PAM,9,12,48.0,48.0,3.0,0.0,0.0,"GUDURIC, MARKO","VESELY, JAN","WANAMAKER, BRAD","MELLI, NICOLO","DATOME, LUIGI","DUBLJEVIC, BOJAN","DOORNEKAMP, AARON","THOMAS, WILL","GREEN, ERICK","VIVES, GUILLEM"
