CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,0,0,,,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,24.0,09:59,1,3,"VESELY, JAN",P000925   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,9,59,1.0,1.0,0.0,0.0,2.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,23.0,09:59,1,4,"GUDURIC, MARKO",P004004   ,Assist (1),AS,0.0,2.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,9,59,1.0,1.0,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,44.0,09:59,1,5,"TAYLOR, BRYCE",P001988   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,9,59,1.0,1.0,0.0,3.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,3.0,09:59,1,6,"WRIGHT, DORELL",P008049   ,Assist (1),AS,3.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,9,59,1.0,1.0,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,23.0,09:11,1,7,"GUDURIC, MARKO",P004004   ,Turnover (1),TO,3.0,2.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,9,11,49.0,49.0,48.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,3.0,09:09,1,8,"WRIGHT, DORELL",P008049   ,Steal (1),ST,3.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,9,9,51.0,51.0,2.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,23.0,08:56,2,10,"GUDURIC, MARKO",P004004   ,Foul (1),CM,3.0,2.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,56,4.0,64.0,13.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,2.0,08:56,2,11,"HICKMAN, RICKY",P004159   ,Foul Drawn (1),RV,3.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,56,4.0,64.0,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,44.0,08:49,2,12,"TAYLOR, BRYCE",P001988   ,Missed Three Pointer (1/2 -  3 pt),3FGA,3.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,49,11.0,71.0,7.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,24.0,08:46,2,13,"VESELY, JAN",P000925   ,Def Rebound (1),D,3.0,2.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,46,14.0,74.0,3.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,11.0,08:41,2,14,"WANAMAKER, BRAD",P005838   ,Turnover (1),TO,3.0,2.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,41,19.0,79.0,5.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,44.0,08:39,2,15,"TAYLOR, BRYCE",P001988   ,Steal (1),ST,3.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,39,21.0,81.0,2.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,44.0,08:36,2,16,"TAYLOR, BRYCE",P001988   ,Two Pointer (1/1 -  5 pt),2FGM,5.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,36,24.0,84.0,3.0,2.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,2.0,08:23,2,17,"HICKMAN, RICKY",P004159   ,Foul (1),CM,5.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,23,37.0,97.0,13.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,24.0,08:23,2,18,"VESELY, JAN",P000925   ,Foul Drawn (1),RV,5.0,2.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,23,37.0,97.0,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,70.0,08:13,2,19,"DATOME, LUIGI",PCCD      ,Missed Three Pointer (0/1 -  0 pt),3FGA,5.0,2.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,13,47.0,107.0,10.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,3.0,08:10,2,20,"WRIGHT, DORELL",P008049   ,Def Rebound (1),D,5.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,10,50.0,110.0,3.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,3.0,08:00,2,21,"WRIGHT, DORELL",P008049   ,Turnover (1),TO,5.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,8,0,0.0,110.0,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,23.0,07:58,3,23,"GUDURIC, MARKO",P004004   ,Steal (1),ST,5.0,2.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,7,58,2.0,122.0,12.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,24.0,07:55,3,24,"VESELY, JAN",P000925   ,Two Pointer (2/2 -  4 pt),2FGM,5.0,4.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,7,55,5.0,125.0,3.0,0.0,2.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,11.0,07:53,3,25,"WANAMAKER, BRAD",P005838   ,Assist (1),AS,5.0,4.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,7,53,7.0,127.0,2.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,2.0,07:43,3,26,"HICKMAN, RICKY",P004159   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,4.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,7,43,17.0,137.0,10.0,2.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,24.0,07:21,3,27,"VESELY, JAN",P000925   ,Missed Two Pointer (2/3 -  4 pt),2FGA,7.0,4.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,7,21,39.0,159.0,22.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,,07:21,3,28,,          ,Def Rebound (1),D,7.0,4.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,7,21,39.0,159.0,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,3.0,07:05,3,29,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/1 -  0 pt),2FGA,7.0,4.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,7,5,55.0,175.0,16.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,,07:05,3,30,,          ,Def Rebound (2),D,7.0,4.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,7,5,55.0,175.0,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,43.0,07:05,3,31,"RADOSEVIC, LEON",PLEM      ,Foul (1),CM,7.0,4.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,7,5,55.0,175.0,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,4.0,07:05,3,32,"MELLI, NICOLO",P002849   ,Foul Drawn (1),RV,7.0,4.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,7,5,55.0,175.0,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,23.0,06:49,4,34,"GUDURIC, MARKO",P004004   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,7.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,6,49,11.0,191.0,16.0,0.0,3.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,24.0,06:46,4,35,"VESELY, JAN",P000925   ,Assist (1),AS,7.0,7.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,6,46,14.0,194.0,3.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,3.0,06:25,4,36,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/2 -  0 pt),2FGA,7.0,7.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,6,25,35.0,215.0,21.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,11.0,06:23,4,37,"WANAMAKER, BRAD",P005838   ,Def Rebound (1),D,7.0,7.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,6,23,37.0,217.0,2.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,11.0,06:18,4,38,"WANAMAKER, BRAD",P005838   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,10.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,6,18,42.0,222.0,5.0,0.0,3.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,3.0,06:00,5,40,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/3 -  0 pt),2FGA,7.0,10.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,6,0,0.0,240.0,18.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,23.0,05:56,5,41,"GUDURIC, MARKO",P004004   ,Def Rebound (1),D,7.0,10.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,5,56,4.0,244.0,4.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,23.0,05:44,5,42,"GUDURIC, MARKO",P004004   ,Missed Two Pointer (0/1 -  3 pt),2FGA,7.0,10.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,5,44,16.0,256.0,12.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,3.0,05:42,5,43,"WRIGHT, DORELL",P008049   ,Def Rebound (2),D,7.0,10.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,5,42,18.0,258.0,2.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,3.0,05:33,5,44,"WRIGHT, DORELL",P008049   ,Turnover (2),TO,7.0,10.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,5,33,27.0,267.0,9.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,23.0,05:32,5,45,"GUDURIC, MARKO",P004004   ,Steal (2),ST,7.0,10.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,5,32,28.0,268.0,1.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,23.0,05:26,5,46,"GUDURIC, MARKO",P004004   ,Two Pointer (1/2 -  5 pt),2FGM,7.0,12.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,5,26,34.0,274.0,6.0,0.0,2.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
ULK,4.0,05:26,5,64,"MELLI, NICOLO",P002849   ,Assist (1),AS,7.0,12.0,Fenerbahce Dogus Istanbul,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,5,26,34.0,274.0,0.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
BAM,43.0,05:09,5,47,"RADOSEVIC, LEON",PLEM      ,Turnover (1),TO,7.0,12.0,Brose Bamberg,Brose Bamberg,BAM,Fenerbahce Dogus Istanbul,ULK,5,9,51.0,291.0,17.0,0.0,0.0,"TAYLOR, BRYCE","WRIGHT, DORELL","HICKMAN, RICKY","RADOSEVIC, LEON","LO, MAODO","VESELY, JAN","GUDURIC, MARKO","WANAMAKER, BRAD","DATOME, LUIGI","MELLI, NICOLO"
