,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,CSKA Moscow,CSK,Valencia Basket,PAM,0,0,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
1,CSK,13.0,09:47,1,3,"RODRIGUEZ, SERGIO",PCVM      ,Turnover (1),TO,0.0,0.0,CSKA Moscow,CSKA Moscow,CSK,Valencia Basket,PAM,9,47,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
2,PAM,21.0,09:28,1,4,"PLEISS, TIBOR",PLHK      ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,9,28,0.0,2.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
3,PAM,32.0,09:25,1,5,"GREEN, ERICK",P005159   ,Assist (1),AS,0.0,2.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,9,25,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
4,CSK,13.0,09:14,1,6,"RODRIGUEZ, SERGIO",PCVM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,CSKA Moscow,CSKA Moscow,CSK,Valencia Basket,PAM,9,14,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
5,PAM,10.0,09:11,1,7,"RUDEZ, DAMJAN",PJZH      ,Def Rebound (1),D,0.0,2.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,9,11,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
6,PAM,10.0,08:57,2,9,"RUDEZ, DAMJAN",PJZH      ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,2.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,8,57,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
7,PAM,42.0,08:55,2,10,"DOORNEKAMP, AARON",P002763   ,Off Rebound (1),O,0.0,2.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,8,55,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
8,PAM,42.0,08:49,2,11,"DOORNEKAMP, AARON",P002763   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,4.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,8,49,0.0,2.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
9,PAM,10.0,08:46,2,12,"RUDEZ, DAMJAN",PJZH      ,Assist (1),AS,0.0,4.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,8,46,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
10,CSK,22.0,08:35,2,13,"HIGGINS, CORY",P006450   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,4.0,CSKA Moscow,CSKA Moscow,CSK,Valencia Basket,PAM,8,35,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
11,PAM,21.0,08:33,2,14,"PLEISS, TIBOR",PLHK      ,Def Rebound (1),D,0.0,4.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,8,33,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
12,PAM,21.0,08:20,2,15,"PLEISS, TIBOR",PLHK      ,Two Pointer (2/2 -  4 pt),2FGM,0.0,6.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,8,20,0.0,2.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
13,PAM,42.0,08:18,2,16,"DOORNEKAMP, AARON",P002763   ,Assist (1),AS,0.0,6.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,8,18,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
14,CSK,44.0,07:58,3,18,"HUNTER, OTHELLO",P005160   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,6.0,CSKA Moscow,CSKA Moscow,CSK,Valencia Basket,PAM,7,58,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
15,PAM,42.0,07:56,3,19,"DOORNEKAMP, AARON",P002763   ,Def Rebound (1),D,0.0,6.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,7,56,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
16,PAM,21.0,07:39,3,20,"PLEISS, TIBOR",PLHK      ,Missed Two Pointer (2/3 -  4 pt),2FGA,0.0,6.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,7,39,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
17,PAM,21.0,07:39,3,21,"PLEISS, TIBOR",PLHK      ,Shot Rejected (1),AG,0.0,6.0,Valencia Basket,CSKA Moscow,CSK,Valencia Basket,PAM,7,39,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
18,CSK,31.0,07:36,3,22,"KHRYAPA, VICTOR",PBCQ      ,Block (1),FV,0.0,6.0,CSKA Moscow,CSKA Moscow,CSK,Valencia Basket,PAM,7,36,0.0,0.0,"RODRIGUEZ, SERGIO","HIGGINS, CORY","HUNTER, OTHELLO","KHRYAPA, VICTOR","KURBANOV, NIKITA","PLEISS, TIBOR","GREEN, ERICK","RUDEZ, DAMJAN","DOORNEKAMP, AARON","VAN ROSSOM, SAM"
