CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Khimki Moscow Region,KHI,Baskonia Vitoria Gasteiz,BAS,0,0,,,,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM","GILL, ANTHONY","SHVED, ALEXEY","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE"
KHI,21.0,09:40,1,3,"ANDERSON, JAMES",P005938   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Baskonia Vitoria Gasteiz,BAS,9,40,20.0,20.0,,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM","GILL, ANTHONY","SHVED, ALEXEY","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE"
BAS,6.0,09:37,1,4,"TIMMA, JANIS",P005718   ,Def Rebound (1),D,0.0,0.0,Baskonia Vitoria Gasteiz,Khimki Moscow Region,KHI,Baskonia Vitoria Gasteiz,BAS,9,37,23.0,23.0,3.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM","GILL, ANTHONY","SHVED, ALEXEY","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE"
BAS,17.0,09:25,1,5,"POIRIER, VINCENT",P004887   ,Foul Drawn (1),RV,0.0,0.0,Baskonia Vitoria Gasteiz,Khimki Moscow Region,KHI,Baskonia Vitoria Gasteiz,BAS,9,25,35.0,35.0,12.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM","GILL, ANTHONY","SHVED, ALEXEY","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE"
KHI,22.0,09:25,1,6,"JENKINS, CHARLES",P005014   ,Foul (1),CM,0.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Baskonia Vitoria Gasteiz,BAS,9,25,35.0,35.0,0.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM","GILL, ANTHONY","SHVED, ALEXEY","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE"
BAS,17.0,09:25,1,7,"POIRIER, VINCENT",P004887   ,Free Throw In (1/1 -  1 pt),FTM,0.0,1.0,Baskonia Vitoria Gasteiz,Khimki Moscow Region,KHI,Baskonia Vitoria Gasteiz,BAS,9,25,35.0,35.0,0.0,0.0,1.0,"ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM","GILL, ANTHONY","SHVED, ALEXEY","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE"
BAS,15.0,09:25,1,8,"GRANGER, JAYSON",P003024   ,Assist (1),AS,0.0,1.0,Baskonia Vitoria Gasteiz,Khimki Moscow Region,KHI,Baskonia Vitoria Gasteiz,BAS,9,25,35.0,35.0,0.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM","GILL, ANTHONY","SHVED, ALEXEY","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE"
BAS,17.0,09:25,1,9,"POIRIER, VINCENT",P004887   ,Missed Free Throw (1/2 -  1 pt),FTA,0.0,1.0,Baskonia Vitoria Gasteiz,Khimki Moscow Region,KHI,Baskonia Vitoria Gasteiz,BAS,9,25,35.0,35.0,0.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM","GILL, ANTHONY","SHVED, ALEXEY","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE"
KHI,22.0,09:25,1,10,"JENKINS, CHARLES",P005014   ,Def Rebound (1),D,0.0,1.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Baskonia Vitoria Gasteiz,BAS,9,25,35.0,35.0,0.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM","GILL, ANTHONY","SHVED, ALEXEY","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE"
KHI,21.0,09:11,1,11,"ANDERSON, JAMES",P005938   ,Three Pointer (1/2 -  3 pt),3FGM,3.0,1.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Baskonia Vitoria Gasteiz,BAS,9,11,49.0,49.0,14.0,3.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","THOMAS, MALCOLM","GILL, ANTHONY","SHVED, ALEXEY","TIMMA, JANIS","POIRIER, VINCENT","GRANGER, JAYSON","SHENGELIA, TORNIKE","BEAUBOIS, RODRIGUE"
