CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,27,,          ,Begin Period,BP,0.0,0.0,,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN,0,0,,,,0.0,0.0,"PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","THOMPSON, HOLLIS","ROBERTS, BRIAN","GIST, JAMES","CALATHES, NICK","LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","SINGLETON, CHRIS"
OLY,16.0,09:49,1,28,"PAPANIKOLAOU, KOSTAS",P001255   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN,9,49,11.0,11.0,,2.0,0.0,"PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","THOMPSON, HOLLIS","ROBERTS, BRIAN","GIST, JAMES","CALATHES, NICK","LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","SINGLETON, CHRIS"
OLY,11.0,09:47,1,29,"MILUTINOV, NIKOLA",P003941   ,Assist (1),AS,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN,9,47,13.0,13.0,2.0,0.0,0.0,"PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","THOMPSON, HOLLIS","ROBERTS, BRIAN","GIST, JAMES","CALATHES, NICK","LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","SINGLETON, CHRIS"
OLY,16.0,09:30,1,30,"PAPANIKOLAOU, KOSTAS",P001255   ,Foul (1),CM,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN,9,30,30.0,30.0,17.0,0.0,0.0,"PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","THOMPSON, HOLLIS","ROBERTS, BRIAN","GIST, JAMES","CALATHES, NICK","LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","SINGLETON, CHRIS"
PAN,14.0,09:30,1,31,"GIST, JAMES",P002980   ,Foul Drawn (1),RV,2.0,0.0,Panathinaikos Superfoods Athens,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN,9,30,30.0,30.0,0.0,0.0,0.0,"PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","THOMPSON, HOLLIS","ROBERTS, BRIAN","GIST, JAMES","CALATHES, NICK","LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","SINGLETON, CHRIS"
PAN,33.0,09:22,1,32,"CALATHES, NICK",P001932   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Panathinaikos Superfoods Athens,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN,9,22,38.0,38.0,8.0,0.0,2.0,"PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","THOMPSON, HOLLIS","ROBERTS, BRIAN","GIST, JAMES","CALATHES, NICK","LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","SINGLETON, CHRIS"
OLY,16.0,08:53,2,34,"PAPANIKOLAOU, KOSTAS",P001255   ,Missed Three Pointer (0/1 -  2 pt),3FGA,2.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN,8,53,7.0,67.0,29.0,0.0,0.0,"PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","THOMPSON, HOLLIS","ROBERTS, BRIAN","GIST, JAMES","CALATHES, NICK","LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","SINGLETON, CHRIS"
OLY,,08:52,2,35,,          ,Turnover (1),TO,2.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN,8,52,8.0,68.0,1.0,0.0,0.0,"PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","THOMPSON, HOLLIS","ROBERTS, BRIAN","GIST, JAMES","CALATHES, NICK","LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","SINGLETON, CHRIS"
PAN,24.0,08:37,2,36,"LOJESKI, MATT",P003608   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Panathinaikos Superfoods Athens,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN,8,37,23.0,83.0,15.0,0.0,2.0,"PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","THOMPSON, HOLLIS","ROBERTS, BRIAN","GIST, JAMES","CALATHES, NICK","LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","SINGLETON, CHRIS"
OLY,15.0,08:12,2,37,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,4.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN,8,12,48.0,108.0,25.0,0.0,0.0,"PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","THOMPSON, HOLLIS","ROBERTS, BRIAN","GIST, JAMES","CALATHES, NICK","LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","SINGLETON, CHRIS"
