,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,38,,          ,Begin Period,BP,0.0,0.0,,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,0,0,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
1,KHI,21.0,09:42,1,39,"ANDERSON, JAMES",P005938   ,Turnover (1),TO,0.0,0.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,9,42,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
2,PAN,24.0,09:40,1,40,"LOJESKI, MATT",P003608   ,Steal (1),ST,0.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,9,40,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
3,PAN,,09:17,1,41,,          ,Turnover (1),TO,0.0,0.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,9,17,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
4,KHI,21.0,08:54,2,43,"ANDERSON, JAMES",P005938   ,Three Pointer (1/1 -  3 pt),3FGM,0.0,3.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,8,54,0.0,3.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
5,KHI,12.0,08:52,2,44,"MONIA, SERGEY",PBFX      ,Assist (1),AS,0.0,3.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,8,52,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
6,PAN,43.0,08:31,2,45,"ANTETOKOUNMPO, THANASIS",P007865   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,8,31,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
7,KHI,23.0,08:29,2,46,"THOMAS, MALCOLM",P004251   ,Def Rebound (1),D,0.0,3.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,8,29,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
8,KHI,1.0,08:19,2,47,"SHVED, ALEXEY",PKVZ      ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,3.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,8,19,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
9,PAN,14.0,08:18,2,48,"GIST, JAMES",P002980   ,Def Rebound (1),D,0.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,8,18,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
10,PAN,33.0,08:13,2,49,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,8,13,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
11,KHI,23.0,08:11,2,50,"THOMAS, MALCOLM",P004251   ,Def Rebound (2),D,0.0,3.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,8,11,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
12,KHI,1.0,08:06,2,51,"SHVED, ALEXEY",PKVZ      ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,3.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,8,6,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
13,PAN,,08:05,2,52,,          ,Def Rebound (1),D,0.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,8,5,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
14,KHI,8.0,07:58,3,54,"ZAYTSEV, VYACHESLAV",P001792   ,Foul (1),CM,0.0,3.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,58,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
15,PAN,33.0,07:58,3,55,"CALATHES, NICK",P001932   ,Foul Drawn (1),RV,0.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,58,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
16,PAN,24.0,07:53,3,56,"LOJESKI, MATT",P003608   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,53,3.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
17,PAN,33.0,07:51,3,57,"CALATHES, NICK",P001932   ,Assist (1),AS,3.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,51,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
18,KHI,8.0,07:41,3,58,"ZAYTSEV, VYACHESLAV",P001792   ,Turnover (1),TO,3.0,3.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,41,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
19,PAN,43.0,07:24,3,59,"ANTETOKOUNMPO, THANASIS",P007865   ,Three Pointer (1/2 -  3 pt),3FGM,6.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,24,3.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
20,PAN,33.0,07:22,3,60,"CALATHES, NICK",P001932   ,Assist (2),AS,6.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,22,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
21,PAN,43.0,07:08,3,61,"ANTETOKOUNMPO, THANASIS",P007865   ,Foul (1),CM,6.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,8,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
22,KHI,1.0,07:08,3,62,"SHVED, ALEXEY",PKVZ      ,Foul Drawn (1),RV,6.0,3.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,8,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
23,PAN,43.0,07:04,3,63,"ANTETOKOUNMPO, THANASIS",P007865   ,Foul (2),CM,6.0,3.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,4,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
24,KHI,23.0,07:04,3,64,"THOMAS, MALCOLM",P004251   ,Foul Drawn (1),RV,6.0,3.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,7,4,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
25,KHI,21.0,06:53,4,66,"ANDERSON, JAMES",P005938   ,Two Pointer (1/1 -  5 pt),2FGM,6.0,5.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,6,53,0.0,2.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
26,PAN,14.0,06:42,4,67,"GIST, JAMES",P002980   ,Three Pointer (1/1 -  3 pt),3FGM,9.0,5.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,6,42,3.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
27,PAN,33.0,06:39,4,68,"CALATHES, NICK",P001932   ,Assist (3),AS,9.0,5.0,Panathinaikos Superfoods Athens,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,6,39,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
28,KHI,1.0,06:20,4,69,"SHVED, ALEXEY",PKVZ      ,Turnover (1),TO,9.0,5.0,Khimki Moscow Region,Panathinaikos Superfoods Athens,PAN,Khimki Moscow Region,KHI,6,20,0.0,0.0,"LOJESKI, MATT","ANTETOKOUNMPO, THANASIS","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","ANDERSON, JAMES","MONIA, SERGEY","THOMAS, MALCOLM","SHVED, ALEXEY","ZAYTSEV, VYACHESLAV"
