CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Maccabi FOX Tel Aviv,TEL,Anadolu Efes Istanbul,IST,0,0,,,0.0,0.0,0.0,"ROLL, MICHAEL","DIBARTOLOMEO, JOHN","JACKSON, PIERRE","BOLDEN, JONAH","PARAKHOUSKI, ARTSIOM","SIMON, KRUNOSLAV","ADAMS, JOSH","DUNSTON, BRYANT","STIMAC, VLADIMIR","LEDO, RICKY"
IST,44.0,09:37,1,3,"SIMON, KRUNOSLAV",PCPR      ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Anadolu Efes Istanbul,Maccabi FOX Tel Aviv,TEL,Anadolu Efes Istanbul,IST,9,37,23.0,23.0,0.0,0.0,0.0,"ROLL, MICHAEL","DIBARTOLOMEO, JOHN","JACKSON, PIERRE","BOLDEN, JONAH","PARAKHOUSKI, ARTSIOM","SIMON, KRUNOSLAV","ADAMS, JOSH","DUNSTON, BRYANT","STIMAC, VLADIMIR","LEDO, RICKY"
TEL,5.0,09:35,1,4,"ROLL, MICHAEL",P004974   ,Def Rebound (1),D,0.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Anadolu Efes Istanbul,IST,9,35,25.0,25.0,2.0,0.0,0.0,"ROLL, MICHAEL","DIBARTOLOMEO, JOHN","JACKSON, PIERRE","BOLDEN, JONAH","PARAKHOUSKI, ARTSIOM","SIMON, KRUNOSLAV","ADAMS, JOSH","DUNSTON, BRYANT","STIMAC, VLADIMIR","LEDO, RICKY"
TEL,12.0,09:29,1,5,"DIBARTOLOMEO, JOHN",P007990   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Anadolu Efes Istanbul,IST,9,29,31.0,31.0,6.0,0.0,0.0,"ROLL, MICHAEL","DIBARTOLOMEO, JOHN","JACKSON, PIERRE","BOLDEN, JONAH","PARAKHOUSKI, ARTSIOM","SIMON, KRUNOSLAV","ADAMS, JOSH","DUNSTON, BRYANT","STIMAC, VLADIMIR","LEDO, RICKY"
IST,14.0,09:26,1,6,"ADAMS, JOSH",P007872   ,Def Rebound (1),D,0.0,0.0,Anadolu Efes Istanbul,Maccabi FOX Tel Aviv,TEL,Anadolu Efes Istanbul,IST,9,26,34.0,34.0,3.0,0.0,0.0,"ROLL, MICHAEL","DIBARTOLOMEO, JOHN","JACKSON, PIERRE","BOLDEN, JONAH","PARAKHOUSKI, ARTSIOM","SIMON, KRUNOSLAV","ADAMS, JOSH","DUNSTON, BRYANT","STIMAC, VLADIMIR","LEDO, RICKY"
IST,14.0,09:10,1,7,"ADAMS, JOSH",P007872   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Anadolu Efes Istanbul,Maccabi FOX Tel Aviv,TEL,Anadolu Efes Istanbul,IST,9,10,50.0,50.0,16.0,0.0,2.0,"ROLL, MICHAEL","DIBARTOLOMEO, JOHN","JACKSON, PIERRE","BOLDEN, JONAH","PARAKHOUSKI, ARTSIOM","SIMON, KRUNOSLAV","ADAMS, JOSH","DUNSTON, BRYANT","STIMAC, VLADIMIR","LEDO, RICKY"
TEL,55.0,08:53,2,9,"JACKSON, PIERRE",P005112   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Anadolu Efes Istanbul,IST,8,53,7.0,67.0,17.0,3.0,0.0,"ROLL, MICHAEL","DIBARTOLOMEO, JOHN","JACKSON, PIERRE","BOLDEN, JONAH","PARAKHOUSKI, ARTSIOM","SIMON, KRUNOSLAV","ADAMS, JOSH","DUNSTON, BRYANT","STIMAC, VLADIMIR","LEDO, RICKY"
TEL,43.0,08:50,2,10,"BOLDEN, JONAH",P007988   ,Assist (1),AS,3.0,2.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Anadolu Efes Istanbul,IST,8,50,10.0,70.0,3.0,0.0,0.0,"ROLL, MICHAEL","DIBARTOLOMEO, JOHN","JACKSON, PIERRE","BOLDEN, JONAH","PARAKHOUSKI, ARTSIOM","SIMON, KRUNOSLAV","ADAMS, JOSH","DUNSTON, BRYANT","STIMAC, VLADIMIR","LEDO, RICKY"
IST,42.0,08:45,2,11,"DUNSTON, BRYANT",P003048   ,Turnover (1),TO,3.0,2.0,Anadolu Efes Istanbul,Maccabi FOX Tel Aviv,TEL,Anadolu Efes Istanbul,IST,8,45,15.0,75.0,5.0,0.0,0.0,"ROLL, MICHAEL","DIBARTOLOMEO, JOHN","JACKSON, PIERRE","BOLDEN, JONAH","PARAKHOUSKI, ARTSIOM","SIMON, KRUNOSLAV","ADAMS, JOSH","DUNSTON, BRYANT","STIMAC, VLADIMIR","LEDO, RICKY"
TEL,55.0,08:36,2,12,"JACKSON, PIERRE",P005112   ,Turnover (1),TO,3.0,2.0,Maccabi FOX Tel Aviv,Maccabi FOX Tel Aviv,TEL,Anadolu Efes Istanbul,IST,8,36,24.0,84.0,9.0,0.0,0.0,"ROLL, MICHAEL","DIBARTOLOMEO, JOHN","JACKSON, PIERRE","BOLDEN, JONAH","PARAKHOUSKI, ARTSIOM","SIMON, KRUNOSLAV","ADAMS, JOSH","DUNSTON, BRYANT","STIMAC, VLADIMIR","LEDO, RICKY"
