CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,FC Barcelona Lassa,BAR,Valencia Basket,PAM,0,0,,,,0.0,0.0,"SERAPHIN, KEVIN","HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","GREEN, ERICK","SASTRE, JOAN","SAN EMETERIO, FERNANDO","VAN ROSSOM, SAM","PLEISS, TIBOR"
BAR,1.0,09:43,1,3,"SERAPHIN, KEVIN",P001948   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Valencia Basket,PAM,9,43,17.0,17.0,,2.0,0.0,"SERAPHIN, KEVIN","HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","GREEN, ERICK","SASTRE, JOAN","SAN EMETERIO, FERNANDO","VAN ROSSOM, SAM","PLEISS, TIBOR"
PAM,32.0,09:23,1,4,"GREEN, ERICK",P005159   ,Turnover (1),TO,2.0,0.0,Valencia Basket,FC Barcelona Lassa,BAR,Valencia Basket,PAM,9,23,37.0,37.0,20.0,0.0,0.0,"SERAPHIN, KEVIN","HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","GREEN, ERICK","SASTRE, JOAN","SAN EMETERIO, FERNANDO","VAN ROSSOM, SAM","PLEISS, TIBOR"
BAR,9.0,09:21,1,5,"HANGA, ADAM",P005099   ,Steal (1),ST,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Valencia Basket,PAM,9,21,39.0,39.0,2.0,0.0,0.0,"SERAPHIN, KEVIN","HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","GREEN, ERICK","SASTRE, JOAN","SAN EMETERIO, FERNANDO","VAN ROSSOM, SAM","PLEISS, TIBOR"
BAR,9.0,09:20,1,6,"HANGA, ADAM",P005099   ,Turnover (1),TO,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Valencia Basket,PAM,9,20,40.0,40.0,1.0,0.0,0.0,"SERAPHIN, KEVIN","HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","GREEN, ERICK","SASTRE, JOAN","SAN EMETERIO, FERNANDO","VAN ROSSOM, SAM","PLEISS, TIBOR"
PAM,32.0,09:18,1,7,"GREEN, ERICK",P005159   ,Steal (1),ST,2.0,0.0,Valencia Basket,FC Barcelona Lassa,BAR,Valencia Basket,PAM,9,18,42.0,42.0,2.0,0.0,0.0,"SERAPHIN, KEVIN","HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","GREEN, ERICK","SASTRE, JOAN","SAN EMETERIO, FERNANDO","VAN ROSSOM, SAM","PLEISS, TIBOR"
PAM,30.0,09:16,1,8,"SASTRE, JOAN",P002936   ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,0.0,Valencia Basket,FC Barcelona Lassa,BAR,Valencia Basket,PAM,9,16,44.0,44.0,2.0,0.0,0.0,"SERAPHIN, KEVIN","HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","GREEN, ERICK","SASTRE, JOAN","SAN EMETERIO, FERNANDO","VAN ROSSOM, SAM","PLEISS, TIBOR"
BAR,13.0,09:16,1,83,"HEURTEL, THOMAS",PKLT      ,Def Rebound (1),D,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Valencia Basket,PAM,9,16,44.0,44.0,0.0,0.0,0.0,"SERAPHIN, KEVIN","HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","GREEN, ERICK","SASTRE, JOAN","SAN EMETERIO, FERNANDO","VAN ROSSOM, SAM","PLEISS, TIBOR"
BAR,1.0,09:06,1,9,"SERAPHIN, KEVIN",P001948   ,Missed Two Pointer (1/2 -  2 pt),2FGA,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Valencia Basket,PAM,9,6,54.0,54.0,10.0,0.0,0.0,"SERAPHIN, KEVIN","HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","GREEN, ERICK","SASTRE, JOAN","SAN EMETERIO, FERNANDO","VAN ROSSOM, SAM","PLEISS, TIBOR"
BAR,45.0,09:02,1,10,"MOERMAN, ADRIEN",P001833   ,Off Rebound (1),O,2.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Valencia Basket,PAM,9,2,58.0,58.0,4.0,0.0,0.0,"SERAPHIN, KEVIN","HANGA, ADAM","HEURTEL, THOMAS","MOERMAN, ADRIEN","SANDERS, RAKIM","GREEN, ERICK","SASTRE, JOAN","SAN EMETERIO, FERNANDO","VAN ROSSOM, SAM","PLEISS, TIBOR"
