CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Khimki Moscow Region,KHI,Maccabi FOX Tel Aviv,TEL,0,0,,,0.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY","BOLDEN, JONAH","JACKSON, PIERRE","ROLL, MICHAEL","SEGEV, ITAY","DIBARTOLOMEO, JOHN"
TEL,43.0,09:41,1,3,"BOLDEN, JONAH",P007988   ,Turnover (1),TO,0.0,0.0,Maccabi FOX Tel Aviv,Khimki Moscow Region,KHI,Maccabi FOX Tel Aviv,TEL,9,41,19.0,19.0,0.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY","BOLDEN, JONAH","JACKSON, PIERRE","ROLL, MICHAEL","SEGEV, ITAY","DIBARTOLOMEO, JOHN"
KHI,21.0,09:40,1,4,"ANDERSON, JAMES",P005938   ,Steal (1),ST,0.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Maccabi FOX Tel Aviv,TEL,9,40,20.0,20.0,1.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY","BOLDEN, JONAH","JACKSON, PIERRE","ROLL, MICHAEL","SEGEV, ITAY","DIBARTOLOMEO, JOHN"
KHI,22.0,09:29,1,5,"JENKINS, CHARLES",P005014   ,Foul Drawn (1),RV,0.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Maccabi FOX Tel Aviv,TEL,9,29,31.0,31.0,11.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY","BOLDEN, JONAH","JACKSON, PIERRE","ROLL, MICHAEL","SEGEV, ITAY","DIBARTOLOMEO, JOHN"
TEL,43.0,09:29,1,6,"BOLDEN, JONAH",P007988   ,Foul (1),CM,0.0,0.0,Maccabi FOX Tel Aviv,Khimki Moscow Region,KHI,Maccabi FOX Tel Aviv,TEL,9,29,31.0,31.0,0.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY","BOLDEN, JONAH","JACKSON, PIERRE","ROLL, MICHAEL","SEGEV, ITAY","DIBARTOLOMEO, JOHN"
KHI,21.0,09:15,1,7,"ANDERSON, JAMES",P005938   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Maccabi FOX Tel Aviv,TEL,9,15,45.0,45.0,14.0,3.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY","BOLDEN, JONAH","JACKSON, PIERRE","ROLL, MICHAEL","SEGEV, ITAY","DIBARTOLOMEO, JOHN"
KHI,1.0,09:13,1,8,"SHVED, ALEXEY",PKVZ      ,Assist (1),AS,3.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Maccabi FOX Tel Aviv,TEL,9,13,47.0,47.0,2.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY","BOLDEN, JONAH","JACKSON, PIERRE","ROLL, MICHAEL","SEGEV, ITAY","DIBARTOLOMEO, JOHN"
TEL,55.0,08:59,2,10,"JACKSON, PIERRE",P005112   ,Two Pointer (1/1 -  2 pt),2FGM,3.0,2.0,Maccabi FOX Tel Aviv,Khimki Moscow Region,KHI,Maccabi FOX Tel Aviv,TEL,8,59,1.0,61.0,14.0,0.0,2.0,"ANDERSON, JAMES","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY","BOLDEN, JONAH","JACKSON, PIERRE","ROLL, MICHAEL","SEGEV, ITAY","DIBARTOLOMEO, JOHN"
KHI,22.0,08:40,2,11,"JENKINS, CHARLES",P005014   ,Three Pointer (1/1 -  3 pt),3FGM,6.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Maccabi FOX Tel Aviv,TEL,8,40,20.0,80.0,19.0,3.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY","BOLDEN, JONAH","JACKSON, PIERRE","ROLL, MICHAEL","SEGEV, ITAY","DIBARTOLOMEO, JOHN"
KHI,1.0,08:38,2,12,"SHVED, ALEXEY",PKVZ      ,Assist (2),AS,6.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Maccabi FOX Tel Aviv,TEL,8,38,22.0,82.0,2.0,0.0,0.0,"ANDERSON, JAMES","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY","BOLDEN, JONAH","JACKSON, PIERRE","ROLL, MICHAEL","SEGEV, ITAY","DIBARTOLOMEO, JOHN"
