CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Brose Bamberg,BAM,Valencia Basket,PAM,0,0,,,,0.0,0.0,"RADOSEVIC, LEON","WRIGHT, DORELL","HACKETT, DANIEL","HICKMAN, RICKY","TAYLOR, BRYCE","DOORNEKAMP, AARON","PLEISS, TIBOR","GREEN, ERICK","SAN EMETERIO, FERNANDO","VIVES, GUILLEM"
PAM,42.0,09:37,1,3,"DOORNEKAMP, AARON",P002763   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Valencia Basket,Brose Bamberg,BAM,Valencia Basket,PAM,9,37,23.0,23.0,,0.0,2.0,"RADOSEVIC, LEON","WRIGHT, DORELL","HACKETT, DANIEL","HICKMAN, RICKY","TAYLOR, BRYCE","DOORNEKAMP, AARON","PLEISS, TIBOR","GREEN, ERICK","SAN EMETERIO, FERNANDO","VIVES, GUILLEM"
BAM,43.0,09:20,1,4,"RADOSEVIC, LEON",PLEM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Valencia Basket,PAM,9,20,40.0,40.0,17.0,0.0,0.0,"RADOSEVIC, LEON","WRIGHT, DORELL","HACKETT, DANIEL","HICKMAN, RICKY","TAYLOR, BRYCE","DOORNEKAMP, AARON","PLEISS, TIBOR","GREEN, ERICK","SAN EMETERIO, FERNANDO","VIVES, GUILLEM"
BAM,43.0,09:20,1,5,"RADOSEVIC, LEON",PLEM      ,Shot Rejected (1),AG,0.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Valencia Basket,PAM,9,20,40.0,40.0,0.0,0.0,0.0,"RADOSEVIC, LEON","WRIGHT, DORELL","HACKETT, DANIEL","HICKMAN, RICKY","TAYLOR, BRYCE","DOORNEKAMP, AARON","PLEISS, TIBOR","GREEN, ERICK","SAN EMETERIO, FERNANDO","VIVES, GUILLEM"
PAM,21.0,09:20,1,6,"PLEISS, TIBOR",PLHK      ,Block (1),FV,0.0,2.0,Valencia Basket,Brose Bamberg,BAM,Valencia Basket,PAM,9,20,40.0,40.0,0.0,0.0,0.0,"RADOSEVIC, LEON","WRIGHT, DORELL","HACKETT, DANIEL","HICKMAN, RICKY","TAYLOR, BRYCE","DOORNEKAMP, AARON","PLEISS, TIBOR","GREEN, ERICK","SAN EMETERIO, FERNANDO","VIVES, GUILLEM"
PAM,21.0,09:20,1,7,"PLEISS, TIBOR",PLHK      ,Def Rebound (1),D,0.0,2.0,Valencia Basket,Brose Bamberg,BAM,Valencia Basket,PAM,9,20,40.0,40.0,0.0,0.0,0.0,"RADOSEVIC, LEON","WRIGHT, DORELL","HACKETT, DANIEL","HICKMAN, RICKY","TAYLOR, BRYCE","DOORNEKAMP, AARON","PLEISS, TIBOR","GREEN, ERICK","SAN EMETERIO, FERNANDO","VIVES, GUILLEM"
PAM,42.0,09:20,1,8,"DOORNEKAMP, AARON",P002763   ,Missed Two Pointer (1/2 -  2 pt),2FGA,0.0,2.0,Valencia Basket,Brose Bamberg,BAM,Valencia Basket,PAM,9,20,40.0,40.0,0.0,0.0,0.0,"RADOSEVIC, LEON","WRIGHT, DORELL","HACKETT, DANIEL","HICKMAN, RICKY","TAYLOR, BRYCE","DOORNEKAMP, AARON","PLEISS, TIBOR","GREEN, ERICK","SAN EMETERIO, FERNANDO","VIVES, GUILLEM"
PAM,42.0,09:20,1,9,"DOORNEKAMP, AARON",P002763   ,Off Rebound (1),O,0.0,2.0,Valencia Basket,Brose Bamberg,BAM,Valencia Basket,PAM,9,20,40.0,40.0,0.0,0.0,0.0,"RADOSEVIC, LEON","WRIGHT, DORELL","HACKETT, DANIEL","HICKMAN, RICKY","TAYLOR, BRYCE","DOORNEKAMP, AARON","PLEISS, TIBOR","GREEN, ERICK","SAN EMETERIO, FERNANDO","VIVES, GUILLEM"
PAM,32.0,09:20,1,10,"GREEN, ERICK",P005159   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,2.0,Valencia Basket,Brose Bamberg,BAM,Valencia Basket,PAM,9,20,40.0,40.0,0.0,0.0,0.0,"RADOSEVIC, LEON","WRIGHT, DORELL","HACKETT, DANIEL","HICKMAN, RICKY","TAYLOR, BRYCE","DOORNEKAMP, AARON","PLEISS, TIBOR","GREEN, ERICK","SAN EMETERIO, FERNANDO","VIVES, GUILLEM"
BAM,43.0,09:20,1,11,"RADOSEVIC, LEON",PLEM      ,Def Rebound (1),D,0.0,2.0,Brose Bamberg,Brose Bamberg,BAM,Valencia Basket,PAM,9,20,40.0,40.0,0.0,0.0,0.0,"RADOSEVIC, LEON","WRIGHT, DORELL","HACKETT, DANIEL","HICKMAN, RICKY","TAYLOR, BRYCE","DOORNEKAMP, AARON","PLEISS, TIBOR","GREEN, ERICK","SAN EMETERIO, FERNANDO","VIVES, GUILLEM"
