,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,AX Armani Exchange Olimpia Milan,MIL,Olympiacos Piraeus,OLY,0,0,0.0,0.0,"MICOV, VLADIMIR","JEFFERSON, CORY","TARCZEWSKI, KALEB","THEODORE, JORDAN","BERTANS, DAIRIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
1,MIL,5.0,09:47,1,3,"MICOV, VLADIMIR",P000529   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,Olympiacos Piraeus,OLY,9,47,2.0,0.0,"MICOV, VLADIMIR","JEFFERSON, CORY","TARCZEWSKI, KALEB","THEODORE, JORDAN","BERTANS, DAIRIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
2,OLY,22.0,09:26,1,4,"ROBERTS, BRIAN",P002091   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,Olympiacos Piraeus,AX Armani Exchange Olimpia Milan,MIL,Olympiacos Piraeus,OLY,9,26,0.0,3.0,"MICOV, VLADIMIR","JEFFERSON, CORY","TARCZEWSKI, KALEB","THEODORE, JORDAN","BERTANS, DAIRIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
3,OLY,13.0,09:24,1,5,"STRELNIEKS, JANIS",P000046   ,Assist (1),AS,2.0,3.0,Olympiacos Piraeus,AX Armani Exchange Olimpia Milan,MIL,Olympiacos Piraeus,OLY,9,24,0.0,0.0,"MICOV, VLADIMIR","JEFFERSON, CORY","TARCZEWSKI, KALEB","THEODORE, JORDAN","BERTANS, DAIRIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
4,MIL,5.0,09:03,1,6,"MICOV, VLADIMIR",P000529   ,Missed Two Pointer (1/2 -  2 pt),2FGA,2.0,3.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,Olympiacos Piraeus,OLY,9,3,0.0,0.0,"MICOV, VLADIMIR","JEFFERSON, CORY","TARCZEWSKI, KALEB","THEODORE, JORDAN","BERTANS, DAIRIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
5,OLY,22.0,09:00,2,8,"ROBERTS, BRIAN",P002091   ,Def Rebound (1),D,2.0,3.0,Olympiacos Piraeus,AX Armani Exchange Olimpia Milan,MIL,Olympiacos Piraeus,OLY,9,0,0.0,0.0,"MICOV, VLADIMIR","JEFFERSON, CORY","TARCZEWSKI, KALEB","THEODORE, JORDAN","BERTANS, DAIRIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
6,OLY,15.0,08:46,2,9,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,3.0,Olympiacos Piraeus,AX Armani Exchange Olimpia Milan,MIL,Olympiacos Piraeus,OLY,8,46,0.0,0.0,"MICOV, VLADIMIR","JEFFERSON, CORY","TARCZEWSKI, KALEB","THEODORE, JORDAN","BERTANS, DAIRIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
7,MIL,,08:46,2,10,,          ,Def Rebound (1),D,2.0,3.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,Olympiacos Piraeus,OLY,8,46,0.0,0.0,"MICOV, VLADIMIR","JEFFERSON, CORY","TARCZEWSKI, KALEB","THEODORE, JORDAN","BERTANS, DAIRIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
8,MIL,34.0,08:26,2,11,"JEFFERSON, CORY",P007992   ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,3.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,Olympiacos Piraeus,OLY,8,26,0.0,0.0,"MICOV, VLADIMIR","JEFFERSON, CORY","TARCZEWSKI, KALEB","THEODORE, JORDAN","BERTANS, DAIRIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
9,MIL,15.0,08:26,2,12,"TARCZEWSKI, KALEB",P008004   ,Off Rebound (1),O,2.0,3.0,AX Armani Exchange Olimpia Milan,AX Armani Exchange Olimpia Milan,MIL,Olympiacos Piraeus,OLY,8,26,0.0,0.0,"MICOV, VLADIMIR","JEFFERSON, CORY","TARCZEWSKI, KALEB","THEODORE, JORDAN","BERTANS, DAIRIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","PRINTEZIS, GEORGIOS","MILUTINOV, NIKOLA","THOMPSON, HOLLIS"
