CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,8,,          ,Begin Period,BP,,,,0
CSK       ,,44,09:59,1,9,"HUNTER, OTHELLO",P005160   ,,TPOFF,,,CSKA Moscow,0
ZAL       ,,0,09:59,1,10,"DAVIES, BRANDON",P007870   ,,TPOFF,,,Zalgiris Kaunas,0
CSK       ,,44,09:41,1,11,"HUNTER, OTHELLO",P005160   ,Foul (1),CM,,,CSKA Moscow,0
ZAL       ,,3,09:41,1,12,"PANGOS, KEVIN",P006433   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
ZAL       ,,92,09:36,1,13,"ULANOVAS, EDGARAS",P002329   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0
CSK       ,,44,09:36,1,14,"HUNTER, OTHELLO",P005160   ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,41,09:16,1,15,"KURBANOV, NIKITA",PJLX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
ZAL       ,,0,09:16,1,16,"DAVIES, BRANDON",P007870   ,Def Rebound (1),D,,,Zalgiris Kaunas,0
CSK       ,,11,08:57,2,18,"ANTONOV, SEMEN",P004941   ,Foul (1),CM,,,CSKA Moscow,0
ZAL       ,,13,08:57,2,19,"JANKUNAS, PAULIUS",PBWI      ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
CSK       ,,41,08:55,2,20,"KURBANOV, NIKITA",PJLX      ,Foul (1),CM,,,CSKA Moscow,0
ZAL       ,,92,08:55,2,21,"ULANOVAS, EDGARAS",P002329   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
ZAL       ,,3,08:51,2,22,"PANGOS, KEVIN",P006433   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Zalgiris Kaunas,0
ZAL       ,,6,08:37,2,23,"TOUPANE, AXEL",P002582   ,Foul (1),CM,,,Zalgiris Kaunas,0
CSK       ,,13,08:37,2,24,"RODRIGUEZ, SERGIO",PCVM      ,Foul Drawn (1),RV,,,CSKA Moscow,0
CSK       ,,22,08:30,2,25,"HIGGINS, CORY",P006450   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,CSKA Moscow,0
CSK       ,,13,08:30,2,26,"RODRIGUEZ, SERGIO",PCVM      ,Assist (1),AS,,,CSKA Moscow,0
ZAL       ,,6,08:17,2,27,"TOUPANE, AXEL",P002582   ,Turnover (1),TO,,,Zalgiris Kaunas,0
CSK       ,,22,08:15,2,28,"HIGGINS, CORY",P006450   ,Steal (1),ST,,,CSKA Moscow,0
CSK       ,,22,08:15,2,29,"HIGGINS, CORY",P006450   ,Three Pointer (2/2 -  6 pt),3FGM,6.0,2.0,CSKA Moscow,0
CSK       ,,41,08:09,2,30,"KURBANOV, NIKITA",PJLX      ,Foul (2),CM,,,CSKA Moscow,0
ZAL       ,,3,08:09,2,31,"PANGOS, KEVIN",P006433   ,Foul Drawn (2),RV,,,Zalgiris Kaunas,0
ZAL       ,,13,07:55,3,33,"JANKUNAS, PAULIUS",PBWI      ,Two Pointer (1/1 -  2 pt),2FGM,6.0,4.0,Zalgiris Kaunas,0
ZAL       ,,3,07:55,3,34,"PANGOS, KEVIN",P006433   ,Assist (1),AS,,,Zalgiris Kaunas,0
ZAL       ,,92,07:32,3,35,"ULANOVAS, EDGARAS",P002329   ,Foul (1),CM,,,Zalgiris Kaunas,0
CSK       ,,22,07:32,3,36,"HIGGINS, CORY",P006450   ,Foul Drawn (1),RV,,,CSKA Moscow,0
CSK       ,,22,07:32,3,37,"HIGGINS, CORY",P006450   ,Missed Free Throw (0/1 -  6 pt),FTA,,,CSKA Moscow,0
CSK       ,,22,07:32,3,38,"HIGGINS, CORY",P006450   ,Missed Free Throw (0/2 -  6 pt),FTA,,,CSKA Moscow,0
CSK       ,,22,07:32,3,39,"HIGGINS, CORY",P006450   ,Free Throw In (1/3 -  7 pt),FTM,7.0,4.0,CSKA Moscow,0
CSK       ,,41,07:32,3,40,"KURBANOV, NIKITA",PJLX      ,Assist (1),AS,,,CSKA Moscow,0
ZAL       ,,3,07:17,3,41,"PANGOS, KEVIN",P006433   ,Turnover (1),TO,,,Zalgiris Kaunas,0
ZAL       ,,6,07:16,3,42,"TOUPANE, AXEL",P002582   ,Out,OUT,,,Zalgiris Kaunas,0
ZAL       ,,22,07:16,3,43,"MICIC, VASILIJE",P002580   ,In,IN,,,Zalgiris Kaunas,0
CSK       ,,11,07:04,3,44,"ANTONOV, SEMEN",P004941   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,CSKA Moscow,0
CSK       ,,,07:01,3,45,,          ,Off Rebound (1),O,,,CSKA Moscow,0
ZAL       ,,3,07:01,3,46,"PANGOS, KEVIN",P006433   ,Foul (1),CM,,,Zalgiris Kaunas,0
CSK       ,,44,07:01,3,48,"HUNTER, OTHELLO",P005160   ,Foul Drawn (1),RV,,,CSKA Moscow,0
CSK       ,,44,06:57,4,50,"HUNTER, OTHELLO",P005160   ,Two Pointer (1/1 -  2 pt),2FGM,9.0,4.0,CSKA Moscow,0
CSK       ,,41,06:57,4,51,"KURBANOV, NIKITA",PJLX      ,Assist (2),AS,,,CSKA Moscow,0
ZAL       ,,92,06:45,4,52,"ULANOVAS, EDGARAS",P002329   ,Turnover (1),TO,,,Zalgiris Kaunas,0
CSK       ,,22,06:45,4,53,"HIGGINS, CORY",P006450   ,Steal (2),ST,,,CSKA Moscow,0
CSK       ,,13,06:28,4,54,"RODRIGUEZ, SERGIO",PCVM      ,Two Pointer (1/1 -  2 pt),2FGM,11.0,4.0,CSKA Moscow,0
CSK       ,,21,06:27,4,55,"CLYBURN, WILL",P004888   ,In,IN,,,CSKA Moscow,0
CSK       ,,41,06:27,4,56,"KURBANOV, NIKITA",PJLX      ,Out,OUT,,,CSKA Moscow,0
ZAL       ,,0,06:27,4,57,"DAVIES, BRANDON",P007870   ,Out,OUT,,,Zalgiris Kaunas,0
ZAL       ,,21,06:27,4,58,"MILAKNIS, ARTURAS",PKPD      ,In,IN,,,Zalgiris Kaunas,0
ZAL       ,,44,06:27,4,59,"KAVALIAUSKAS, ANTANAS",P000399   ,In,IN,,,Zalgiris Kaunas,0
ZAL       ,,92,06:27,4,60,"ULANOVAS, EDGARAS",P002329   ,Out,OUT,,,Zalgiris Kaunas,0
CSK       ,,22,06:20,4,61,"HIGGINS, CORY",P006450   ,Foul (1),CM,,,CSKA Moscow,0
ZAL       ,,22,06:20,4,62,"MICIC, VASILIJE",P002580   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
ZAL       ,,22,06:20,4,63,"MICIC, VASILIJE",P002580   ,Free Throw In (1/1 -  1 pt),FTM,11.0,5.0,Zalgiris Kaunas,0
ZAL       ,,22,06:20,4,64,"MICIC, VASILIJE",P002580   ,Free Throw In (2/2 -  2 pt),FTM,11.0,6.0,Zalgiris Kaunas,0
CSK       ,,21,05:58,5,66,"CLYBURN, WILL",P004888   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
CSK       ,,44,05:56,5,67,"HUNTER, OTHELLO",P005160   ,Off Rebound (1),O,,,CSKA Moscow,0
ZAL       ,,13,05:56,5,68,"JANKUNAS, PAULIUS",PBWI      ,Foul (1),CM,,,Zalgiris Kaunas,0
CSK       ,,44,05:56,5,69,"HUNTER, OTHELLO",P005160   ,Foul Drawn (2),RV,,,CSKA Moscow,0
CSK       ,,22,05:56,5,70,"HIGGINS, CORY",P006450   ,Offensive Foul (2),OF,,,CSKA Moscow,0
CSK       ,,22,05:56,5,71,"HIGGINS, CORY",P006450   ,Turnover (1),TO,,,CSKA Moscow,0
ZAL       ,,3,05:56,5,72,"PANGOS, KEVIN",P006433   ,Foul Drawn (3),RV,,,Zalgiris Kaunas,0
ZAL       ,,22,05:42,5,73,"MICIC, VASILIJE",P002580   ,Two Pointer (1/1 -  4 pt),2FGM,11.0,8.0,Zalgiris Kaunas,0
ZAL       ,,3,05:42,5,74,"PANGOS, KEVIN",P006433   ,Assist (2),AS,,,Zalgiris Kaunas,0
CSK       ,,22,05:24,5,75,"HIGGINS, CORY",P006450   ,Missed Two Pointer (0/1 -  7 pt),2FGA,,,CSKA Moscow,0
ZAL       ,,44,05:23,5,76,"KAVALIAUSKAS, ANTANAS",P000399   ,Def Rebound (1),D,,,Zalgiris Kaunas,0
ZAL       ,,13,05:10,5,77,"JANKUNAS, PAULIUS",PBWI      ,Two Pointer (2/2 -  4 pt),2FGM,11.0,10.0,Zalgiris Kaunas,0
CSK       ,,21,04:55,6,79,"CLYBURN, WILL",P004888   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,CSKA Moscow,0
ZAL       ,,44,04:54,6,80,"KAVALIAUSKAS, ANTANAS",P000399   ,Def Rebound (2),D,,,Zalgiris Kaunas,0
CSK       ,,13,04:41,6,81,"RODRIGUEZ, SERGIO",PCVM      ,Foul (1),CM,,,CSKA Moscow,0
ZAL       ,,22,04:41,6,82,"MICIC, VASILIJE",P002580   ,Foul Drawn (2),RV,,,Zalgiris Kaunas,0
