CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
KHI       ,,23,10:00,1,3,"THOMAS, MALCOLM",P004251   ,,TPOFF,,,Khimki Moscow Region,0
CSK       ,,44,10:00,1,4,"HUNTER, OTHELLO",P005160   ,,TPOFF,,,CSKA Moscow,0
CSK       ,,13,09:41,1,5,"RODRIGUEZ, SERGIO",PCVM      ,Foul Drawn (1),RV,,,CSKA Moscow,0
KHI       ,,9,09:41,1,6,"MARKOVIC, STEFAN",PLME      ,Foul (1),CM,,,Khimki Moscow Region,0
CSK       ,,41,09:30,1,7,"KURBANOV, NIKITA",PJLX      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,CSKA Moscow,0
KHI       ,,13,09:10,1,8,"GILL, ANTHONY",P008001   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Khimki Moscow Region,0
KHI       ,,13,09:10,1,9,"GILL, ANTHONY",P008001   ,Foul Drawn (1),RV,,,Khimki Moscow Region,0
CSK       ,,3,09:10,1,10,"RUDD, VICTOR",P006536   ,Foul (1),CM,,,CSKA Moscow,0
KHI       ,,13,09:10,1,11,"GILL, ANTHONY",P008001   ,Free Throw In (1/1 -  3 pt),FTM,2.0,3.0,Khimki Moscow Region,0
CSK       ,,22,08:46,2,13,"HIGGINS, CORY",P006450   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
KHI       ,,1,08:44,2,14,"SHVED, ALEXEY",PKVZ      ,Def Rebound (1),D,,,Khimki Moscow Region,0
KHI       ,,13,08:38,2,15,"GILL, ANTHONY",P008001   ,Two Pointer (2/2 -  5 pt),2FGM,2.0,5.0,Khimki Moscow Region,0
KHI       ,,1,08:36,2,16,"SHVED, ALEXEY",PKVZ      ,Assist (1),AS,,,Khimki Moscow Region,0
CSK       ,,13,08:30,2,17,"RODRIGUEZ, SERGIO",PCVM      ,Three Pointer (1/1 -  3 pt),3FGM,5.0,5.0,CSKA Moscow,0
KHI       ,,1,08:14,2,18,"SHVED, ALEXEY",PKVZ      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0
CSK       ,,13,08:12,2,19,"RODRIGUEZ, SERGIO",PCVM      ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,41,08:02,2,20,"KURBANOV, NIKITA",PJLX      ,Foul Drawn (1),RV,,,CSKA Moscow,0
KHI       ,,1,08:02,2,21,"SHVED, ALEXEY",PKVZ      ,Foul (1),CM,,,Khimki Moscow Region,0
CSK       ,,41,08:02,2,22,"KURBANOV, NIKITA",PJLX      ,Free Throw In (1/1 -  3 pt),FTM,6.0,5.0,CSKA Moscow,0
CSK       ,,41,08:02,2,23,"KURBANOV, NIKITA",PJLX      ,Free Throw In (2/2 -  4 pt),FTM,7.0,5.0,CSKA Moscow,0
KHI       ,,9,07:41,3,25,"MARKOVIC, STEFAN",PLME      ,Three Pointer (1/1 -  3 pt),3FGM,7.0,8.0,Khimki Moscow Region,0
KHI       ,,6,07:38,3,26,"VIALTSEV, EGOR",PBGV      ,Assist (1),AS,,,Khimki Moscow Region,0
CSK       ,,13,07:26,3,27,"RODRIGUEZ, SERGIO",PCVM      ,Turnover (1),TO,,,CSKA Moscow,0
KHI       ,,1,07:25,3,28,"SHVED, ALEXEY",PKVZ      ,Steal (1),ST,,,Khimki Moscow Region,0
KHI       ,,23,07:24,3,29,"THOMAS, MALCOLM",P004251   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,10.0,Khimki Moscow Region,0
KHI       ,,1,07:24,3,30,"SHVED, ALEXEY",PKVZ      ,Assist (2),AS,,,Khimki Moscow Region,0
KHI       ,,23,07:24,3,31,"THOMAS, MALCOLM",P004251   ,Foul Drawn (1),RV,,,Khimki Moscow Region,0
CSK       ,,44,07:24,3,32,"HUNTER, OTHELLO",P005160   ,Foul (1),CM,,,CSKA Moscow,0
KHI       ,,23,07:24,3,33,"THOMAS, MALCOLM",P004251   ,Missed Free Throw (0/1 -  2 pt),FTA,,,Khimki Moscow Region,0
CSK       ,,41,07:24,3,34,"KURBANOV, NIKITA",PJLX      ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,13,07:13,3,35,"RODRIGUEZ, SERGIO",PCVM      ,Three Pointer (2/2 -  6 pt),3FGM,10.0,10.0,CSKA Moscow,0
KHI       ,,13,06:53,4,37,"GILL, ANTHONY",P008001   ,Two Pointer (3/3 -  7 pt),2FGM,10.0,12.0,Khimki Moscow Region,0
KHI       ,,6,06:51,4,38,"VIALTSEV, EGOR",PBGV      ,Assist (2),AS,,,Khimki Moscow Region,0
CSK       ,,22,06:38,4,39,"HIGGINS, CORY",P006450   ,Turnover (1),TO,,,CSKA Moscow,0
KHI       ,,23,06:36,4,40,"THOMAS, MALCOLM",P004251   ,Steal (1),ST,,,Khimki Moscow Region,0
KHI       ,,6,06:26,4,41,"VIALTSEV, EGOR",PBGV      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0
KHI       ,,9,06:23,4,42,"MARKOVIC, STEFAN",PLME      ,Off Rebound (1),O,,,Khimki Moscow Region,0
KHI       ,,23,06:23,4,43,"THOMAS, MALCOLM",P004251   ,Two Pointer (2/2 -  4 pt),2FGM,10.0,14.0,Khimki Moscow Region,0
KHI       ,,9,06:23,4,44,"MARKOVIC, STEFAN",PLME      ,Assist (1),AS,,,Khimki Moscow Region,0
CSK       ,,,06:23,4,45,,          ,Time Out (1),TOUT,,,CSKA Moscow,0
CSK       ,,1,06:23,4,46,"DE COLO, NANDO",P002100   ,In,IN,,,CSKA Moscow,0
CSK       ,,22,06:23,4,47,"HIGGINS, CORY",P006450   ,Out,OUT,,,CSKA Moscow,0
