CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,23,10:00,1,3,"THOMAS, MALCOLM",P004251   ,,TPOFF,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,44,10:00,1,4,"HUNTER, OTHELLO",P005160   ,,TPOFF,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,21,09:33,1,5,"ANDERSON, JAMES",P005938   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,13,09:31,1,6,"RODRIGUEZ, SERGIO",PCVM      ,Def Rebound (1),D,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,41,09:19,1,7,"KURBANOV, NIKITA",PJLX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,1,09:16,1,8,"SHVED, ALEXEY",PKVZ      ,Def Rebound (1),D,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,1,09:08,1,9,"SHVED, ALEXEY",PKVZ      ,Foul Drawn (1),RV,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,41,09:08,1,10,"KURBANOV, NIKITA",PJLX      ,Foul (1),CM,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,11,09:08,1,11,"ANTONOV, SEMEN",P004941   ,Out,OUT,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,21,09:08,1,12,"CLYBURN, WILL",P004888   ,In,IN,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,22,08:58,2,14,"JENKINS, CHARLES",P005014   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,22,08:56,2,15,"HIGGINS, CORY",P006450   ,Def Rebound (1),D,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,22,08:56,2,16,"HIGGINS, CORY",P006450   ,Foul Drawn (1),RV,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,21,08:56,2,17,"ANDERSON, JAMES",P005938   ,Foul (1),CM,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,41,08:49,2,18,"KURBANOV, NIKITA",PJLX      ,Two Pointer (1/2 -  2 pt),2FGM,,2.0,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,1,08:34,2,19,"SHVED, ALEXEY",PKVZ      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,44,08:32,2,20,"HUNTER, OTHELLO",P005160   ,Def Rebound (1),D,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,13,08:24,2,21,"RODRIGUEZ, SERGIO",PCVM      ,Turnover (1),TO,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,23,08:22,2,22,"THOMAS, MALCOLM",P004251   ,Steal (1),ST,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,21,08:08,2,23,"ANDERSON, JAMES",P005938   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,21,08:06,2,24,"CLYBURN, WILL",P004888   ,Def Rebound (1),D,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,13,07:54,3,26,"RODRIGUEZ, SERGIO",PCVM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,44,07:53,3,27,"HUNTER, OTHELLO",P005160   ,Off Rebound (1),O,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,44,07:53,3,28,"HUNTER, OTHELLO",P005160   ,Two Pointer (1/1 -  2 pt),2FGM,,4.0,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,44,07:53,3,29,"HUNTER, OTHELLO",P005160   ,Foul Drawn (1),RV,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,21,07:53,3,30,"ANDERSON, JAMES",P005938   ,Foul (2),CM,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,6,07:53,3,31,"VIALTSEV, EGOR",PBGV      ,In,IN,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,21,07:53,3,32,"ANDERSON, JAMES",P005938   ,Out,OUT,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,44,07:53,3,33,"HUNTER, OTHELLO",P005160   ,Free Throw In (1/1 -  3 pt),FTM,,5.0,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,1,07:38,3,34,"SHVED, ALEXEY",PKVZ      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,44,07:36,3,35,"HUNTER, OTHELLO",P005160   ,Def Rebound (2),D,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,22,07:30,3,36,"HIGGINS, CORY",P006450   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,13,07:28,3,37,"GILL, ANTHONY",P008001   ,Def Rebound (1),D,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,1,07:24,3,38,"SHVED, ALEXEY",PKVZ      ,Two Pointer (1/2 -  2 pt),2FGM,2.0,5.0,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,13,07:16,3,39,"GILL, ANTHONY",P008001   ,Assist (1),AS,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,13,07:03,3,40,"RODRIGUEZ, SERGIO",PCVM      ,Foul Drawn (1),RV,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,13,07:03,3,41,"GILL, ANTHONY",P008001   ,Foul (1),CM,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,22,06:55,4,43,"HIGGINS, CORY",P006450   ,Foul Drawn (2),RV,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,6,06:55,4,44,"VIALTSEV, EGOR",PBGV      ,Foul (1),CM,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
CSK       ,,,06:40,4,45,,          ,Turnover (1),TO,,,CSKA Moscow,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
KHI       ,,1,06:25,4,46,"SHVED, ALEXEY",PKVZ      ,Three Pointer (1/2 -  5 pt),3FGM,5.0,5.0,Khimki Moscow Region,0,Khimki Moscow Region,KHI,CSKA Moscow,CSK
