CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,22,,          ,Begin Period,BP,,,,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,14,10:00,1,23,"AYON, GUSTAVO",P005927   ,,TPOFF,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,15,10:00,1,24,"VOUGIOUKAS, IAN",PTFX      ,,TPOFF,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,1,09:51,1,25,"CAUSEUR, FABIEN",P001392   ,Turnover (1),TO,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,09:40,1,26,"CALATHES, NICK",P001932   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,7,09:20,1,27,"DONCIC, LUKA",P005929   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,15,09:20,1,28,"VOUGIOUKAS, IAN",PTFX      ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,09:00,1,29,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,,09:00,1,30,,          ,Def Rebound (1),D,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,33,08:33,2,32,"THOMPKINS, TREY",P005836   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,5,08:10,2,33,"JAMES, MIKE",P005985   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,7,08:10,2,34,"DONCIC, LUKA",P005929   ,Def Rebound (1),D,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,7,08:10,2,35,"DONCIC, LUKA",P005929   ,Foul Drawn (1),RV,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,5,08:10,2,36,"JAMES, MIKE",P005985   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,7,08:10,2,37,"DONCIC, LUKA",P005929   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,15,08:10,2,38,"VOUGIOUKAS, IAN",PTFX      ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,0,07:45,3,40,"SINGLETON, CHRIS",P006614   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,0,07:45,3,41,"SINGLETON, CHRIS",P006614   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,33,07:45,3,42,"THOMPKINS, TREY",P005836   ,Foul (1),CM,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,0,07:45,3,43,"SINGLETON, CHRIS",P006614   ,Missed Free Throw (0/1 -  2 pt),FTA,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,33,07:45,3,44,"THOMPKINS, TREY",P005836   ,Def Rebound (1),D,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,1,07:30,3,45,"CAUSEUR, FABIEN",P001392   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,,07:30,3,46,,          ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,3,07:30,3,47,"RIVERS, KC",P002429   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,7,07:30,3,48,"DONCIC, LUKA",P005929   ,Foul (1),CM,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,0,07:30,3,49,"SINGLETON, CHRIS",P006614   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,14,07:30,3,50,"AYON, GUSTAVO",P005927   ,Steal (1),ST,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,44,07:06,3,51,"TAYLOR, JEFFERY",P006546   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,4.0,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,14,07:05,3,52,"AYON, GUSTAVO",P005927   ,Assist (1),AS,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,15,06:45,4,54,"VOUGIOUKAS, IAN",PTFX      ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,14,06:43,4,55,"AYON, GUSTAVO",P005927   ,Steal (2),ST,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,1,06:31,4,56,"CAUSEUR, FABIEN",P001392   ,Foul Drawn (1),RV,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,15,06:31,4,57,"VOUGIOUKAS, IAN",PTFX      ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,1,06:31,4,58,"CAUSEUR, FABIEN",P001392   ,Free Throw In (1/1 -  1 pt),FTM,5.0,4.0,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,1,06:31,4,59,"CAUSEUR, FABIEN",P001392   ,Missed Free Throw (1/2 -  1 pt),FTA,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,3,06:31,4,60,"RIVERS, KC",P002429   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,5,06:10,4,61,"JAMES, MIKE",P005985   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,33,06:08,4,62,"THOMPKINS, TREY",P005836   ,Def Rebound (2),D,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
MAD       ,,44,06:01,4,63,"TAYLOR, JEFFERY",P006546   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Real Madrid,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,05:58,5,65,"CALATHES, NICK",P001932   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Real Madrid,MAD,Panathinaikos Superfoods Athens,PAN
