CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
ZAL       ,,0,10:00,1,3,"DAVIES, BRANDON",P007870   ,,TPOFF,,,Zalgiris Kaunas,0
OLY       ,,1,10:00,1,4,"MCLEAN, JAMEL",P004418   ,,TPOFF,,,Olympiacos Piraeus,0
ZAL       ,,3,09:48,1,5,"PANGOS, KEVIN",P006433   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Zalgiris Kaunas,0
OLY       ,,1,09:22,1,6,"MCLEAN, JAMEL",P004418   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Olympiacos Piraeus,0
ZAL       ,,13,09:20,1,7,"JANKUNAS, PAULIUS",PBWI      ,Def Rebound (1),D,,,Zalgiris Kaunas,0
ZAL       ,,13,09:00,1,8,"JANKUNAS, PAULIUS",PBWI      ,Three Pointer (1/1 -  3 pt),3FGM,5.0,,Zalgiris Kaunas,0
ZAL       ,,22,08:58,2,10,"MICIC, VASILIJE",P002580   ,Assist (1),AS,,,Zalgiris Kaunas,0
OLY       ,,22,08:35,2,11,"ROBERTS, BRIAN",P002091   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,3.0,Olympiacos Piraeus,0
OLY       ,,16,08:32,2,12,"PAPANIKOLAOU, KOSTAS",P001255   ,Assist (1),AS,,,Olympiacos Piraeus,0
OLY       ,,16,08:17,2,13,"PAPANIKOLAOU, KOSTAS",P001255   ,Foul (1),CM,,,Olympiacos Piraeus,0
ZAL       ,,0,08:17,2,14,"DAVIES, BRANDON",P007870   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
ZAL       ,,92,08:07,2,15,"ULANOVAS, EDGARAS",P002329   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Zalgiris Kaunas,0
OLY       ,,14,08:04,2,16,"TILLIE, KIM",P002744   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
ZAL       ,,3,08:01,2,17,"PANGOS, KEVIN",P006433   ,Foul (1),CM,,,Zalgiris Kaunas,0
OLY       ,,22,08:01,2,18,"ROBERTS, BRIAN",P002091   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
OLY       ,,22,08:01,2,19,"ROBERTS, BRIAN",P002091   ,Free Throw In (1/1 -  4 pt),FTM,5.0,4.0,Olympiacos Piraeus,0
OLY       ,,22,08:01,2,20,"ROBERTS, BRIAN",P002091   ,Free Throw In (2/2 -  5 pt),FTM,5.0,5.0,Olympiacos Piraeus,0
ZAL       ,,22,07:33,3,22,"MICIC, VASILIJE",P002580   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0
ZAL       ,,92,07:31,3,23,"ULANOVAS, EDGARAS",P002329   ,Off Rebound (1),O,,,Zalgiris Kaunas,0
ZAL       ,,13,07:26,3,24,"JANKUNAS, PAULIUS",PBWI      ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Zalgiris Kaunas,0
OLY       ,,1,07:23,3,25,"MCLEAN, JAMEL",P004418   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,7,07:17,3,26,"SPANOULIS, VASSILIS",PJUO      ,Turnover (1),TO,,,Olympiacos Piraeus,0
ZAL       ,,22,07:15,3,27,"MICIC, VASILIJE",P002580   ,Steal (1),ST,,,Zalgiris Kaunas,0
ZAL       ,,3,07:00,3,28,"PANGOS, KEVIN",P006433   ,Three Pointer (1/1 -  5 pt),3FGM,8.0,5.0,Zalgiris Kaunas,0
ZAL       ,,13,07:00,3,29,"JANKUNAS, PAULIUS",PBWI      ,Assist (1),AS,,,Zalgiris Kaunas,0
ZAL       ,,22,06:40,4,31,"MICIC, VASILIJE",P002580   ,Foul (1),CM,,,Zalgiris Kaunas,0
OLY       ,,7,06:40,4,32,"SPANOULIS, VASSILIS",PJUO      ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
OLY       ,,,06:25,4,33,,          ,Turnover (1),TO,,,Olympiacos Piraeus,0
ZAL       ,,22,06:02,4,34,"MICIC, VASILIJE",P002580   ,Three Pointer (1/1 -  3 pt),3FGM,11.0,5.0,Zalgiris Kaunas,0
ZAL       ,,92,05:59,5,36,"ULANOVAS, EDGARAS",P002329   ,Assist (1),AS,,,Zalgiris Kaunas,0
OLY       ,,7,05:47,5,37,"SPANOULIS, VASSILIS",PJUO      ,Turnover (2),TO,,,Olympiacos Piraeus,0
ZAL       ,,0,05:45,5,38,"DAVIES, BRANDON",P007870   ,Steal (1),ST,,,Zalgiris Kaunas,0
ZAL       ,,3,05:39,5,39,"PANGOS, KEVIN",P006433   ,Missed Three Pointer (1/2 -  5 pt),3FGA,,,Zalgiris Kaunas,0
ZAL       ,,3,05:36,5,40,"PANGOS, KEVIN",P006433   ,Off Rebound (1),O,,,Zalgiris Kaunas,0
ZAL       ,,22,05:33,5,41,"MICIC, VASILIJE",P002580   ,Three Pointer (2/2 -  6 pt),3FGM,14.0,5.0,Zalgiris Kaunas,0
ZAL       ,,3,05:33,5,42,"PANGOS, KEVIN",P006433   ,Assist (1),AS,,,Zalgiris Kaunas,0
OLY       ,,,05:33,5,43,,          ,Time Out (1),TOUT,,,Olympiacos Piraeus,0
          ,,,05:33,5,44,,          ,TV Time Out (1),TOUT_TV,,,,0
OLY       ,,7,05:16,5,45,"SPANOULIS, VASSILIS",PJUO      ,Three Pointer (1/1 -  3 pt),3FGM,14.0,8.0,Olympiacos Piraeus,0
ZAL       ,,92,05:01,5,46,"ULANOVAS, EDGARAS",P002329   ,Two Pointer (1/1 -  2 pt),2FGM,16.0,8.0,Zalgiris Kaunas,0
ZAL       ,,0,04:44,6,48,"DAVIES, BRANDON",P007870   ,Foul (1),CM,,,Zalgiris Kaunas,0
OLY       ,,1,04:44,6,49,"MCLEAN, JAMEL",P004418   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
ZAL       ,,13,04:44,6,50,"JANKUNAS, PAULIUS",PBWI      ,Out,OUT,,,Zalgiris Kaunas,0
ZAL       ,,30,04:44,6,51,"WHITE, AARON",P006505   ,In,IN,,,Zalgiris Kaunas,0
OLY       ,,14,04:44,6,52,"TILLIE, KIM",P002744   ,Out,OUT,,,Olympiacos Piraeus,0
OLY       ,,33,04:44,6,53,"WILTJER, KYLE",P008052   ,In,IN,,,Olympiacos Piraeus,0
OLY       ,,1,04:44,6,54,"MCLEAN, JAMEL",P004418   ,Free Throw In (1/1 -  1 pt),FTM,16.0,9.0,Olympiacos Piraeus,0
OLY       ,,22,04:44,6,55,"ROBERTS, BRIAN",P002091   ,Assist (1),AS,,,Olympiacos Piraeus,0
OLY       ,,1,04:44,6,56,"MCLEAN, JAMEL",P004418   ,Free Throw In (2/2 -  2 pt),FTM,16.0,10.0,Olympiacos Piraeus,0
ZAL       ,,3,04:31,6,57,"PANGOS, KEVIN",P006433   ,Two Pointer (2/2 -  7 pt),2FGM,18.0,10.0,Zalgiris Kaunas,0
OLY       ,,1,04:13,6,58,"MCLEAN, JAMEL",P004418   ,Out,OUT,,,Olympiacos Piraeus,0
OLY       ,,11,04:13,6,59,"MILUTINOV, NIKOLA",P003941   ,In,IN,,,Olympiacos Piraeus,0
OLY       ,,16,04:10,6,60,"PAPANIKOLAOU, KOSTAS",P001255   ,Two Pointer (1/1 -  2 pt),2FGM,18.0,12.0,Olympiacos Piraeus,0
OLY       ,,7,04:10,6,61,"SPANOULIS, VASSILIS",PJUO      ,Assist (1),AS,,,Olympiacos Piraeus,0
ZAL       ,,30,04:10,6,62,"WHITE, AARON",P006505   ,Foul (1),CM,,,Zalgiris Kaunas,0
OLY       ,,16,04:10,6,63,"PAPANIKOLAOU, KOSTAS",P001255   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
ZAL       ,,6,04:10,6,64,"TOUPANE, AXEL",P002582   ,In,IN,,,Zalgiris Kaunas,0
ZAL       ,,22,04:10,6,65,"MICIC, VASILIJE",P002580   ,Out,OUT,,,Zalgiris Kaunas,0
OLY       ,,16,04:10,6,66,"PAPANIKOLAOU, KOSTAS",P001255   ,Free Throw In (1/1 -  3 pt),FTM,18.0,13.0,Olympiacos Piraeus,0
ZAL       ,,3,03:57,7,68,"PANGOS, KEVIN",P006433   ,Three Pointer (2/3 -  10 pt),3FGM,21.0,13.0,Zalgiris Kaunas,0
OLY       ,,7,03:36,7,69,"SPANOULIS, VASSILIS",PJUO      ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Olympiacos Piraeus,0
OLY       ,,11,03:36,7,70,"MILUTINOV, NIKOLA",P003941   ,Off Rebound (1),O,,,Olympiacos Piraeus,0
ZAL       ,,0,03:36,7,71,"DAVIES, BRANDON",P007870   ,Foul (2),CM,,,Zalgiris Kaunas,0
OLY       ,,11,03:36,7,72,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
ZAL       ,,0,03:36,7,73,"DAVIES, BRANDON",P007870   ,Out,OUT,,,Zalgiris Kaunas,0
ZAL       ,,44,03:36,7,74,"KAVALIAUSKAS, ANTANAS",P000399   ,In,IN,,,Zalgiris Kaunas,0
OLY       ,,7,03:36,7,75,"SPANOULIS, VASSILIS",PJUO      ,Out,OUT,,,Olympiacos Piraeus,0
OLY       ,,13,03:36,7,76,"STRELNIEKS, JANIS",P000046   ,In,IN,,,Olympiacos Piraeus,0
OLY       ,,11,03:36,7,77,"MILUTINOV, NIKOLA",P003941   ,Free Throw In (1/1 -  1 pt),FTM,21.0,14.0,Olympiacos Piraeus,0
OLY       ,,11,03:36,7,78,"MILUTINOV, NIKOLA",P003941   ,Missed Free Throw (1/2 -  1 pt),FTA,,,Olympiacos Piraeus,0
ZAL       ,,92,03:33,7,79,"ULANOVAS, EDGARAS",P002329   ,Def Rebound (1),D,,,Zalgiris Kaunas,0
OLY       ,,16,03:28,7,80,"PAPANIKOLAOU, KOSTAS",P001255   ,Foul (2),CM,,,Olympiacos Piraeus,0
ZAL       ,,92,03:28,7,81,"ULANOVAS, EDGARAS",P002329   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
