CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Real Madrid,MAD,Fenerbahce Dogus Istanbul,ULK
MAD       ,,14,09:59,1,3,"AYON, GUSTAVO",P005927   ,,TPOFF,,,Real Madrid,0,Real Madrid,MAD,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,09:44,1,4,"GUDURIC, MARKO",P004004   ,,TPOFF,,,Fenerbahce Dogus Istanbul,0,Real Madrid,MAD,Fenerbahce Dogus Istanbul,ULK
ULK       ,,44,09:41,1,5,"DUVERIOGLU, AHMET",P006399   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Fenerbahce Dogus Istanbul,0,Real Madrid,MAD,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,09:41,1,6,"GUDURIC, MARKO",P004004   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0,Real Madrid,MAD,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,09:29,1,7,"VESELY, JAN",P000925   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0,Real Madrid,MAD,Fenerbahce Dogus Istanbul,ULK
MAD       ,,9,09:29,1,8,"REYES, FELIPE",PAAX      ,Foul Drawn (1),RV,,,Real Madrid,0,Real Madrid,MAD,Fenerbahce Dogus Istanbul,ULK
MAD       ,,14,09:18,1,9,"AYON, GUSTAVO",P005927   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0,Real Madrid,MAD,Fenerbahce Dogus Istanbul,ULK
MAD       ,,14,09:17,1,10,"AYON, GUSTAVO",P005927   ,Off Rebound (1),O,,,Real Madrid,0,Real Madrid,MAD,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,09:14,1,11,"GUDURIC, MARKO",P004004   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0,Real Madrid,MAD,Fenerbahce Dogus Istanbul,ULK
