CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,09:51,1,3,"SHENGELIA, TORNIKE",P001133   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,09:49,1,4,"JANNING, MATT",P004165   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,0,09:32,1,5,"GOUDELOCK, ANDREW",P004903   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,09:16,1,6,"JANNING, MATT",P004165   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,15,09:13,1,7,"TARCZEWSKI, KALEB",P008004   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,0,08:58,2,9,"GOUDELOCK, ANDREW",P004903   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,08:56,2,10,"VOIGTMANN, JOHANNES",P007201   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,08:46,2,11,"SHENGELIA, TORNIKE",P001133   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,15,08:46,2,12,"TARCZEWSKI, KALEB",P008004   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,08:46,2,13,"SHENGELIA, TORNIKE",P001133   ,Free Throw In (1/1 -  3 pt),FTM,2.0,3.0,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,3,08:46,2,14,"VILDOZA, LUCA",P007947   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,08:46,2,15,"SHENGELIA, TORNIKE",P001133   ,Free Throw In (2/2 -  4 pt),FTM,2.0,4.0,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,34,08:31,2,16,"JEFFERSON, CORY",P007992   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,4.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,08:15,2,17,"VOIGTMANN, JOHANNES",P007201   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,25,07:59,3,19,"THEODORE, JORDAN",P007946   ,Turnover (1),TO,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,07:55,3,20,"JANNING, MATT",P004165   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,07:51,3,21,"SHENGELIA, TORNIKE",P001133   ,Two Pointer (2/2 -  6 pt),2FGM,4.0,6.0,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,07:49,3,22,"JANNING, MATT",P004165   ,Assist (2),AS,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,34,07:39,3,23,"JEFFERSON, CORY",P007992   ,Two Pointer (2/2 -  4 pt),2FGM,6.0,6.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,3,07:24,3,24,"VILDOZA, LUCA",P007947   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,0,07:21,3,25,"GOUDELOCK, ANDREW",P004903   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,0,07:11,3,26,"GOUDELOCK, ANDREW",P004903   ,Three Pointer (1/1 -  5 pt),3FGM,9.0,6.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,25,07:09,3,27,"THEODORE, JORDAN",P007946   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,3,06:49,4,29,"VILDOZA, LUCA",P007947   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,25,06:49,4,30,"THEODORE, JORDAN",P007946   ,Two Pointer (1/1 -  2 pt),2FGM,11.0,6.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,3,06:49,4,31,"VILDOZA, LUCA",P007947   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,06:49,4,32,"VOIGTMANN, JOHANNES",P007201   ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,06:49,4,33,"VOIGTMANN, JOHANNES",P007201   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,15,06:49,4,34,"TARCZEWSKI, KALEB",P008004   ,Def Rebound (2),D,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,25,06:04,4,35,"THEODORE, JORDAN",P007946   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,,06:04,4,36,,          ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,05:48,5,38,"VOIGTMANN, JOHANNES",P007201   ,Two Pointer (1/2 -  2 pt),2FGM,11.0,8.0,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,05:48,5,39,"VOIGTMANN, JOHANNES",P007201   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,15,05:48,5,40,"TARCZEWSKI, KALEB",P008004   ,Foul (2),CM,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,05:48,5,41,"VOIGTMANN, JOHANNES",P007201   ,Free Throw In (1/1 -  3 pt),FTM,11.0,9.0,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,15,05:23,5,42,"TARCZEWSKI, KALEB",P008004   ,Two Pointer (1/1 -  2 pt),2FGM,13.0,9.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,0,05:23,5,43,"GOUDELOCK, ANDREW",P004903   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,15,05:23,5,44,"TARCZEWSKI, KALEB",P008004   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,05:23,5,45,"TIMMA, JANIS",P005718   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,3,05:22,5,46,"VILDOZA, LUCA",P007947   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,9,05:22,5,47,"HUERTAS, MARCELINHO",PJUJ      ,In,IN,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,15,05:22,5,48,"TARCZEWSKI, KALEB",P008004   ,Free Throw In (1/1 -  3 pt),FTM,14.0,9.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,05:04,5,49,"TIMMA, JANIS",P005718   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,,05:03,5,50,,          ,Def Rebound (2),D,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,0,04:40,6,52,"GOUDELOCK, ANDREW",P004903   ,Missed Three Pointer (1/2 -  5 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,,04:40,6,54,,          ,Def Rebound (3),D,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,04:40,6,55,"JANNING, MATT",P004165   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,34,04:40,6,56,"JEFFERSON, CORY",P007992   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
          ,,,04:38,6,57,,          ,TV Time Out (1),TOUT_TV,,,,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,15,04:38,6,58,"TARCZEWSKI, KALEB",P008004   ,Out,OUT,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,77,04:38,6,59,"GUDAITIS, ARTURAS",P003120   ,In,IN,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,04:38,6,60,"VOIGTMANN, JOHANNES",P007201   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,17,04:38,6,61,"POIRIER, VINCENT",P004887   ,In,IN,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,04:37,6,62,"TIMMA, JANIS",P005718   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,5,04:37,6,63,"MICOV, VLADIMIR",P000529   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,04:37,6,64,"TIMMA, JANIS",P005718   ,Free Throw In (1/1 -  1 pt),FTM,14.0,10.0,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,17,04:37,6,65,"POIRIER, VINCENT",P004887   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,04:37,6,66,"TIMMA, JANIS",P005718   ,Free Throw In (2/2 -  2 pt),FTM,14.0,11.0,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,5,04:02,6,67,"MICOV, VLADIMIR",P000529   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,04:00,6,68,"SHENGELIA, TORNIKE",P001133   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,9,03:47,7,70,"HUERTAS, MARCELINHO",PJUJ      ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,34,03:47,7,71,"JEFFERSON, CORY",P007992   ,Foul (2),CM,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,03:45,7,72,"BEAUBOIS, RODRIGUE",P006590   ,In,IN,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,03:45,7,73,"JANNING, MATT",P004165   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,34,03:45,7,75,"JEFFERSON, CORY",P007992   ,Missed Three Pointer (0/1 -  4 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,03:45,7,76,"BEAUBOIS, RODRIGUE",P006590   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,17,03:19,7,77,"POIRIER, VINCENT",P004887   ,Two Pointer (1/1 -  2 pt),2FGM,14.0,13.0,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,03:18,7,78,"BEAUBOIS, RODRIGUE",P006590   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,34,03:06,7,79,"JEFFERSON, CORY",P007992   ,Three Pointer (1/2 -  7 pt),3FGM,17.0,13.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,25,03:03,7,80,"THEODORE, JORDAN",P007946   ,Assist (2),AS,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,9,02:47,8,82,"HUERTAS, MARCELINHO",PJUJ      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,,02:46,8,83,,          ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,0,02:47,8,84,"GOUDELOCK, ANDREW",P004903   ,Out,OUT,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,5,02:47,8,85,"MICOV, VLADIMIR",P000529   ,Out,OUT,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,9,02:47,8,86,"KALNIETIS, MANTAS",PJBX      ,In,IN,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
MIL       ,,55,02:47,8,87,"JERRELLS, CURTIS",P003067   ,In,IN,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,21,02:47,8,88,"JONES, KEVIN",P007185   ,In,IN,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,02:47,8,89,"SHENGELIA, TORNIKE",P001133   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,02:44,8,90,"TIMMA, JANIS",P005718   ,Missed Three Pointer (0/2 -  2 pt),3FGA,,,Baskonia Vitoria Gasteiz,0,AX Armani Exchange Olimpia Milan,MIL,Baskonia Vitoria Gasteiz,BAS
