CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,11,09:59,1,3,"CAMPAZZO, FACUNDO",P005928   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
BAM       ,,3,09:17,1,4,"WRIGHT, DORELL",P008049   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Brose Bamberg,0,Brose Bamberg,BAM,Real Madrid,MAD
BAM       ,,12,09:15,1,5,"LO, MAODO",P007032   ,Assist (1),AS,,,Brose Bamberg,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,11,08:49,2,7,"CAMPAZZO, FACUNDO",P005928   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,22,08:46,2,8,"TAVARES, WALTER",P005791   ,Off Rebound (1),O,,,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,22,08:43,2,9,"TAVARES, WALTER",P005791   ,Two Pointer (1/1 -  2 pt),2FGM,3.0,4.0,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,11,08:28,2,10,"CAMPAZZO, FACUNDO",P005928   ,Foul (1),CM,,,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
BAM       ,,43,08:28,2,11,"RADOSEVIC, LEON",PLEM      ,Foul Drawn (1),RV,,,Brose Bamberg,0,Brose Bamberg,BAM,Real Madrid,MAD
BAM       ,,43,08:23,2,12,"RADOSEVIC, LEON",PLEM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,1,08:21,2,13,"CAUSEUR, FABIEN",P001392   ,Def Rebound (1),D,,,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,22,08:14,2,14,"TAVARES, WALTER",P005791   ,Turnover (1),TO,,,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
BAM       ,,3,08:14,2,15,"WRIGHT, DORELL",P008049   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Brose Bamberg,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,11,08:14,2,16,"CAMPAZZO, FACUNDO",P005928   ,Def Rebound (1),D,,,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,33,07:46,3,18,"THOMPKINS, TREY",P005836   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,7.0,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,11,07:46,3,19,"CAMPAZZO, FACUNDO",P005928   ,Assist (1),AS,,,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
BAM       ,,3,07:24,3,20,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Brose Bamberg,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,22,07:22,3,21,"TAVARES, WALTER",P005791   ,Def Rebound (1),D,,,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
MAD       ,,33,07:19,3,22,"THOMPKINS, TREY",P005836   ,Two Pointer (1/1 -  5 pt),2FGM,3.0,9.0,Real Madrid,0,Brose Bamberg,BAM,Real Madrid,MAD
