CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,33,,          ,Begin Period,BP,,,,0,FC Barcelona Lassa,BAR,CSKA Moscow,CSK
BAR       ,,9,09:47,1,34,"HANGA, ADAM",P005099   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,CSKA Moscow,CSK
CSK       ,,22,09:44,1,35,"HIGGINS, CORY",P006450   ,Def Rebound (1),D,,,CSKA Moscow,0,FC Barcelona Lassa,BAR,CSKA Moscow,CSK
CSK       ,,13,09:33,1,36,"RODRIGUEZ, SERGIO",PCVM      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,CSKA Moscow,0,FC Barcelona Lassa,BAR,CSKA Moscow,CSK
CSK       ,,42,09:31,1,37,"HINES, KYLE",P002812   ,Off Rebound (1),O,,,CSKA Moscow,0,FC Barcelona Lassa,BAR,CSKA Moscow,CSK
CSK       ,,13,09:20,1,38,"RODRIGUEZ, SERGIO",PCVM      ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,CSKA Moscow,0,FC Barcelona Lassa,BAR,CSKA Moscow,CSK
CSK       ,,22,09:17,1,39,"HIGGINS, CORY",P006450   ,Assist (1),AS,,,CSKA Moscow,0,FC Barcelona Lassa,BAR,CSKA Moscow,CSK
CSK       ,,41,09:07,1,40,"KURBANOV, NIKITA",PJLX      ,Foul (1),CM,,,CSKA Moscow,0,FC Barcelona Lassa,BAR,CSKA Moscow,CSK
BAR       ,,44,09:07,1,41,"TOMIC, ANTE",P002507   ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,CSKA Moscow,CSK
CSK       ,,42,08:53,2,43,"HINES, KYLE",P002812   ,Foul (1),CM,,,CSKA Moscow,0,FC Barcelona Lassa,BAR,CSKA Moscow,CSK
