CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,19,,          ,Begin Period,BP,,,,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,11,09:41,1,20,"CAMPAZZO, FACUNDO",P005928   ,Foul Drawn (1),RV,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,09:41,1,21,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,33,09:35,1,22,"THOMPKINS, TREY",P005836   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,11,09:32,1,23,"CAMPAZZO, FACUNDO",P005928   ,Off Rebound (1),O,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,09:28,1,25,"PARAKHOUSKI, ARTSIOM",P003034   ,Steal (1),ST,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,11,09:26,1,24,"CAMPAZZO, FACUNDO",P005928   ,Turnover (1),TO,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,09:17,1,26,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,33,09:17,1,27,"THOMPKINS, TREY",P005836   ,Foul (1),CM,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,55,09:10,1,28,"JACKSON, PIERRE",P005112   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,5,09:07,1,29,"ROLL, MICHAEL",P004974   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,22,08:57,2,31,"TAVARES, WALTER",P005791   ,Foul Drawn (1),RV,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,43,08:57,2,32,"BOLDEN, JONAH",P007988   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,22,08:57,2,33,"TAVARES, WALTER",P005791   ,Free Throw In (1/1 -  1 pt),FTM,1.0,3.0,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,1,08:57,2,119,"CAUSEUR, FABIEN",P001392   ,Assist (1),AS,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,22,08:57,2,34,"TAVARES, WALTER",P005791   ,Free Throw In (2/2 -  2 pt),FTM,2.0,3.0,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,08:30,2,35,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,5.0,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,55,08:28,2,36,"JACKSON, PIERRE",P005112   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,33,08:25,2,37,"THOMPKINS, TREY",P005836   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,5.0,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,43,08:25,2,38,"BOLDEN, JONAH",P007988   ,Three Pointer (1/1 -  3 pt),3FGM,4.0,8.0,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,50,08:25,2,39,"ZOOSMAN, YOVEL",P006625   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,1,07:40,3,41,"CAUSEUR, FABIEN",P001392   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,11,07:37,3,42,"CAMPAZZO, FACUNDO",P005928   ,Off Rebound (2),O,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,11,07:33,3,43,"CAMPAZZO, FACUNDO",P005928   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,07:31,3,44,"PARAKHOUSKI, ARTSIOM",P003034   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,07:23,3,45,"PARAKHOUSKI, ARTSIOM",P003034   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,43,07:21,3,46,"BOLDEN, JONAH",P007988   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,50,07:19,3,47,"ZOOSMAN, YOVEL",P006625   ,Three Pointer (1/1 -  3 pt),3FGM,4.0,11.0,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,43,07:16,3,48,"BOLDEN, JONAH",P007988   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,16,07:00,3,49,"YUSTA, SANTI",P005368   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,,07:00,3,50,,          ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,55,06:46,4,52,"JACKSON, PIERRE",P005112   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,11,06:46,4,53,"CAMPAZZO, FACUNDO",P005928   ,Foul (1),CM,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
TEL       ,,5,06:36,4,54,"ROLL, MICHAEL",P004974   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
MAD       ,,22,06:33,4,55,"TAVARES, WALTER",P005791   ,Def Rebound (1),D,,,Real Madrid,0,Real Madrid,MAD,Maccabi FOX Tel Aviv,TEL
