CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,20,,          ,Begin Period,BP,,,,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,09:54,1,21,"JANNING, MATT",P004165   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,09:52,1,22,"JANNING, MATT",P004165   ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,09:44,1,23,"GRANGER, JAYSON",P003024   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
MAD       ,,33,09:42,1,24,"THOMPKINS, TREY",P005836   ,Def Rebound (1),D,,,Real Madrid,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
MAD       ,,22,09:25,1,25,"TAVARES, WALTER",P005791   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,09:23,1,26,"GRANGER, JAYSON",P003024   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,09:08,1,27,"GRANGER, JAYSON",P003024   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,09:08,1,28,"GRANGER, JAYSON",P003024   ,Shot Rejected (1),AG,,,Baskonia Vitoria Gasteiz,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
MAD       ,,22,09:05,1,29,"TAVARES, WALTER",P005791   ,Block (1),FV,,,Real Madrid,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
MAD       ,,1,09:03,1,30,"CAUSEUR, FABIEN",P001392   ,Def Rebound (1),D,,,Real Madrid,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
MAD       ,,1,09:01,1,31,"CAUSEUR, FABIEN",P001392   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Real Madrid,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
MAD       ,,1,09:01,1,32,"CAUSEUR, FABIEN",P001392   ,Foul Drawn (1),RV,,,Real Madrid,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,09:01,1,33,"TIMMA, JANIS",P005718   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
MAD       ,,1,09:01,1,34,"CAUSEUR, FABIEN",P001392   ,Missed Free Throw (0/1 -  2 pt),FTA,,,Real Madrid,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,09:01,1,35,"SHENGELIA, TORNIKE",P001133   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,08:44,2,37,"GRANGER, JAYSON",P003024   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
MAD       ,,11,08:44,2,38,"CAMPAZZO, FACUNDO",P005928   ,Steal (1),ST,,,Real Madrid,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
MAD       ,,11,08:29,2,39,"CAMPAZZO, FACUNDO",P005928   ,Turnover (1),TO,,,Real Madrid,0,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS
