CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,16,,          ,Begin Period,BP,,,,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,0,09:48,1,17,"SINGLETON, CHRIS",P006614   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,33,09:46,1,18,"CALATHES, NICK",P001932   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,12,09:37,1,19,"DENMON, MARCUS",P004195   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,09:35,1,20,"BEAUBOIS, RODRIGUE",P006590   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,09:26,1,21,"SHENGELIA, TORNIKE",P001133   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,09:24,1,22,"BEAUBOIS, RODRIGUE",P006590   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,0,09:10,1,23,"SINGLETON, CHRIS",P006614   ,Three Pointer (1/2 -  3 pt),3FGM,3.0,2.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,12,09:08,1,24,"DENMON, MARCUS",P004195   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,08:49,2,26,"BEAUBOIS, RODRIGUE",P006590   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,08:47,2,27,"VOIGTMANN, JOHANNES",P007201   ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,08:47,2,28,"VOIGTMANN, JOHANNES",P007201   ,Two Pointer (1/1 -  2 pt),2FGM,3.0,4.0,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,0,08:47,2,29,"SINGLETON, CHRIS",P006614   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,08:47,2,30,"VOIGTMANN, JOHANNES",P007201   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,08:47,2,31,"VOIGTMANN, JOHANNES",P007201   ,Free Throw In (1/1 -  3 pt),FTM,3.0,5.0,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,14,08:28,2,32,"GIST, JAMES",P002980   ,Three Pointer (1/1 -  3 pt),3FGM,6.0,5.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,33,08:27,2,33,"CALATHES, NICK",P001932   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,08:10,2,34,"SHENGELIA, TORNIKE",P001133   ,Two Pointer (2/2 -  4 pt),2FGM,6.0,7.0,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,33,07:53,3,36,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,29,07:51,3,37,"GARINO, PATRICIO",P007994   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,07:45,3,38,"BEAUBOIS, RODRIGUE",P006590   ,Three Pointer (1/1 -  3 pt),3FGM,6.0,10.0,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,29,07:45,3,39,"GARINO, PATRICIO",P007994   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,,07:45,3,40,,          ,Time Out (1),TOUT,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,0,07:30,3,41,"SINGLETON, CHRIS",P006614   ,Missed Three Pointer (1/3 -  3 pt),3FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,07:29,3,42,"BEAUBOIS, RODRIGUE",P006590   ,Def Rebound (2),D,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,07:24,3,43,"BEAUBOIS, RODRIGUE",P006590   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,12,07:23,3,44,"DENMON, MARCUS",P004195   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,43,07:18,3,45,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Two Pointer (1/1 -  2 pt),2FGM,8.0,10.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,12,07:16,3,46,"DENMON, MARCUS",P004195   ,Assist (2),AS,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,07:00,4,48,"VOIGTMANN, JOHANNES",P007201   ,Two Pointer (2/2 -  5 pt),2FGM,8.0,12.0,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,12,06:36,4,49,"DENMON, MARCUS",P004195   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,29,06:34,4,50,"GARINO, PATRICIO",P007994   ,Def Rebound (2),D,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,06:24,4,51,"GRANGER, JAYSON",P003024   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,,06:22,4,52,,          ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,33,06:13,4,53,"CALATHES, NICK",P001932   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,06:11,4,54,"SHENGELIA, TORNIKE",P001133   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,06:09,4,55,"SHENGELIA, TORNIKE",P001133   ,Two Pointer (3/3 -  6 pt),2FGM,8.0,14.0,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,43,05:49,5,57,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,29,05:48,5,58,"GARINO, PATRICIO",P007994   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,05:37,5,59,"BEAUBOIS, RODRIGUE",P006590   ,Missed Two Pointer (0/2 -  3 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,0,05:35,5,60,"SINGLETON, CHRIS",P006614   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,12,05:28,5,61,"DENMON, MARCUS",P004195   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,14,05:27,5,62,"GIST, JAMES",P002980   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,33,05:22,5,63,"CALATHES, NICK",P001932   ,Two Pointer (1/2 -  2 pt),2FGM,10.0,14.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,05:00,5,64,"VOIGTMANN, JOHANNES",P007201   ,Two Pointer (3/3 -  7 pt),2FGM,10.0,16.0,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,04:58,6,66,"SHENGELIA, TORNIKE",P001133   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,29,04:43,6,67,"GARINO, PATRICIO",P007994   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,43,04:43,6,68,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,04:43,6,69,"TIMMA, JANIS",P005718   ,In,IN,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,10,04:43,6,70,"BEAUBOIS, RODRIGUE",P006590   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,04:43,6,71,"JANNING, MATT",P004165   ,In,IN,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,29,04:43,6,72,"GARINO, PATRICIO",P007994   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,43,04:43,6,73,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Missed Free Throw (0/1 -  2 pt),FTA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,43,04:43,6,74,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Free Throw In (1/2 -  3 pt),FTM,11.0,16.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,33,04:43,6,75,"CALATHES, NICK",P001932   ,Assist (2),AS,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,3,04:43,6,76,"RIVERS, KC",P002429   ,In,IN,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
PAN       ,,43,04:43,6,77,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Out,OUT,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,04:20,6,78,"SHENGELIA, TORNIKE",P001133   ,Missed Two Pointer (3/4 -  6 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,Panathinaikos Superfoods Athens,PAN,Baskonia Vitoria Gasteiz,BAS
