CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,9,,          ,Begin Period,BP,,,,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,6,09:57,1,10,"ZISIS, NIKOS",PABN      ,Turnover (1),TO,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,17,09:52,1,11,"MARTINEZ, RAFA",P001351   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,0,09:52,1,12,"THOMAS, WILL",P005856   ,Assist (1),AS,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,3,09:10,1,13,"WRIGHT, DORELL",P008049   ,Turnover (1),TO,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,14,08:55,2,15,"DUBLJEVIC, BOJAN",P002742   ,Foul Drawn (1),RV,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,43,08:55,2,16,"RADOSEVIC, LEON",PLEM      ,Foul (1),CM,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,6,08:46,2,17,"ABALDE, ALBERTO",P003733   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,17,08:44,2,18,"MARTINEZ, RAFA",P001351   ,Assist (1),AS,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,21,08:32,2,19,"RUBIT, AUGUSTINE",P006477   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,43,08:30,2,20,"RADOSEVIC, LEON",PLEM      ,Off Rebound (1),O,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,6,08:20,2,21,"ZISIS, NIKOS",PABN      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,14,08:18,2,22,"DUBLJEVIC, BOJAN",P002742   ,Def Rebound (1),D,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,19,08:14,2,23,"SAN EMETERIO, FERNANDO",P000518   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,14,08:14,2,24,"DUBLJEVIC, BOJAN",P002742   ,Assist (1),AS,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,0,08:14,2,25,"THOMAS, WILL",P005856   ,Foul Drawn (1),RV,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,21,08:14,2,26,"RUBIT, AUGUSTINE",P006477   ,Foul (1),CM,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,0,08:11,2,27,"THOMAS, WILL",P005856   ,Foul Drawn (2),RV,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,43,08:11,2,28,"RADOSEVIC, LEON",PLEM      ,Foul (2),CM,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,0,08:11,2,29,"THOMAS, WILL",P005856   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,0,08:11,2,30,"THOMAS, WILL",P005856   ,Free Throw In (1/2 -  1 pt),FTM,8.0,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,17,08:11,2,31,"MARTINEZ, RAFA",P001351   ,Assist (2),AS,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,42,08:11,2,32,"MUSLI, DEJAN",PLUR      ,In,IN,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,43,08:11,2,33,"RADOSEVIC, LEON",PLEM      ,Out,OUT,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,2,07:59,3,35,"HICKMAN, RICKY",P004159   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,14,07:57,3,36,"DUBLJEVIC, BOJAN",P002742   ,Def Rebound (2),D,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,14,07:46,3,37,"DUBLJEVIC, BOJAN",P002742   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,3,07:44,3,38,"WRIGHT, DORELL",P008049   ,Def Rebound (1),D,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,21,07:40,3,39,"RUBIT, AUGUSTINE",P006477   ,Two Pointer (1/2 -  2 pt),2FGM,8.0,2.0,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,2,07:40,3,40,"HICKMAN, RICKY",P004159   ,Assist (1),AS,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,6,07:00,3,41,"ABALDE, ALBERTO",P003733   ,Two Pointer (2/2 -  4 pt),2FGM,10.0,2.0,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,3,06:46,4,43,"WRIGHT, DORELL",P008049   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,17,06:44,4,44,"MARTINEZ, RAFA",P001351   ,Def Rebound (1),D,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,14,06:38,4,45,"DUBLJEVIC, BOJAN",P002742   ,Three Pointer (1/1 -  3 pt),3FGM,13.0,2.0,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,17,06:37,4,46,"MARTINEZ, RAFA",P001351   ,Assist (3),AS,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,,06:37,4,47,,          ,Time Out (1),TOUT,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,0,06:27,4,48,"THOMAS, WILL",P005856   ,Foul Drawn (3),RV,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,6,06:27,4,49,"ZISIS, NIKOS",PABN      ,Offensive Foul (1),OF,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,6,06:27,4,50,"ZISIS, NIKOS",PABN      ,Turnover (2),TO,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,14,06:12,4,51,"DUBLJEVIC, BOJAN",P002742   ,Three Pointer (2/2 -  6 pt),3FGM,16.0,2.0,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,19,06:10,4,52,"SAN EMETERIO, FERNANDO",P000518   ,Assist (1),AS,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,3,05:48,5,54,"WRIGHT, DORELL",P008049   ,Three Pointer (1/2 -  3 pt),3FGM,16.0,5.0,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,6,05:46,5,55,"ZISIS, NIKOS",PABN      ,Assist (1),AS,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,17,05:25,5,56,"MARTINEZ, RAFA",P001351   ,Turnover (1),TO,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,2,05:24,5,57,"HICKMAN, RICKY",P004159   ,Steal (1),ST,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,2,05:23,5,58,"HICKMAN, RICKY",P004159   ,Foul Drawn (1),RV,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,6,05:23,5,59,"ABALDE, ALBERTO",P003733   ,Foul (1),CM,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,0,05:23,5,60,"HACKETT, DANIEL",P001844   ,In,IN,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,2,05:23,5,61,"HICKMAN, RICKY",P004159   ,Out,OUT,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,6,05:09,5,62,"ZISIS, NIKOS",PABN      ,Turnover (3),TO,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,17,05:07,5,63,"MARTINEZ, RAFA",P001351   ,Steal (1),ST,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,17,05:02,5,64,"MARTINEZ, RAFA",P001351   ,Three Pointer (1/1 -  5 pt),3FGM,19.0,5.0,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,0,04:51,6,66,"HACKETT, DANIEL",P001844   ,Foul Drawn (1),RV,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,17,04:51,6,67,"MARTINEZ, RAFA",P001351   ,Foul (1),CM,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,5,04:51,6,68,"GARCIA, SERGI",P005458   ,In,IN,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,6,04:51,6,69,"ABALDE, ALBERTO",P003733   ,Out,OUT,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,6,04:49,6,70,"ZISIS, NIKOS",PABN      ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,14,04:49,6,71,"DUBLJEVIC, BOJAN",P002742   ,Def Rebound (3),D,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
PAM       ,,19,04:49,6,72,"SAN EMETERIO, FERNANDO",P000518   ,Turnover (1),TO,,,Valencia Basket,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,21,04:49,6,73,"RUBIT, AUGUSTINE",P006477   ,Steal (1),ST,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
BAM       ,,3,04:49,6,74,"WRIGHT, DORELL",P008049   ,Missed Three Pointer (1/3 -  3 pt),3FGA,,,Brose Bamberg,0,Valencia Basket,PAM,Brose Bamberg,BAM
