CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,8,,          ,Begin Period,BP,,,,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
PAN       ,,5,09:43,1,9,"JAMES, MIKE",P005985   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
OLY       ,,11,09:43,1,10,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
OLY       ,,16,09:30,1,11,"PAPANIKOLAOU, KOSTAS",P001255   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
PAN       ,,24,09:27,1,12,"LOJESKI, MATT",P003608   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
PAN       ,,24,09:15,1,13,"LOJESKI, MATT",P003608   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
OLY       ,,11,09:12,1,14,"MILUTINOV, NIKOLA",P003941   ,Def Rebound (1),D,,,Olympiacos Piraeus,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
OLY       ,,15,09:06,1,15,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Olympiacos Piraeus,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
PAN       ,,14,09:06,1,16,"GIST, JAMES",P002980   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
OLY       ,,7,08:47,2,18,"SPANOULIS, VASSILIS",PJUO      ,Foul (1),CM,,,Olympiacos Piraeus,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
PAN       ,,0,08:47,2,19,"SINGLETON, CHRIS",P006614   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
OLY       ,,7,08:47,2,20,"SPANOULIS, VASSILIS",PJUO      ,Unsportsmanlike Foul  (2),CMU,,,Olympiacos Piraeus,0,Panathinaikos Superfoods Athens,PAN,Olympiacos Piraeus,OLY
