CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,37,,          ,Begin Period,BP,,,,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,5,09:39,1,38,"ROLL, MICHAEL",P004974   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,13,09:36,1,39,"GILL, ANTHONY",P008001   ,Def Rebound (1),D,,,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,21,09:18,1,40,"ANDERSON, JAMES",P005938   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,,09:17,1,41,,          ,Off Rebound (1),O,,,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,13,09:04,1,42,"GILL, ANTHONY",P008001   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,23,09:01,1,43,"THOMAS, MALCOLM",P004251   ,Off Rebound (1),O,,,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,13,08:50,2,45,"GILL, ANTHONY",P008001   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,45,08:48,2,46,"PARAKHOUSKI, ARTSIOM",P003034   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,7,08:39,2,47,"KANE, DEANDRE",P005781   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,5,08:37,2,48,"ROLL, MICHAEL",P004974   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,55,08:34,2,49,"JACKSON, PIERRE",P005112   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,5,08:32,2,50,"ROLL, MICHAEL",P004974   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,9,08:18,2,51,"MARKOVIC, STEFAN",PLME      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,5,08:12,2,52,"ROLL, MICHAEL",P004974   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,43,08:07,2,53,"BOLDEN, JONAH",P007988   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,1,08:05,2,54,"SHVED, ALEXEY",PKVZ      ,Def Rebound (1),D,,,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,1,07:57,3,56,"SHVED, ALEXEY",PKVZ      ,Two Pointer (1/1 -  2 pt),2FGM,3.0,2.0,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,5,07:36,3,57,"ROLL, MICHAEL",P004974   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,7,07:34,3,58,"KANE, DEANDRE",P005781   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,7,07:33,3,59,"KANE, DEANDRE",P005781   ,Two Pointer (1/2 -  2 pt),2FGM,5.0,2.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,13,07:13,3,60,"GILL, ANTHONY",P008001   ,Two Pointer (1/3 -  2 pt),2FGM,5.0,4.0,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,13,07:13,3,61,"GILL, ANTHONY",P008001   ,Foul Drawn (1),RV,,,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,45,07:13,3,62,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
KHI       ,,13,07:13,3,63,"GILL, ANTHONY",P008001   ,Missed Free Throw (0/1 -  2 pt),FTA,,,Khimki Moscow Region,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,5,07:13,3,64,"ROLL, MICHAEL",P004974   ,Def Rebound (2),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,55,07:13,3,65,"JACKSON, PIERRE",P005112   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,45,07:13,3,66,"PARAKHOUSKI, ARTSIOM",P003034   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
TEL       ,,45,07:13,3,67,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,4.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Khimki Moscow Region,KHI
