CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,5,09:37,1,3,"MICOV, VLADIMIR",P000529   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,0,09:35,1,4,"DAVIES, BRANDON",P007870   ,Def Rebound (1),D,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,3,09:20,1,5,"PANGOS, KEVIN",P006433   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,,09:20,1,6,,          ,Off Rebound (1),O,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,09:20,1,7,"GUDAITIS, ARTURAS",P003120   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,0,09:20,1,8,"DAVIES, BRANDON",P007870   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,13,09:12,1,9,"JANKUNAS, PAULIUS",PBWI      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,09:10,1,10,"GUDAITIS, ARTURAS",P003120   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,5,08:52,2,12,"MICOV, VLADIMIR",P000529   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,5,08:52,2,13,"MICOV, VLADIMIR",P000529   ,Shot Rejected (1),AG,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,21,08:49,2,14,"MILAKNIS, ARTURAS",PKPD      ,Block (1),FV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,21,08:48,2,15,"MILAKNIS, ARTURAS",PKPD      ,Def Rebound (1),D,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,0,08:43,2,16,"DAVIES, BRANDON",P007870   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,20,08:18,2,17,"CINCIARINI, ANDREA",PKIW      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,13,08:16,2,18,"JANKUNAS, PAULIUS",PBWI      ,Def Rebound (1),D,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,13,08:03,2,19,"JANKUNAS, PAULIUS",PBWI      ,Two Pointer (1/2 -  2 pt),2FGM,4.0,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,92,08:01,2,20,"ULANOVAS, EDGARAS",P002329   ,Assist (1),AS,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,19,07:40,3,22,"KUZMINSKAS, MINDAUGAS",P002008   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,3,07:38,3,23,"PANGOS, KEVIN",P006433   ,Def Rebound (1),D,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,5,07:35,3,24,"MICOV, VLADIMIR",P000529   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,3,07:35,3,25,"PANGOS, KEVIN",P006433   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,13,07:25,3,26,"JANKUNAS, PAULIUS",PBWI      ,Turnover (1),TO,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,19,07:02,3,27,"KUZMINSKAS, MINDAUGAS",P002008   ,Turnover (1),TO,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,13,07:00,3,28,"JANKUNAS, PAULIUS",PBWI      ,Steal (1),ST,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,92,06:48,4,30,"ULANOVAS, EDGARAS",P002329   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,06:46,4,31,"GUDAITIS, ARTURAS",P003120   ,Def Rebound (2),D,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,0,06:40,4,32,"GOUDELOCK, ANDREW",P004903   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,06:39,4,33,"GUDAITIS, ARTURAS",P003120   ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,13,06:39,4,34,"JANKUNAS, PAULIUS",PBWI      ,Foul (1),CM,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,06:39,4,35,"GUDAITIS, ARTURAS",P003120   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,06:39,4,36,"GUDAITIS, ARTURAS",P003120   ,Free Throw In (1/1 -  1 pt),FTM,4.0,1.0,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,06:39,4,37,"GUDAITIS, ARTURAS",P003120   ,Free Throw In (2/2 -  2 pt),FTM,4.0,2.0,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,3,06:29,4,38,"PANGOS, KEVIN",P006433   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,2.0,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,20,06:20,4,39,"CINCIARINI, ANDREA",PKIW      ,Turnover (1),TO,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,0,06:18,4,40,"DAVIES, BRANDON",P007870   ,Steal (1),ST,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,3,06:15,4,41,"PANGOS, KEVIN",P006433   ,Three Pointer (1/2 -  5 pt),3FGM,9.0,2.0,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,0,06:13,4,42,"DAVIES, BRANDON",P007870   ,Assist (1),AS,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,20,05:49,5,44,"CINCIARINI, ANDREA",PKIW      ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,92,05:47,5,45,"ULANOVAS, EDGARAS",P002329   ,Def Rebound (1),D,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,19,05:40,5,46,"KUZMINSKAS, MINDAUGAS",P002008   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,92,05:40,5,47,"ULANOVAS, EDGARAS",P002329   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,,05:40,5,48,,          ,Time Out (1),TOUT,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
          ,,,05:40,5,49,,          ,TV Time Out (1),TOUT_TV,,,,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,20,05:40,5,50,"CINCIARINI, ANDREA",PKIW      ,Out,OUT,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,55,05:40,5,51,"JERRELLS, CURTIS",P003067   ,In,IN,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,92,05:40,5,52,"ULANOVAS, EDGARAS",P002329   ,Free Throw In (1/1 -  1 pt),FTM,10.0,2.0,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,92,05:40,5,53,"ULANOVAS, EDGARAS",P002329   ,Free Throw In (2/2 -  2 pt),FTM,11.0,2.0,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,0,05:16,5,54,"GOUDELOCK, ANDREW",P004903   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,05:14,5,55,"GUDAITIS, ARTURAS",P003120   ,Off Rebound (2),O,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,05:12,5,56,"GUDAITIS, ARTURAS",P003120   ,Two Pointer (1/1 -  4 pt),2FGM,11.0,4.0,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,19,05:04,5,57,"KUZMINSKAS, MINDAUGAS",P002008   ,Foul (2),CM,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,13,05:04,5,58,"JANKUNAS, PAULIUS",PBWI      ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,13,04:54,6,60,"JANKUNAS, PAULIUS",PBWI      ,Missed Two Pointer (1/3 -  2 pt),2FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,04:52,6,61,"GUDAITIS, ARTURAS",P003120   ,Def Rebound (3),D,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,04:38,6,62,"GUDAITIS, ARTURAS",P003120   ,Two Pointer (2/2 -  6 pt),2FGM,11.0,6.0,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,55,04:36,6,63,"JERRELLS, CURTIS",P003067   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,0,04:25,6,64,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,,04:24,6,65,,          ,Off Rebound (2),O,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,3,04:19,6,66,"PANGOS, KEVIN",P006433   ,Missed Three Pointer (1/3 -  5 pt),3FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,19,04:16,6,67,"KUZMINSKAS, MINDAUGAS",P002008   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,03:51,7,69,"GUDAITIS, ARTURAS",P003120   ,Missed Two Pointer (2/3 -  6 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,21,03:49,7,70,"MILAKNIS, ARTURAS",PKPD      ,Def Rebound (2),D,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,3,03:29,7,71,"PANGOS, KEVIN",P006433   ,Missed Three Pointer (1/4 -  5 pt),3FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,,03:29,7,72,,          ,Off Rebound (3),O,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,03:29,7,73,"GUDAITIS, ARTURAS",P003120   ,Foul (2),CM,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,0,03:29,7,74,"DAVIES, BRANDON",P007870   ,Foul Drawn (2),RV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,13,03:29,7,75,"JANKUNAS, PAULIUS",PBWI      ,Out,OUT,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,30,03:29,7,76,"WHITE, AARON",P006505   ,In,IN,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,15,03:29,7,77,"TARCZEWSKI, KALEB",P008004   ,In,IN,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,77,03:29,7,78,"GUDAITIS, ARTURAS",P003120   ,Out,OUT,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,0,03:29,7,79,"DAVIES, BRANDON",P007870   ,Free Throw In (1/1 -  3 pt),FTM,12.0,6.0,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,0,03:29,7,80,"DAVIES, BRANDON",P007870   ,Missed Free Throw (1/2 -  3 pt),FTA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,19,03:25,7,81,"KUZMINSKAS, MINDAUGAS",P002008   ,Def Rebound (2),D,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,19,03:10,7,82,"KUZMINSKAS, MINDAUGAS",P002008   ,Three Pointer (1/2 -  3 pt),3FGM,12.0,9.0,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,55,03:07,7,83,"JERRELLS, CURTIS",P003067   ,Assist (2),AS,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,0,02:53,8,85,"DAVIES, BRANDON",P007870   ,Out,OUT,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,44,02:53,8,86,"KAVALIAUSKAS, ANTANAS",P000399   ,In,IN,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,3,02:46,8,87,"PANGOS, KEVIN",P006433   ,Missed Two Pointer (1/2 -  5 pt),2FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,0,02:45,8,88,"GOUDELOCK, ANDREW",P004903   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
ZAL       ,,21,02:42,8,89,"MILAKNIS, ARTURAS",PKPD      ,Foul (1),CM,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,0,02:42,8,90,"GOUDELOCK, ANDREW",P004903   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0,Zalgiris Kaunas,ZAL,AX Armani Exchange Olimpia Milan,MIL
