CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,45,09:29,1,3,"PARAKHOUSKI, ARTSIOM",P003034   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,16,09:26,1,4,"PAPANIKOLAOU, KOSTAS",P001255   ,Def Rebound (1),D,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,22,09:19,1,5,"ROBERTS, BRIAN",P002091   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,,09:19,1,6,,          ,Off Rebound (1),O,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,15,09:08,1,7,"PRINTEZIS, GEORGIOS",PAMM      ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,22,09:05,1,8,"ROBERTS, BRIAN",P002091   ,Assist (1),AS,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,55,08:55,2,10,"JACKSON, PIERRE",P005112   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,11,08:37,2,11,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,5.0,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,34,08:35,2,12,"THOMPSON, HOLLIS",P008014   ,Assist (1),AS,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,5,08:15,2,13,"ROLL, MICHAEL",P004974   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,5.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,22,08:03,2,14,"ROBERTS, BRIAN",P002091   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,55,08:03,2,15,"JACKSON, PIERRE",P005112   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,34,07:51,3,17,"THOMPSON, HOLLIS",P008014   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,7.0,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,7,07:31,3,18,"KANE, DEANDRE",P005781   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,22,07:29,3,19,"ROBERTS, BRIAN",P002091   ,Steal (1),ST,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,15,07:21,3,20,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,7,07:17,3,21,"KANE, DEANDRE",P005781   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,43,07:10,3,22,"BOLDEN, JONAH",P007988   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,22,07:08,3,23,"ROBERTS, BRIAN",P002091   ,Def Rebound (1),D,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,16,06:54,4,25,"PAPANIKOLAOU, KOSTAS",P001255   ,Three Pointer (1/1 -  3 pt),3FGM,4.0,10.0,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,22,06:52,4,26,"ROBERTS, BRIAN",P002091   ,Assist (2),AS,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,7,06:34,4,27,"KANE, DEANDRE",P005781   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,16,06:32,4,28,"PAPANIKOLAOU, KOSTAS",P001255   ,Def Rebound (2),D,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,16,06:29,4,29,"PAPANIKOLAOU, KOSTAS",P001255   ,Two Pointer (1/1 -  5 pt),2FGM,4.0,12.0,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,,06:29,4,30,,          ,Time Out (1),TOUT,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,9,06:29,4,31,"TYUS, ALEX",P004119   ,In,IN,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,45,06:29,4,32,"PARAKHOUSKI, ARTSIOM",P003034   ,Out,OUT,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,55,06:18,4,33,"JACKSON, PIERRE",P005112   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,,06:18,4,34,,          ,Def Rebound (1),D,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,15,05:59,5,36,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Two Pointer (0/2 -  3 pt),2FGA,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,43,05:56,5,37,"BOLDEN, JONAH",P007988   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,43,05:44,5,38,"BOLDEN, JONAH",P007988   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,11,05:41,5,39,"MILUTINOV, NIKOLA",P003941   ,Def Rebound (1),D,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,22,05:33,5,40,"ROBERTS, BRIAN",P002091   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,55,05:30,5,41,"JACKSON, PIERRE",P005112   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,9,05:22,5,42,"TYUS, ALEX",P004119   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,11,05:20,5,43,"MILUTINOV, NIKOLA",P003941   ,Def Rebound (2),D,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,11,05:00,5,44,"MILUTINOV, NIKOLA",P003941   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,43,04:57,6,46,"BOLDEN, JONAH",P007988   ,Def Rebound (2),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,43,04:46,6,47,"BOLDEN, JONAH",P007988   ,Two Pointer (1/2 -  2 pt),2FGM,6.0,12.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,5,04:44,6,48,"ROLL, MICHAEL",P004974   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,11,04:19,6,49,"MILUTINOV, NIKOLA",P003941   ,Missed Two Pointer (1/3 -  2 pt),2FGA,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,7,04:16,6,50,"KANE, DEANDRE",P005781   ,Def Rebound (2),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,9,04:02,6,51,"TYUS, ALEX",P004119   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,34,04:00,6,52,"THOMPSON, HOLLIS",P008014   ,Def Rebound (1),D,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,43,03:54,7,54,"BOLDEN, JONAH",P007988   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,15,03:54,7,55,"PRINTEZIS, GEORGIOS",PAMM      ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,1,03:54,7,56,"THOMAS, DESHAUN",P005094   ,In,IN,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,30,03:54,7,57,"COLE, NORRIS",P007989   ,In,IN,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,43,03:54,7,58,"BOLDEN, JONAH",P007988   ,Out,OUT,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,55,03:54,7,59,"JACKSON, PIERRE",P005112   ,Out,OUT,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,1,03:54,7,60,"MCLEAN, JAMEL",P004418   ,In,IN,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,11,03:54,7,61,"MILUTINOV, NIKOLA",P003941   ,Out,OUT,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,15,03:50,7,62,"PRINTEZIS, GEORGIOS",PAMM      ,Turnover (1),TO,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,1,03:48,7,63,"THOMAS, DESHAUN",P005094   ,Steal (1),ST,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,7,03:44,7,64,"KANE, DEANDRE",P005781   ,Two Pointer (1/2 -  2 pt),2FGM,8.0,12.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,1,03:44,7,136,"THOMAS, DESHAUN",P005094   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,34,03:26,7,65,"THOMPSON, HOLLIS",P008014   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,9,03:22,7,66,"TYUS, ALEX",P004119   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,30,03:14,7,67,"COLE, NORRIS",P007989   ,Three Pointer (1/1 -  3 pt),3FGM,11.0,12.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,34,02:49,8,69,"THOMPSON, HOLLIS",P008014   ,Missed Two Pointer (1/3 -  2 pt),2FGA,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,34,02:49,8,70,"THOMPSON, HOLLIS",P008014   ,Shot Rejected (1),AG,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,9,02:47,8,71,"TYUS, ALEX",P004119   ,Block (1),FV,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,1,02:45,8,72,"THOMAS, DESHAUN",P005094   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,30,02:43,8,73,"COLE, NORRIS",P007989   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,9,02:41,8,74,"TYUS, ALEX",P004119   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,1,02:38,8,75,"THOMAS, DESHAUN",P005094   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,22,02:36,8,76,"ROBERTS, BRIAN",P002091   ,Def Rebound (2),D,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,16,02:24,8,77,"PAPANIKOLAOU, KOSTAS",P001255   ,Missed Two Pointer (1/2 -  5 pt),2FGA,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,,02:23,8,78,,          ,Off Rebound (2),O,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,7,02:23,8,79,"KANE, DEANDRE",P005781   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,34,02:23,8,80,"THOMPSON, HOLLIS",P008014   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,5,02:23,8,81,"ROLL, MICHAEL",P004974   ,Out,OUT,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,12,02:23,8,82,"DIBARTOLOMEO, JOHN",P007990   ,In,IN,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,17,02:23,8,83,"MANTZARIS, VANGELIS",P003537   ,In,IN,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,22,02:23,8,84,"ROBERTS, BRIAN",P002091   ,Out,OUT,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,34,02:14,8,85,"THOMPSON, HOLLIS",P008014   ,Missed Two Pointer (1/4 -  2 pt),2FGA,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,9,02:12,8,86,"TYUS, ALEX",P004119   ,Def Rebound (2),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,17,02:10,8,87,"MANTZARIS, VANGELIS",P003537   ,Foul (1),CM,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,12,02:10,8,88,"DIBARTOLOMEO, JOHN",P007990   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,13,02:10,8,89,"STRELNIEKS, JANIS",P000046   ,In,IN,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,34,02:10,8,90,"THOMPSON, HOLLIS",P008014   ,Out,OUT,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,30,01:54,9,92,"COLE, NORRIS",P007989   ,Missed Two Pointer (0/2 -  3 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,16,01:51,9,93,"PAPANIKOLAOU, KOSTAS",P001255   ,Def Rebound (3),D,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,15,01:46,9,94,"PRINTEZIS, GEORGIOS",PAMM      ,Offensive Foul (1),OF,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,15,01:46,9,95,"PRINTEZIS, GEORGIOS",PAMM      ,Turnover (2),TO,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,7,01:46,9,96,"KANE, DEANDRE",P005781   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,7,01:46,9,97,"KANE, DEANDRE",P005781   ,Out,OUT,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,50,01:46,9,98,"ZOOSMAN, YOVEL",P006625   ,In,IN,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,9,01:21,9,99,"TYUS, ALEX",P004119   ,Two Pointer (1/3 -  2 pt),2FGM,13.0,12.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,30,01:18,9,100,"COLE, NORRIS",P007989   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,1,01:05,9,101,"MCLEAN, JAMEL",P004418   ,Two Pointer (1/1 -  2 pt),2FGM,13.0,14.0,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,13,01:05,9,102,"STRELNIEKS, JANIS",P000046   ,Assist (1),AS,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,1,01:05,9,103,"MCLEAN, JAMEL",P004418   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,50,01:05,9,104,"ZOOSMAN, YOVEL",P006625   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,6,01:05,9,105,"PAPAPETROU, IOANNIS",P005161   ,In,IN,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,16,01:05,9,106,"PAPANIKOLAOU, KOSTAS",P001255   ,Out,OUT,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,1,01:05,9,107,"MCLEAN, JAMEL",P004418   ,Free Throw In (1/1 -  3 pt),FTM,13.0,15.0,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,1,00:45,10,109,"THOMAS, DESHAUN",P005094   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,12,00:43,10,110,"DIBARTOLOMEO, JOHN",P007990   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,30,00:43,10,111,"COLE, NORRIS",P007989   ,Two Pointer (1/3 -  5 pt),2FGM,15.0,15.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,30,00:43,10,112,"COLE, NORRIS",P007989   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
OLY       ,,6,00:43,10,113,"PAPAPETROU, IOANNIS",P005161   ,Foul (1),CM,,,Olympiacos Piraeus,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,15,00:43,10,114,"COHEN, JAKE",P005145   ,In,IN,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
TEL       ,,50,00:43,10,115,"ZOOSMAN, YOVEL",P006625   ,Out,OUT,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Olympiacos Piraeus,OLY
