CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,15,,          ,Begin Period,BP,,,,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,51,09:59,1,16,"BJELICA, MILKO",PCHX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,10,09:59,1,17,"LAZIC, BRANKO",PLUO      ,Off Rebound (1),O,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,22,09:28,1,18,"ROCHESTIE, TAYLOR",P002972   ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,09:20,1,19,"PARAKHOUSKI, ARTSIOM",P003034   ,Steal (1),ST,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,09:20,1,20,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,43,09:20,1,21,"BOLDEN, JONAH",P007988   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,22,09:01,1,22,"ROCHESTIE, TAYLOR",P002972   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,10,08:55,2,24,"LAZIC, BRANKO",PLUO      ,Off Rebound (2),O,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,55,08:51,2,25,"JACKSON, PIERRE",P005112   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,10,08:51,2,26,"LAZIC, BRANKO",PLUO      ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,14,08:46,2,27,"FELDEINE, JAMES",P005918   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,55,08:35,2,28,"JACKSON, PIERRE",P005112   ,Offensive Foul (2),OF,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,55,08:35,2,29,"JACKSON, PIERRE",P005112   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,10,08:35,2,30,"LAZIC, BRANKO",PLUO      ,Foul Drawn (2),RV,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,30,08:35,2,31,"COLE, NORRIS",P007989   ,In,IN,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,55,08:35,2,32,"JACKSON, PIERRE",P005112   ,Out,OUT,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,22,08:14,2,33,"ROCHESTIE, TAYLOR",P002972   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,5,08:13,2,34,"ROLL, MICHAEL",P004974   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,5,07:46,3,36,"ROLL, MICHAEL",P004974   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,26,07:46,3,37,"LESSORT, MATHIAS",P003842   ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,51,07:34,3,38,"BJELICA, MILKO",PCHX      ,Three Pointer (1/1 -  3 pt),3FGM,5.0,2.0,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,22,07:34,3,39,"ROCHESTIE, TAYLOR",P002972   ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,51,07:14,3,40,"BJELICA, MILKO",PCHX      ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,43,07:14,3,41,"BOLDEN, JONAH",P007988   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,43,07:14,3,42,"BOLDEN, JONAH",P007988   ,Free Throw In (1/1 -  1 pt),FTM,5.0,3.0,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,43,07:14,3,43,"BOLDEN, JONAH",P007988   ,Missed Free Throw (1/2 -  1 pt),FTA,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,26,07:11,3,44,"LESSORT, MATHIAS",P003842   ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,12,07:03,3,45,"DIBARTOLOMEO, JOHN",P007990   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,22,07:03,3,46,"ROCHESTIE, TAYLOR",P002972   ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,14,06:58,4,48,"FELDEINE, JAMES",P005918   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,3.0,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,43,06:44,4,49,"BOLDEN, JONAH",P007988   ,Missed Three Pointer (0/1 -  1 pt),3FGA,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,,06:42,4,50,,          ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,26,06:42,4,51,"LESSORT, MATHIAS",P003842   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,06:42,4,52,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,5,06:35,4,53,"ROLL, MICHAEL",P004974   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,5.0,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,51,06:21,4,54,"BJELICA, MILKO",PCHX      ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,12,06:21,4,55,"DIBARTOLOMEO, JOHN",P007990   ,Steal (1),ST,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,14,06:15,4,56,"FELDEINE, JAMES",P005918   ,Block (1),FV,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,12,06:15,4,57,"DIBARTOLOMEO, JOHN",P007990   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,12,06:15,4,58,"DIBARTOLOMEO, JOHN",P007990   ,Shot Rejected (1),AG,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,5,06:15,4,59,"ROLL, MICHAEL",P004974   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,12,06:04,4,60,"DIBARTOLOMEO, JOHN",P007990   ,Two Pointer (1/2 -  2 pt),2FGM,7.0,7.0,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,22,05:56,5,62,"ROCHESTIE, TAYLOR",P002972   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,43,05:56,5,63,"BOLDEN, JONAH",P007988   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,05:43,5,64,"PARAKHOUSKI, ARTSIOM",P003034   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
RED       ,,14,05:43,5,65,"FELDEINE, JAMES",P005918   ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Maccabi FOX Tel Aviv,TEL
