CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,14,09:36,1,3,"AYON, GUSTAVO",P005927   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,22,09:15,1,4,"MICIC, VASILIJE",P002580   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,,09:13,1,5,,          ,Off Rebound (1),O,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,13,09:00,1,6,"JANKUNAS, PAULIUS",PBWI      ,Turnover (1),TO,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,14,08:59,2,8,"AYON, GUSTAVO",P005927   ,Steal (1),ST,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,7,08:57,2,9,"DONCIC, LUKA",P005929   ,Turnover (1),TO,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,22,08:55,2,10,"MICIC, VASILIJE",P002580   ,Steal (1),ST,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,22,08:49,2,11,"MICIC, VASILIJE",P002580   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,7,08:47,2,12,"DONCIC, LUKA",P005929   ,Def Rebound (1),D,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,14,08:36,2,13,"AYON, GUSTAVO",P005927   ,Two Pointer (2/2 -  4 pt),2FGM,,4.0,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,7,08:34,2,14,"DONCIC, LUKA",P005929   ,Assist (1),AS,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,3,08:17,2,15,"PANGOS, KEVIN",P006433   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,14,07:58,3,17,"AYON, GUSTAVO",P005927   ,Two Pointer (3/3 -  6 pt),2FGM,2.0,6.0,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,11,07:56,3,18,"CAMPAZZO, FACUNDO",P005928   ,Assist (1),AS,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,0,07:39,3,19,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,0,07:39,3,20,"DAVIES, BRANDON",P007870   ,Shot Rejected (1),AG,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,14,07:37,3,21,"AYON, GUSTAVO",P005927   ,Block (1),FV,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,1,07:35,3,22,"CAUSEUR, FABIEN",P001392   ,Def Rebound (1),D,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,9,07:23,3,23,"REYES, FELIPE",PAAX      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,8.0,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,14,07:23,3,24,"AYON, GUSTAVO",P005927   ,Assist (1),AS,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,0,07:23,3,25,"DAVIES, BRANDON",P007870   ,Out,OUT,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,44,07:23,3,26,"KAVALIAUSKAS, ANTANAS",P000399   ,In,IN,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,3,07:03,3,27,"PANGOS, KEVIN",P006433   ,Turnover (1),TO,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,14,07:01,3,28,"AYON, GUSTAVO",P005927   ,Steal (2),ST,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,7,06:56,4,30,"DONCIC, LUKA",P005929   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,44,06:54,4,31,"KAVALIAUSKAS, ANTANAS",P000399   ,Def Rebound (1),D,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,1,06:44,4,32,"CAUSEUR, FABIEN",P001392   ,Foul (1),CM,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,21,06:44,4,33,"MILAKNIS, ARTURAS",PKPD      ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,21,06:34,4,34,"MILAKNIS, ARTURAS",PKPD      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,7,06:32,4,35,"DONCIC, LUKA",P005929   ,Def Rebound (2),D,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,9,06:16,4,36,"REYES, FELIPE",PAAX      ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,21,06:13,4,37,"MILAKNIS, ARTURAS",PKPD      ,Def Rebound (1),D,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
ZAL       ,,3,05:55,5,39,"PANGOS, KEVIN",P006433   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,9,05:53,5,40,"REYES, FELIPE",PAAX      ,Def Rebound (1),D,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
MAD       ,,1,05:35,5,41,"CAUSEUR, FABIEN",P001392   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0,Zalgiris Kaunas,ZAL,Real Madrid,MAD
