CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,21,09:42,1,3,"ANDERSON, JAMES",P005938   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,1,09:29,1,4,"CAUSEUR, FABIEN",P001392   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,13,09:10,1,5,"GILL, ANTHONY",P008001   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,23,09:07,1,6,"THOMAS, MALCOLM",P004251   ,Assist (1),AS,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,7,08:56,2,8,"DONCIC, LUKA",P005929   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,4.0,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,1,08:54,2,9,"CAUSEUR, FABIEN",P001392   ,Assist (1),AS,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,1,08:42,2,10,"SHVED, ALEXEY",PKVZ      ,Two Pointer (1/1 -  2 pt),2FGM,5.0,6.0,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,6,08:29,2,11,"RADONCIC, DINO",P006543   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,21,08:27,2,12,"ANDERSON, JAMES",P005938   ,Def Rebound (1),D,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,22,08:27,2,13,"JENKINS, CHARLES",P005014   ,Turnover (1),TO,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,1,08:17,2,14,"CAUSEUR, FABIEN",P001392   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,6.0,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,1,07:57,3,16,"SHVED, ALEXEY",PKVZ      ,Three Pointer (1/1 -  5 pt),3FGM,7.0,9.0,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,13,07:53,3,17,"GILL, ANTHONY",P008001   ,Assist (1),AS,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,14,07:43,3,18,"AYON, GUSTAVO",P005927   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,13,07:41,3,19,"GILL, ANTHONY",P008001   ,Def Rebound (1),D,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,21,07:36,3,20,"ANDERSON, JAMES",P005938   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,11.0,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,7,07:26,3,21,"DONCIC, LUKA",P005929   ,Foul Drawn (1),RV,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,22,07:26,3,22,"JENKINS, CHARLES",P005014   ,Foul (1),CM,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,6,07:17,3,23,"RADONCIC, DINO",P006543   ,Turnover (1),TO,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,13,07:15,3,24,"GILL, ANTHONY",P008001   ,Steal (1),ST,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,21,07:04,3,25,"ANDERSON, JAMES",P005938   ,Missed Three Pointer (0/1 -  4 pt),3FGA,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,23,06:49,4,27,"THOMAS, MALCOLM",P004251   ,Off Rebound (1),O,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,13,06:48,4,28,"GILL, ANTHONY",P008001   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,13.0,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,23,06:45,4,29,"THOMAS, MALCOLM",P004251   ,Assist (2),AS,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,6,06:38,4,30,"RADONCIC, DINO",P006543   ,Two Pointer (1/1 -  2 pt),2FGM,9.0,13.0,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,14,06:38,4,31,"AYON, GUSTAVO",P005927   ,Assist (1),AS,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,1,06:20,4,32,"SHVED, ALEXEY",PKVZ      ,Turnover (1),TO,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,44,06:18,4,33,"TAYLOR, JEFFERY",P006546   ,Steal (1),ST,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,7,06:16,4,34,"DONCIC, LUKA",P005929   ,Foul Drawn (2),RV,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,22,06:16,4,35,"JENKINS, CHARLES",P005014   ,Foul (2),CM,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,9,06:16,4,36,"MARKOVIC, STEFAN",PLME      ,In,IN,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,22,06:16,4,37,"JENKINS, CHARLES",P005014   ,Out,OUT,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,7,06:16,4,38,"DONCIC, LUKA",P005929   ,Free Throw In (1/1 -  4 pt),FTM,10.0,13.0,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,7,06:16,4,39,"DONCIC, LUKA",P005929   ,Free Throw In (2/2 -  5 pt),FTM,11.0,13.0,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,13,05:56,5,41,"GILL, ANTHONY",P008001   ,Two Pointer (3/3 -  6 pt),2FGM,11.0,15.0,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,23,05:54,5,42,"THOMAS, MALCOLM",P004251   ,Assist (3),AS,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,14,05:40,5,43,"AYON, GUSTAVO",P005927   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,44,05:38,5,44,"TAYLOR, JEFFERY",P006546   ,Off Rebound (1),O,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,44,05:38,5,45,"TAYLOR, JEFFERY",P006546   ,Two Pointer (1/1 -  2 pt),2FGM,13.0,15.0,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,13,05:29,5,46,"GILL, ANTHONY",P008001   ,Foul Drawn (1),RV,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,6,05:29,5,47,"RADONCIC, DINO",P006543   ,Foul (1),CM,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,,05:13,5,48,,          ,Turnover (1),TO,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,14,05:13,5,49,"AYON, GUSTAVO",P005927   ,Two Pointer (1/3 -  2 pt),2FGM,15.0,15.0,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,1,05:13,5,50,"CAUSEUR, FABIEN",P001392   ,Assist (2),AS,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,23,04:36,6,52,"THOMAS, MALCOLM",P004251   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,,04:36,6,53,,          ,Off Rebound (1),O,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
          ,,,04:36,6,54,,          ,TV Time Out (1),TOUT_TV,,,,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,21,04:27,6,55,"ANDERSON, JAMES",P005938   ,Foul Drawn (1),RV,,,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
MAD       ,,1,04:27,6,56,"CAUSEUR, FABIEN",P001392   ,Foul (1),CM,,,Real Madrid,0,Real Madrid,MAD,Khimki Moscow Region,KHI
KHI       ,,23,04:18,6,57,"THOMAS, MALCOLM",P004251   ,Two Pointer (1/1 -  2 pt),2FGM,15.0,17.0,Khimki Moscow Region,0,Real Madrid,MAD,Khimki Moscow Region,KHI
