CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,5,09:49,1,3,"MICOV, VLADIMIR",P000529   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,25,09:45,1,4,"THEODORE, JORDAN",P007946   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
ZAL       ,,13,09:37,1,5,"JANKUNAS, PAULIUS",PBWI      ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,34,09:37,1,6,"JEFFERSON, CORY",P007992   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
ZAL       ,,21,09:27,1,7,"MILAKNIS, ARTURAS",PKPD      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Zalgiris Kaunas,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
ZAL       ,,22,09:23,1,8,"MICIC, VASILIJE",P002580   ,Assist (1),AS,,,Zalgiris Kaunas,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,25,09:02,1,9,"THEODORE, JORDAN",P007946   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,15,09:00,1,10,"TARCZEWSKI, KALEB",P008004   ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,0,08:51,2,12,"GOUDELOCK, ANDREW",P004903   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,2.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,0,08:51,2,13,"GOUDELOCK, ANDREW",P004903   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
ZAL       ,,21,08:51,2,14,"MILAKNIS, ARTURAS",PKPD      ,Foul (1),CM,,,Zalgiris Kaunas,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,0,08:51,2,15,"GOUDELOCK, ANDREW",P004903   ,Free Throw In (1/1 -  3 pt),FTM,5.0,2.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
ZAL       ,,13,08:38,2,16,"JANKUNAS, PAULIUS",PBWI      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,15,08:38,2,17,"TARCZEWSKI, KALEB",P008004   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,0,08:38,2,18,"GOUDELOCK, ANDREW",P004903   ,Three Pointer (1/1 -  6 pt),3FGM,8.0,2.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
ZAL       ,,3,08:05,2,19,"PANGOS, KEVIN",P006433   ,Three Pointer (1/1 -  3 pt),3FGM,8.0,5.0,Zalgiris Kaunas,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
ZAL       ,,22,08:02,2,20,"MICIC, VASILIJE",P002580   ,Assist (2),AS,,,Zalgiris Kaunas,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,0,07:50,3,22,"GOUDELOCK, ANDREW",P004903   ,Foul Drawn (2),RV,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
ZAL       ,,22,07:50,3,23,"MICIC, VASILIJE",P002580   ,Foul (1),CM,,,Zalgiris Kaunas,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
MIL       ,,0,07:45,3,24,"GOUDELOCK, ANDREW",P004903   ,Turnover (1),TO,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
ZAL       ,,0,07:23,3,25,"DAVIES, BRANDON",P007870   ,Two Pointer (1/1 -  2 pt),2FGM,8.0,7.0,Zalgiris Kaunas,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
ZAL       ,,3,07:23,3,26,"PANGOS, KEVIN",P006433   ,Assist (1),AS,,,Zalgiris Kaunas,0,AX Armani Exchange Olimpia Milan,MIL,Zalgiris Kaunas,ZAL
