CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,27,,          ,Begin Period,BP,,,,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,16,09:49,1,28,"PAPANIKOLAOU, KOSTAS",P001255   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,11,09:47,1,29,"MILUTINOV, NIKOLA",P003941   ,Assist (1),AS,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,16,09:30,1,30,"PAPANIKOLAOU, KOSTAS",P001255   ,Foul (1),CM,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,14,09:30,1,31,"GIST, JAMES",P002980   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,09:22,1,32,"CALATHES, NICK",P001932   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,16,08:53,2,34,"PAPANIKOLAOU, KOSTAS",P001255   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,,08:52,2,35,,          ,Turnover (1),TO,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,24,08:37,2,36,"LOJESKI, MATT",P003608   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,15,08:12,2,37,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,43,08:11,2,38,"ANTETOKOUNMPO, THANASIS",P007865   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,07:57,3,40,"CALATHES, NICK",P001932   ,Two Pointer (2/2 -  4 pt),2FGM,2.0,6.0,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,14,07:44,3,41,"GIST, JAMES",P002980   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,11,07:44,3,42,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,34,07:36,3,43,"THOMPSON, HOLLIS",P008014   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,43,07:33,3,44,"ANTETOKOUNMPO, THANASIS",P007865   ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,14,07:26,3,45,"GIST, JAMES",P002980   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,9.0,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,24,07:24,3,46,"LOJESKI, MATT",P003608   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,22,07:01,3,47,"ROBERTS, BRIAN",P002091   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,34,06:59,4,49,"THOMPSON, HOLLIS",P008014   ,Off Rebound (1),O,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,34,06:58,4,50,"THOMPSON, HOLLIS",P008014   ,Turnover (1),TO,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,24,06:41,4,51,"LOJESKI, MATT",P003608   ,Two Pointer (2/2 -  4 pt),2FGM,2.0,11.0,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,,06:41,4,52,,          ,Time Out (1),TOUT,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,15,06:26,4,53,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,15,06:26,4,54,"PRINTEZIS, GEORGIOS",PAMM      ,Shot Rejected (1),AG,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,0,06:24,4,55,"SINGLETON, CHRIS",P006614   ,Block (1),FV,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,14,06:23,4,56,"GIST, JAMES",P002980   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,43,06:19,4,57,"ANTETOKOUNMPO, THANASIS",P007865   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,22,06:18,4,58,"ROBERTS, BRIAN",P002091   ,Def Rebound (1),D,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,0,06:11,4,59,"SINGLETON, CHRIS",P006614   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,11,06:11,4,60,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (2),RV,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,34,06:01,4,61,"THOMPSON, HOLLIS",P008014   ,Turnover (2),TO,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,06:00,4,62,"CALATHES, NICK",P001932   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,05:55,5,64,"CALATHES, NICK",P001932   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,34,05:52,5,65,"THOMPSON, HOLLIS",P008014   ,Def Rebound (1),D,,,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
OLY       ,,22,05:44,5,66,"ROBERTS, BRIAN",P002091   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,11.0,Olympiacos Piraeus,0,Olympiacos Piraeus,OLY,Panathinaikos Superfoods Athens,PAN
