CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,7,09:44,1,3,"NIKOLIC, ALEKSEJ",P003703   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,2,09:43,1,4,"HICKMAN, RICKY",P004159   ,Assist (1),AS,,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,21,09:22,1,5,"SANDERS, RAKIM",P005001   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,3,09:19,1,6,"WRIGHT, DORELL",P008049   ,Def Rebound (1),D,,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,3,09:18,1,7,"WRIGHT, DORELL",P008049   ,Turnover (1),TO,,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,21,09:15,1,8,"SANDERS, RAKIM",P005001   ,Steal (1),ST,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,21,09:13,1,9,"SANDERS, RAKIM",P005001   ,Two Pointer (1/2 -  2 pt),2FGM,3.0,2.0,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,13,08:56,2,11,"HEURTEL, THOMAS",PKLT      ,Foul (1),CM,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,7,08:56,2,12,"NIKOLIC, ALEKSEJ",P003703   ,Foul Drawn (1),RV,,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,2,08:56,2,13,"HICKMAN, RICKY",P004159   ,Three Pointer (1/1 -  3 pt),3FGM,6.0,2.0,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,45,08:56,2,14,"MOERMAN, ADRIEN",P001833   ,Three Pointer (1/1 -  3 pt),3FGM,6.0,5.0,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,13,08:56,2,15,"HEURTEL, THOMAS",PKLT      ,Assist (1),AS,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,3,08:18,2,16,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,1,08:15,2,17,"SERAPHIN, KEVIN",P001948   ,Def Rebound (1),D,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,9,08:08,2,18,"HANGA, ADAM",P005099   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,7.0,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,45,08:07,2,19,"MOERMAN, ADRIEN",P001833   ,Assist (1),AS,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,43,07:55,3,21,"RADOSEVIC, LEON",PLEM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,21,07:53,3,22,"SANDERS, RAKIM",P005001   ,Def Rebound (1),D,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,1,07:36,3,23,"SERAPHIN, KEVIN",P001948   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,9.0,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,21,07:34,3,24,"SANDERS, RAKIM",P005001   ,Assist (1),AS,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,3,07:21,3,25,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,21,07:18,3,26,"SANDERS, RAKIM",P005001   ,Def Rebound (2),D,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,1,07:08,3,27,"SERAPHIN, KEVIN",P001948   ,Two Pointer (2/2 -  4 pt),2FGM,6.0,11.0,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,13,07:06,3,28,"HEURTEL, THOMAS",PKLT      ,Assist (2),AS,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,2,06:54,4,30,"HICKMAN, RICKY",P004159   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,1,06:52,4,31,"SERAPHIN, KEVIN",P001948   ,Def Rebound (2),D,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAR       ,,9,06:35,4,32,"HANGA, ADAM",P005099   ,Turnover (1),TO,,,FC Barcelona Lassa,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,7,06:20,4,33,"NIKOLIC, ALEKSEJ",P003703   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,43,06:18,4,34,"RADOSEVIC, LEON",PLEM      ,Off Rebound (1),O,,,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
BAM       ,,43,06:11,4,35,"RADOSEVIC, LEON",PLEM      ,Two Pointer (1/2 -  2 pt),2FGM,8.0,11.0,Brose Bamberg,0,Brose Bamberg,BAM,FC Barcelona Lassa,BAR
