CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,8,,          ,Begin Period,BP,,,,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,23,09:52,1,9,"BROOKS, JEFF",P004117   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,7,09:52,1,10,"DONCIC, LUKA",P005929   ,Def Rebound (1),D,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,1,09:14,1,11,"CAUSEUR, FABIEN",P001392   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,10,09:11,1,12,"SALIN, SASU",P002820   ,Def Rebound (1),D,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,10,09:05,1,13,"SALIN, SASU",P002820   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,17,09:02,1,14,"SHERMADINI, GIORGI",P001386   ,Off Rebound (1),O,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,10,09:00,1,15,"SALIN, SASU",P002820   ,Three Pointer (1/2 -  3 pt),3FGM,,3.0,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,17,08:57,2,17,"SHERMADINI, GIORGI",P001386   ,Assist (1),AS,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,7,08:36,2,18,"DONCIC, LUKA",P005929   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,10,08:11,2,19,"SALIN, SASU",P002820   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,7,08:09,2,20,"DONCIC, LUKA",P005929   ,Def Rebound (2),D,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,8,07:58,3,22,"MACIULIS, JONAS",PJCC      ,Three Pointer (1/1 -  3 pt),3FGM,5.0,3.0,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,11,07:55,3,23,"CAMPAZZO, FACUNDO",P005928   ,Assist (1),AS,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,23,07:40,3,24,"BROOKS, JEFF",P004117   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,6.0,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,12,07:40,3,25,"MILOSAVLJEVIC, DRAGAN",P002822   ,Assist (1),AS,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,7,07:40,3,26,"DONCIC, LUKA",P005929   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,17,07:40,3,27,"SHERMADINI, GIORGI",P001386   ,Def Rebound (1),D,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,12,07:40,3,28,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,7,07:40,3,29,"DONCIC, LUKA",P005929   ,Def Rebound (3),D,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,8,07:40,3,30,"MACIULIS, JONAS",PJCC      ,Turnover (1),TO,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,23,06:28,4,32,"BROOKS, JEFF",P004117   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,12,06:26,4,33,"MILOSAVLJEVIC, DRAGAN",P002822   ,Off Rebound (1),O,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,12,06:26,4,34,"MILOSAVLJEVIC, DRAGAN",P002822   ,Two Pointer (1/2 -  2 pt),2FGM,5.0,8.0,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,12,06:26,4,35,"MILOSAVLJEVIC, DRAGAN",P002822   ,Foul Drawn (1),RV,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,22,06:26,4,36,"TAVARES, WALTER",P005791   ,Foul (1),CM,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,12,06:26,4,37,"MILOSAVLJEVIC, DRAGAN",P002822   ,Free Throw In (1/1 -  3 pt),FTM,5.0,9.0,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,7,06:19,4,38,"DONCIC, LUKA",P005929   ,Missed Two Pointer (1/3 -  2 pt),2FGA,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,22,06:19,4,39,"TAVARES, WALTER",P005791   ,Off Rebound (1),O,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,22,06:19,4,40,"TAVARES, WALTER",P005791   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,9.0,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,23,05:40,5,42,"BROOKS, JEFF",P004117   ,Missed Two Pointer (0/2 -  3 pt),2FGA,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,8,05:37,5,43,"MACIULIS, JONAS",PJCC      ,Def Rebound (1),D,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,1,05:32,5,44,"CAUSEUR, FABIEN",P001392   ,Three Pointer (1/1 -  3 pt),3FGM,10.0,9.0,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,7,05:30,5,45,"DONCIC, LUKA",P005929   ,Assist (1),AS,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,10,05:14,5,46,"SALIN, SASU",P002820   ,Missed Three Pointer (1/3 -  3 pt),3FGA,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,,05:14,5,47,,          ,Def Rebound (1),D,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,1,04:58,6,49,"CAUSEUR, FABIEN",P001392   ,Two Pointer (1/2 -  5 pt),2FGM,12.0,9.0,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAD       ,,11,04:56,6,50,"CAMPAZZO, FACUNDO",P005928   ,Assist (2),AS,,,Real Madrid,0,Real Madrid,MAD,Unicaja Malaga,MAL
MAL       ,,17,04:47,6,51,"SHERMADINI, GIORGI",P001386   ,Turnover (1),TO,,,Unicaja Malaga,0,Real Madrid,MAD,Unicaja Malaga,MAL
