CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
CSK       ,,42,09:42,1,3,"HINES, KYLE",P002812   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,CSKA Moscow,0
CSK       ,,1,09:40,1,4,"DE COLO, NANDO",P002100   ,Assist (1),AS,,,CSKA Moscow,0
MIL       ,,5,09:17,1,5,"MICOV, VLADIMIR",P000529   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,AX Armani Exchange Olimpia Milan,0
CSK       ,,42,08:59,2,302,"HINES, KYLE",P002812   ,Shot Rejected (1),AG,,,CSKA Moscow,0
CSK       ,,42,08:57,2,301,"HINES, KYLE",P002812   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,CSKA Moscow,0
MIL       ,,15,08:57,2,303,"TARCZEWSKI, KALEB",P008004   ,Block (1),FV,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,08:54,2,8,"MICOV, VLADIMIR",P000529   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,1,08:50,2,9,"DE COLO, NANDO",P002100   ,Foul (1),CM,,,CSKA Moscow,0
MIL       ,,5,08:50,2,10,"MICOV, VLADIMIR",P000529   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,25,08:36,2,11,"THEODORE, JORDAN",P007946   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,6.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,08:33,2,12,"GOUDELOCK, ANDREW",P004903   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,1,08:22,2,13,"DE COLO, NANDO",P002100   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,6.0,CSKA Moscow,0
CSK       ,,41,08:22,2,14,"KURBANOV, NIKITA",PJLX      ,Foul (1),CM,,,CSKA Moscow,0
MIL       ,,25,08:22,2,15,"THEODORE, JORDAN",P007946   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,08:05,2,16,"GOUDELOCK, ANDREW",P004903   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,8.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,25,08:02,2,17,"THEODORE, JORDAN",P007946   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,1,07:50,3,19,"DE COLO, NANDO",P002100   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,CSKA Moscow,0
MIL       ,,15,07:47,3,20,"TARCZEWSKI, KALEB",P008004   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,07:39,3,22,"MICOV, VLADIMIR",P000529   ,Three Pointer (2/2 -  6 pt),3FGM,4.0,11.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,25,07:39,3,23,"THEODORE, JORDAN",P007946   ,Assist (2),AS,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,,07:39,3,24,,          ,Time Out (1),TOUT,,,CSKA Moscow,0
CSK       ,,1,07:28,3,25,"DE COLO, NANDO",P002100   ,Two Pointer (2/3 -  4 pt),2FGM,6.0,11.0,CSKA Moscow,0
CSK       ,,20,07:28,3,26,"VORONTSEVICH, ANDREY",PLHI      ,Assist (1),AS,,,CSKA Moscow,0
MIL       ,,0,07:28,3,27,"GOUDELOCK, ANDREW",P004903   ,Two Pointer (2/2 -  4 pt),2FGM,6.0,13.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,07:28,3,28,"MICOV, VLADIMIR",P000529   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,41,07:28,3,29,"KURBANOV, NIKITA",PJLX      ,Foul Drawn (1),RV,,,CSKA Moscow,0
MIL       ,,15,07:28,3,30,"TARCZEWSKI, KALEB",P008004   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,21,07:28,3,31,"CLYBURN, WILL",P004888   ,In,IN,,,CSKA Moscow,0
CSK       ,,41,07:28,3,32,"KURBANOV, NIKITA",PJLX      ,Out,OUT,,,CSKA Moscow,0
CSK       ,,20,07:28,3,34,"VORONTSEVICH, ANDREY",PLHI      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,CSKA Moscow,0
CSK       ,,,07:28,3,35,,          ,Off Rebound (1),O,,,CSKA Moscow,0
CSK       ,,9,07:28,3,36,"WESTERMANN, LEO",P002543   ,Foul Drawn (1),RV,,,CSKA Moscow,0
MIL       ,,25,07:28,3,37,"THEODORE, JORDAN",P007946   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,9,06:39,4,39,"WESTERMANN, LEO",P002543   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,CSKA Moscow,0
MIL       ,,24,06:39,4,40,"M'BAYE, AMATH",P007993   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,24,06:39,4,41,"M'BAYE, AMATH",P007993   ,Three Pointer (1/1 -  3 pt),3FGM,6.0,16.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,06:39,4,42,"GOUDELOCK, ANDREW",P004903   ,Assist (2),AS,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,20,06:39,4,43,"VORONTSEVICH, ANDREY",PLHI      ,Turnover (1),TO,,,CSKA Moscow,0
CSK       ,,42,06:00,4,45,"HINES, KYLE",P002812   ,Foul (1),CM,,,CSKA Moscow,0
MIL       ,,15,06:00,4,46,"TARCZEWSKI, KALEB",P008004   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,9,06:00,4,47,"WESTERMANN, LEO",P002543   ,Out,OUT,,,CSKA Moscow,0
CSK       ,,13,06:00,4,48,"RODRIGUEZ, SERGIO",PCVM      ,In,IN,,,CSKA Moscow,0
MIL       ,,24,05:50,5,50,"M'BAYE, AMATH",P007993   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,1,05:46,5,51,"DE COLO, NANDO",P002100   ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,1,05:46,5,52,"DE COLO, NANDO",P002100   ,Foul Drawn (1),RV,,,CSKA Moscow,0
MIL       ,,0,05:46,5,53,"GOUDELOCK, ANDREW",P004903   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,1,05:46,5,54,"DE COLO, NANDO",P002100   ,Out,OUT,,,CSKA Moscow,0
CSK       ,,22,05:46,5,55,"HIGGINS, CORY",P006450   ,In,IN,,,CSKA Moscow,0
CSK       ,,22,05:37,5,56,"HIGGINS, CORY",P006450   ,Two Pointer (1/1 -  2 pt),2FGM,8.0,16.0,CSKA Moscow,0
MIL       ,,24,05:25,5,57,"M'BAYE, AMATH",P007993   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,21,05:23,5,58,"CLYBURN, WILL",P004888   ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,13,05:11,5,59,"RODRIGUEZ, SERGIO",PCVM      ,Turnover (1),TO,,,CSKA Moscow,0
CSK       ,,11,05:11,5,60,"ANTONOV, SEMEN",P004941   ,In,IN,,,CSKA Moscow,0
CSK       ,,20,05:11,5,61,"VORONTSEVICH, ANDREY",PLHI      ,Out,OUT,,,CSKA Moscow,0
MIL       ,,15,04:50,6,63,"TARCZEWSKI, KALEB",P008004   ,Two Pointer (1/1 -  2 pt),2FGM,8.0,18.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,25,04:48,6,64,"THEODORE, JORDAN",P007946   ,Assist (3),AS,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,42,04:41,6,65,"HINES, KYLE",P002812   ,Foul Drawn (1),RV,,,CSKA Moscow,0
MIL       ,,25,04:41,6,66,"THEODORE, JORDAN",P007946   ,Foul (2),CM,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,9,04:41,6,67,"KALNIETIS, MANTAS",PJBX      ,In,IN,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,25,04:41,6,68,"THEODORE, JORDAN",P007946   ,Out,OUT,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,13,04:39,6,69,"RODRIGUEZ, SERGIO",PCVM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
MIL       ,,5,04:39,6,70,"MICOV, VLADIMIR",P000529   ,Def Rebound (2),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,04:12,6,71,"TARCZEWSKI, KALEB",P008004   ,Two Pointer (2/2 -  4 pt),2FGM,8.0,20.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,24,04:09,6,72,"M'BAYE, AMATH",P007993   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,22,03:57,7,74,"HIGGINS, CORY",P006450   ,Two Pointer (2/2 -  4 pt),2FGM,10.0,20.0,CSKA Moscow,0
MIL       ,,24,03:37,7,75,"M'BAYE, AMATH",P007993   ,Two Pointer (1/2 -  5 pt),2FGM,10.0,22.0,AX Armani Exchange Olimpia Milan,0
CSK       ,,21,03:20,7,76,"CLYBURN, WILL",P004888   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
MIL       ,,24,03:17,7,77,"M'BAYE, AMATH",P007993   ,Def Rebound (2),D,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,13,03:16,7,78,"RODRIGUEZ, SERGIO",PCVM      ,Foul (1),CM,,,CSKA Moscow,0
MIL       ,,9,03:16,7,79,"KALNIETIS, MANTAS",PJBX      ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,42,03:16,7,80,"HINES, KYLE",P002812   ,Out,OUT,,,CSKA Moscow,0
CSK       ,,44,03:16,7,81,"HUNTER, OTHELLO",P005160   ,In,IN,,,CSKA Moscow,0
MIL       ,,15,03:16,7,82,"TARCZEWSKI, KALEB",P008004   ,Out,OUT,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,77,03:16,7,83,"GUDAITIS, ARTURAS",P003120   ,In,IN,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,02:59,8,85,"MICOV, VLADIMIR",P000529   ,Two Pointer (1/1 -  8 pt),2FGM,10.0,24.0,AX Armani Exchange Olimpia Milan,0
CSK       ,,13,02:49,8,86,"RODRIGUEZ, SERGIO",PCVM      ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,CSKA Moscow,0
MIL       ,,0,02:46,8,87,"GOUDELOCK, ANDREW",P004903   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,02:42,8,88,"GOUDELOCK, ANDREW",P004903   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,11,02:39,8,89,"ANTONOV, SEMEN",P004941   ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,21,02:36,8,90,"CLYBURN, WILL",P004888   ,Foul Drawn (1),RV,,,CSKA Moscow,0
MIL       ,,9,02:36,8,91,"KALNIETIS, MANTAS",PJBX      ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
CSK       ,,21,02:36,8,92,"CLYBURN, WILL",P004888   ,Free Throw In (1/1 -  1 pt),FTM,11.0,24.0,CSKA Moscow,0
CSK       ,,21,02:36,8,93,"CLYBURN, WILL",P004888   ,Free Throw In (2/2 -  2 pt),FTM,12.0,24.0,CSKA Moscow,0
MIL       ,,0,02:33,8,94,"GOUDELOCK, ANDREW",P004903   ,Turnover (1),TO,,,AX Armani Exchange Olimpia Milan,0
