CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,6,,          ,Begin Period,BP,,,,0
IST       ,,12,09:47,1,7,"MOTUM, BROCK",P006599   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Anadolu Efes Istanbul,0
IST       ,,42,09:44,1,8,"DUNSTON, BRYANT",P003048   ,Off Rebound (1),O,,,Anadolu Efes Istanbul,0
IST       ,,42,09:44,1,9,"DUNSTON, BRYANT",P003048   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Anadolu Efes Istanbul,0
MAD       ,,9,09:25,1,10,"REYES, FELIPE",PAAX      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Real Madrid,0
MAD       ,,1,09:23,1,11,"CAUSEUR, FABIEN",P001392   ,Assist (1),AS,,,Real Madrid,0
IST       ,,12,09:12,1,12,"MOTUM, BROCK",P006599   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Anadolu Efes Istanbul,0
IST       ,,12,09:12,1,13,"MOTUM, BROCK",P006599   ,Shot Rejected (1),AG,,,Anadolu Efes Istanbul,0
MAD       ,,14,09:09,1,14,"AYON, GUSTAVO",P005927   ,Block (1),FV,,,Real Madrid,0
MAD       ,,9,09:08,1,15,"REYES, FELIPE",PAAX      ,Def Rebound (1),D,,,Real Madrid,0
IST       ,,12,09:02,1,16,"MOTUM, BROCK",P006599   ,Foul (1),CM,,,Anadolu Efes Istanbul,0
MAD       ,,11,09:02,1,17,"CAMPAZZO, FACUNDO",P005928   ,Foul Drawn (1),RV,,,Real Madrid,0
IST       ,,3,09:00,1,19,"MCCOLLUM, ERRICK",P005216   ,Foul (1),CM,,,Anadolu Efes Istanbul,0
MAD       ,,11,09:00,1,20,"CAMPAZZO, FACUNDO",P005928   ,Foul Drawn (2),RV,,,Real Madrid,0
MAD       ,,11,08:54,2,22,"CAMPAZZO, FACUNDO",P005928   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0
IST       ,,1,08:51,2,23,"LEDO, RICKY",P007969   ,Def Rebound (1),D,,,Anadolu Efes Istanbul,0
IST       ,,12,08:39,2,24,"MOTUM, BROCK",P006599   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Anadolu Efes Istanbul,0
MAD       ,,11,08:36,2,25,"CAMPAZZO, FACUNDO",P005928   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,14,08:25,2,26,"AYON, GUSTAVO",P005927   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Real Madrid,0
IST       ,,3,08:10,2,27,"MCCOLLUM, ERRICK",P005216   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,4.0,Anadolu Efes Istanbul,0
IST       ,,24,08:10,2,76,"MURIC, EDO",P003515   ,Assist (1),AS,,,Anadolu Efes Istanbul,0
IST       ,,3,08:10,2,28,"MCCOLLUM, ERRICK",P005216   ,Foul Drawn (1),RV,,,Anadolu Efes Istanbul,0
MAD       ,,11,08:10,2,29,"CAMPAZZO, FACUNDO",P005928   ,Foul (1),CM,,,Real Madrid,0
IST       ,,3,08:10,2,30,"MCCOLLUM, ERRICK",P005216   ,Free Throw In (1/1 -  3 pt),FTM,5.0,4.0,Anadolu Efes Istanbul,0
MAD       ,,14,07:56,3,32,"AYON, GUSTAVO",P005927   ,Two Pointer (2/2 -  4 pt),2FGM,5.0,6.0,Real Madrid,0
MAD       ,,9,07:54,3,33,"REYES, FELIPE",PAAX      ,Assist (1),AS,,,Real Madrid,0
IST       ,,24,07:49,3,34,"MURIC, EDO",P003515   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Anadolu Efes Istanbul,0
