CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,32,,          ,Begin Period,BP,,,,0
MAL       ,,21,09:13,1,33,"WACZYNSKI, ADAM",PLDX      ,Three Pointer (1/1 -  3 pt),3FGM,3.0,,Unicaja Malaga,0
MAL       ,,16,09:13,1,34,"NEDOVIC, NEMANJA",P000848   ,Assist (1),AS,,,Unicaja Malaga,0
MAL       ,,17,09:13,1,36,"SHERMADINI, GIORGI",P001386   ,Block (1),FV,,,Unicaja Malaga,0
ULK       ,,21,09:59,1,96,"NUNNALLY, JAMES",P007400   ,Shot Rejected (1),AG,,,Fenerbahce Dogus Istanbul,0
ULK       ,,21,09:13,1,95,"NUNNALLY, JAMES",P007400   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
MAL       ,,17,09:13,1,37,"SHERMADINI, GIORGI",P001386   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,16,09:13,1,38,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
ULK       ,,70,09:13,1,39,"DATOME, LUIGI",PCCD      ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,70,09:13,1,40,"DATOME, LUIGI",PCCD      ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0
MAL       ,,16,09:13,1,41,"NEDOVIC, NEMANJA",P000848   ,Steal (1),ST,,,Unicaja Malaga,0
MAL       ,,21,08:53,2,43,"WACZYNSKI, ADAM",PLDX      ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Unicaja Malaga,0
MAL       ,,,08:53,2,290,,          ,Off Rebound (1),O,,,Unicaja Malaga,0
ULK       ,,1,08:53,2,45,"THOMPSON, JASON",P007998   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
MAL       ,,43,08:53,2,46,"SUAREZ, CARLOS",PJJS      ,Foul Drawn (1),RV,,,Unicaja Malaga,0
MAL       ,,17,08:40,2,47,"SHERMADINI, GIORGI",P001386   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,,Unicaja Malaga,0
MAL       ,,16,08:40,2,48,"NEDOVIC, NEMANJA",P000848   ,Assist (2),AS,,,Unicaja Malaga,0
ULK       ,,11,08:40,2,49,"WANAMAKER, BRAD",P005838   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
MAL       ,,17,08:40,2,50,"SHERMADINI, GIORGI",P001386   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
MAL       ,,17,08:40,2,52,"SHERMADINI, GIORGI",P001386   ,Free Throw In (1/1 -  3 pt),FTM,6.0,,Unicaja Malaga,0
ULK       ,,70,08:40,2,54,"DATOME, LUIGI",PCCD      ,Two Pointer (1/1 -  2 pt),2FGM,6.0,2.0,Fenerbahce Dogus Istanbul,0
MAL       ,,16,07:55,3,56,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Unicaja Malaga,0
ULK       ,,24,07:51,3,57,"VESELY, JAN",P000925   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,1,07:47,3,58,"THOMPSON, JASON",P007998   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,4.0,Fenerbahce Dogus Istanbul,0
ULK       ,,21,07:43,3,59,"NUNNALLY, JAMES",P007400   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
MAL       ,,17,07:59,3,98,"SHERMADINI, GIORGI",P001386   ,Shot Rejected (1),AG,,,Unicaja Malaga,0
MAL       ,,17,07:21,3,97,"SHERMADINI, GIORGI",P001386   ,Missed Two Pointer (1/2 -  3 pt),2FGA,,,Unicaja Malaga,0
ULK       ,,70,07:18,3,61,"DATOME, LUIGI",PCCD      ,Block (1),FV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,1,07:12,3,62,"THOMPSON, JASON",P007998   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,11,07:04,3,63,"WANAMAKER, BRAD",P005838   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
MAL       ,,21,07:01,3,64,"WACZYNSKI, ADAM",PLDX      ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,3,06:51,4,66,"MCCALLUM, RAY",P008002   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
ULK       ,,,06:51,4,67,,          ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,06:29,4,68,"VESELY, JAN",P000925   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
MAL       ,,17,06:26,4,69,"SHERMADINI, GIORGI",P001386   ,Def Rebound (2),D,,,Unicaja Malaga,0
MAL       ,,16,06:19,4,70,"NEDOVIC, NEMANJA",P000848   ,Two Pointer (1/1 -  2 pt),2FGM,8.0,4.0,Unicaja Malaga,0
MAL       ,,3,06:17,4,71,"MCCALLUM, RAY",P008002   ,Assist (1),AS,,,Unicaja Malaga,0
ULK       ,,1,06:02,4,72,"THOMPSON, JASON",P007998   ,Two Pointer (2/2 -  4 pt),2FGM,8.0,6.0,Fenerbahce Dogus Istanbul,0
ULK       ,,11,05:56,5,74,"WANAMAKER, BRAD",P005838   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
MAL       ,,17,05:40,5,75,"SHERMADINI, GIORGI",P001386   ,Turnover (1),TO,,,Unicaja Malaga,0
ULK       ,,16,05:40,5,76,"SLOUKAS, KOSTAS",P001926   ,In,IN,,,Fenerbahce Dogus Istanbul,0
ULK       ,,21,05:40,5,77,"NUNNALLY, JAMES",P007400   ,Out,OUT,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,05:24,5,78,"VESELY, JAN",P000925   ,Two Pointer (1/2 -  2 pt),2FGM,8.0,8.0,Fenerbahce Dogus Istanbul,0
ULK       ,,1,05:22,5,79,"THOMPSON, JASON",P007998   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
MAL       ,,17,05:04,5,80,"SHERMADINI, GIORGI",P001386   ,Missed Two Pointer (1/3 -  3 pt),2FGA,,,Unicaja Malaga,0
MAL       ,,17,05:04,5,81,"SHERMADINI, GIORGI",P001386   ,Shot Rejected (2),AG,,,Unicaja Malaga,0
ULK       ,,24,05:04,5,82,"VESELY, JAN",P000925   ,Block (1),FV,,,Fenerbahce Dogus Istanbul,0
MAL       ,,17,05:04,5,83,"SHERMADINI, GIORGI",P001386   ,Off Rebound (1),O,,,Unicaja Malaga,0
ULK       ,,1,05:04,5,84,"THOMPSON, JASON",P007998   ,Foul (2),CM,,,Fenerbahce Dogus Istanbul,0
MAL       ,,17,05:04,5,85,"SHERMADINI, GIORGI",P001386   ,Foul Drawn (2),RV,,,Unicaja Malaga,0
MAL       ,,23,05:04,5,86,"BROOKS, JEFF",P004117   ,In,IN,,,Unicaja Malaga,0
MAL       ,,43,05:04,5,87,"SUAREZ, CARLOS",PJJS      ,Out,OUT,,,Unicaja Malaga,0
ULK       ,,1,05:04,5,88,"THOMPSON, JASON",P007998   ,Out,OUT,,,Fenerbahce Dogus Istanbul,0
ULK       ,,4,05:04,5,89,"MELLI, NICOLO",P002849   ,In,IN,,,Fenerbahce Dogus Istanbul,0
MAL       ,,16,04:50,6,91,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (0/3 -  2 pt),3FGA,,,Unicaja Malaga,0
ULK       ,,,04:50,6,93,,          ,Def Rebound (2),D,,,Fenerbahce Dogus Istanbul,0
          ,,,04:50,6,94,,          ,TV Time Out (1),TOUT_TV,,,,0
MAL       ,,23,04:37,6,99,"BROOKS, JEFF",P004117   ,Foul (1),CM,,,Unicaja Malaga,0
ULK       ,,16,04:37,6,100,"SLOUKAS, KOSTAS",P001926   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,11,04:28,6,101,"WANAMAKER, BRAD",P005838   ,Three Pointer (1/1 -  3 pt),3FGM,8.0,11.0,Fenerbahce Dogus Istanbul,0
ULK       ,,16,04:25,6,102,"SLOUKAS, KOSTAS",P001926   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
MAL       ,,16,04:02,6,103,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (0/4 -  2 pt),3FGA,,,Unicaja Malaga,0
ULK       ,,24,04:00,7,105,"VESELY, JAN",P000925   ,Def Rebound (2),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,70,03:49,7,106,"DATOME, LUIGI",PCCD      ,Two Pointer (2/2 -  4 pt),2FGM,8.0,13.0,Fenerbahce Dogus Istanbul,0
MAL       ,,3,03:23,7,107,"MCCALLUM, RAY",P008002   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
MAL       ,,17,03:23,7,108,"SHERMADINI, GIORGI",P001386   ,Off Rebound (2),O,,,Unicaja Malaga,0
MAL       ,,17,03:23,7,109,"SHERMADINI, GIORGI",P001386   ,Two Pointer (2/4 -  5 pt),2FGM,10.0,13.0,Unicaja Malaga,0
ULK       ,,4,03:23,7,110,"MELLI, NICOLO",P002849   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
MAL       ,,17,03:23,7,111,"SHERMADINI, GIORGI",P001386   ,Foul Drawn (3),RV,,,Unicaja Malaga,0
MAL       ,,3,03:23,7,112,"MCCALLUM, RAY",P008002   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,9,03:23,7,113,"DIAZ, ALBERTO",P004213   ,In,IN,,,Unicaja Malaga,0
MAL       ,,17,03:23,7,114,"SHERMADINI, GIORGI",P001386   ,Free Throw In (2/2 -  6 pt),FTM,11.0,13.0,Unicaja Malaga,0
MAL       ,,17,03:23,7,115,"SHERMADINI, GIORGI",P001386   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,40,03:23,7,116,"AUGUSTINE, JAMES",P001438   ,In,IN,,,Unicaja Malaga,0
MAL       ,,21,03:10,7,117,"WACZYNSKI, ADAM",PLDX      ,Foul (1),CM,,,Unicaja Malaga,0
ULK       ,,16,03:10,7,118,"SLOUKAS, KOSTAS",P001926   ,Foul Drawn (2),RV,,,Fenerbahce Dogus Istanbul,0
MAL       ,,9,03:05,7,119,"DIAZ, ALBERTO",P004213   ,Foul (1),CM,,,Unicaja Malaga,0
ULK       ,,24,03:05,7,120,"VESELY, JAN",P000925   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
MAL       ,,12,03:05,7,121,"MILOSAVLJEVIC, DRAGAN",P002822   ,In,IN,,,Unicaja Malaga,0
MAL       ,,21,03:05,7,122,"WACZYNSKI, ADAM",PLDX      ,Out,OUT,,,Unicaja Malaga,0
ULK       ,,4,02:48,8,124,"MELLI, NICOLO",P002849   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,02:44,8,125,"VESELY, JAN",P000925   ,Off Rebound (1),O,,,Fenerbahce Dogus Istanbul,0
MAL       ,,16,02:39,8,126,"NEDOVIC, NEMANJA",P000848   ,Foul (1),CM,,,Unicaja Malaga,0
ULK       ,,16,02:39,8,127,"SLOUKAS, KOSTAS",P001926   ,Foul Drawn (3),RV,,,Fenerbahce Dogus Istanbul,0
MAL       ,,10,02:39,8,128,"SALIN, SASU",P002820   ,In,IN,,,Unicaja Malaga,0
MAL       ,,16,02:39,8,129,"NEDOVIC, NEMANJA",P000848   ,Out,OUT,,,Unicaja Malaga,0
ULK       ,,24,02:39,8,130,"VESELY, JAN",P000925   ,Out,OUT,,,Fenerbahce Dogus Istanbul,0
ULK       ,,44,02:39,8,131,"DUVERIOGLU, AHMET",P006399   ,In,IN,,,Fenerbahce Dogus Istanbul,0
ULK       ,,16,02:39,8,132,"SLOUKAS, KOSTAS",P001926   ,Free Throw In (1/1 -  1 pt),FTM,11.0,14.0,Fenerbahce Dogus Istanbul,0
ULK       ,,16,02:39,8,133,"SLOUKAS, KOSTAS",P001926   ,Free Throw In (2/2 -  2 pt),FTM,11.0,15.0,Fenerbahce Dogus Istanbul,0
