CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,22,,          ,Begin Period,BP,,,,0,Baskonia Vitoria Gasteiz,BAS,Fenerbahce Dogus Istanbul,ULK
ULK       ,,11,09:35,1,23,"WANAMAKER, BRAD",P005838   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Fenerbahce Dogus Istanbul,0,Baskonia Vitoria Gasteiz,BAS,Fenerbahce Dogus Istanbul,ULK
ULK       ,,21,09:31,1,24,"NUNNALLY, JAMES",P007400   ,Off Rebound (1),O,,,Fenerbahce Dogus Istanbul,0,Baskonia Vitoria Gasteiz,BAS,Fenerbahce Dogus Istanbul,ULK
ULK       ,,70,09:28,1,25,"DATOME, LUIGI",PCCD      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Fenerbahce Dogus Istanbul,0,Baskonia Vitoria Gasteiz,BAS,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,09:26,1,26,"VESELY, JAN",P000925   ,Off Rebound (1),O,,,Fenerbahce Dogus Istanbul,0,Baskonia Vitoria Gasteiz,BAS,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,09:22,1,27,"VESELY, JAN",P000925   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0,Baskonia Vitoria Gasteiz,BAS,Fenerbahce Dogus Istanbul,ULK
ULK       ,,44,09:19,1,28,"DUVERIOGLU, AHMET",P006399   ,Off Rebound (1),O,,,Fenerbahce Dogus Istanbul,0,Baskonia Vitoria Gasteiz,BAS,Fenerbahce Dogus Istanbul,ULK
ULK       ,,44,09:17,1,29,"DUVERIOGLU, AHMET",P006399   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0,Baskonia Vitoria Gasteiz,BAS,Fenerbahce Dogus Istanbul,ULK
BAS       ,,8,09:15,1,30,"MALMANIS, RINALDS",P004185   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,Baskonia Vitoria Gasteiz,BAS,Fenerbahce Dogus Istanbul,ULK
BAS       ,,15,09:13,1,31,"GRANGER, JAYSON",P003024   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,Baskonia Vitoria Gasteiz,BAS,Fenerbahce Dogus Istanbul,ULK
