CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,6,,          ,Begin Period,BP,,,,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,16,09:45,1,7,"YUSTA, SANTI",P005368   ,Turnover (1),TO,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,14,09:24,1,8,"FELDEINE, JAMES",P005918   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,16,09:21,1,9,"YUSTA, SANTI",P005368   ,Def Rebound (1),D,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,1,09:15,1,10,"CAUSEUR, FABIEN",P001392   ,Foul Drawn (1),RV,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,22,09:15,1,11,"ROCHESTIE, TAYLOR",P002972   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,33,09:07,1,12,"THOMPKINS, TREY",P005836   ,Foul Drawn (1),RV,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,51,09:07,1,13,"BJELICA, MILKO",PCHX      ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,11,08:57,2,15,"CAMPAZZO, FACUNDO",P005928   ,Turnover (1),TO,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,14,08:55,2,16,"FELDEINE, JAMES",P005918   ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,14,08:51,2,17,"FELDEINE, JAMES",P005918   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,26,08:51,2,18,"LESSORT, MATHIAS",P003842   ,Off Rebound (1),O,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,22,08:51,2,19,"ROCHESTIE, TAYLOR",P002972   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,16,08:51,2,20,"YUSTA, SANTI",P005368   ,Def Rebound (2),D,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,22,08:22,2,21,"TAVARES, WALTER",P005791   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,16,08:19,2,22,"YUSTA, SANTI",P005368   ,Assist (1),AS,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,22,08:05,2,23,"ROCHESTIE, TAYLOR",P002972   ,Three Pointer (1/2 -  3 pt),3FGM,2.0,3.0,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,51,08:03,2,24,"BJELICA, MILKO",PCHX      ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,16,07:40,3,26,"YUSTA, SANTI",P005368   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,3.0,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,11,07:38,3,27,"CAMPAZZO, FACUNDO",P005928   ,Assist (1),AS,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,26,07:21,3,28,"LESSORT, MATHIAS",P003842   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,5.0,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,51,07:19,3,29,"BJELICA, MILKO",PCHX      ,Assist (2),AS,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,16,07:06,3,30,"YUSTA, SANTI",P005368   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,16,07:59,3,34,"YUSTA, SANTI",P005368   ,Shot Rejected (1),AG,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,26,07:04,3,31,"LESSORT, MATHIAS",P003842   ,Block (1),FV,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,51,07:04,3,32,"BJELICA, MILKO",PCHX      ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
          ,,,07:04,3,35,,          ,TV Time Out (1),TOUT_TV,,,,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
RED       ,,14,07:00,3,36,"FELDEINE, JAMES",P005918   ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,1,06:59,4,38,"CAUSEUR, FABIEN",P001392   ,Steal (1),ST,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,11,06:53,4,39,"CAMPAZZO, FACUNDO",P005928   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,22,06:53,4,40,"TAVARES, WALTER",P005791   ,Off Rebound (1),O,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,33,06:53,4,42,"THOMPKINS, TREY",P005836   ,Three Pointer (1/1 -  3 pt),3FGM,8.0,5.0,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
MAD       ,,16,06:53,4,43,"YUSTA, SANTI",P005368   ,Assist (2),AS,,,Real Madrid,0,Real Madrid,MAD,Crvena Zvezda mts Belgrade,RED
