CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,15,,          ,Begin Period,BP,,,,0
PAN       ,,24,09:43,1,16,"LOJESKI, MATT",P003608   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
MAL       ,,,09:43,1,17,,          ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,23,09:20,1,18,"BROOKS, JEFF",P004117   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
MAL       ,,40,09:17,1,19,"AUGUSTINE, JAMES",P001438   ,Off Rebound (1),O,,,Unicaja Malaga,0
MAL       ,,40,09:17,1,20,"AUGUSTINE, JAMES",P001438   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Unicaja Malaga,0
PAN       ,,0,09:00,2,22,"SINGLETON, CHRIS",P006614   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
MAL       ,,11,08:57,2,23,"DIEZ, DANIEL",P003198   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,3,08:52,2,24,"MCCALLUM, RAY",P008002   ,Two Pointer (1/1 -  2 pt),2FGM,,4.0,Unicaja Malaga,0
PAN       ,,0,08:28,2,25,"SINGLETON, CHRIS",P006614   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
MAL       ,,3,08:26,2,26,"MCCALLUM, RAY",P008002   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,16,08:07,2,27,"NEDOVIC, NEMANJA",P000848   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
PAN       ,,33,08:05,2,28,"CALATHES, NICK",P001932   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,08:01,2,29,"GIST, JAMES",P002980   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Panathinaikos Superfoods Athens,0
PAN       ,,33,07:59,3,31,"CALATHES, NICK",P001932   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,07:41,3,32,"SINGLETON, CHRIS",P006614   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
MAL       ,,16,07:41,3,33,"NEDOVIC, NEMANJA",P000848   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
PAN       ,,33,07:29,3,34,"CALATHES, NICK",P001932   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
MAL       ,,16,07:29,3,35,"NEDOVIC, NEMANJA",P000848   ,Foul Drawn (2),RV,,,Unicaja Malaga,0
MAL       ,,23,07:20,3,36,"BROOKS, JEFF",P004117   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
MAL       ,,,07:20,3,37,,          ,Off Rebound (1),O,,,Unicaja Malaga,0
MAL       ,,16,07:11,3,38,"NEDOVIC, NEMANJA",P000848   ,Turnover (1),TO,,,Unicaja Malaga,0
PAN       ,,24,07:08,3,39,"LOJESKI, MATT",P003608   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,4.0,Panathinaikos Superfoods Athens,0
PAN       ,,14,07:08,3,40,"GIST, JAMES",P002980   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
MAL       ,,16,07:01,3,42,"NEDOVIC, NEMANJA",P000848   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,7.0,Unicaja Malaga,0
MAL       ,,23,07:01,3,43,"BROOKS, JEFF",P004117   ,Assist (1),AS,,,Unicaja Malaga,0
PAN       ,,14,06:17,4,45,"GIST, JAMES",P002980   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,7.0,Panathinaikos Superfoods Athens,0
PAN       ,,24,06:17,4,46,"LOJESKI, MATT",P003608   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
          ,,,06:17,4,47,,          ,TV Time Out (1),TOUT_TV,,,,0
MAL       ,,40,06:02,4,48,"AUGUSTINE, JAMES",P001438   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Unicaja Malaga,0
MAL       ,,40,06:00,4,49,"AUGUSTINE, JAMES",P001438   ,Off Rebound (2),O,,,Unicaja Malaga,0
MAL       ,,40,05:58,5,51,"AUGUSTINE, JAMES",P001438   ,Missed Two Pointer (1/3 -  2 pt),2FGA,,,Unicaja Malaga,0
PAN       ,,12,05:57,5,52,"DENMON, MARCUS",P004195   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,05:46,5,53,"GIST, JAMES",P002980   ,Two Pointer (3/3 -  6 pt),2FGM,9.0,7.0,Panathinaikos Superfoods Athens,0
MAL       ,,11,05:29,5,54,"DIEZ, DANIEL",P003198   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
PAN       ,,14,05:25,5,55,"GIST, JAMES",P002980   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,12,05:15,5,56,"DENMON, MARCUS",P004195   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
MAL       ,,23,05:14,5,57,"BROOKS, JEFF",P004117   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,3,05:09,5,58,"MCCALLUM, RAY",P008002   ,Two Pointer (2/2 -  4 pt),2FGM,9.0,9.0,Unicaja Malaga,0
PAN       ,,0,04:49,6,60,"SINGLETON, CHRIS",P006614   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
MAL       ,,40,04:47,6,61,"AUGUSTINE, JAMES",P001438   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,23,04:36,6,62,"BROOKS, JEFF",P004117   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Unicaja Malaga,0
PAN       ,,24,04:34,6,63,"LOJESKI, MATT",P003608   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,12,04:13,6,64,"DENMON, MARCUS",P004195   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,04:12,6,65,"SINGLETON, CHRIS",P006614   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,04:09,6,66,"SINGLETON, CHRIS",P006614   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
MAL       ,,3,04:06,6,67,"MCCALLUM, RAY",P008002   ,Steal (1),ST,,,Unicaja Malaga,0
PAN       ,,11,04:00,6,68,"PAPPAS, NIKOS",P000464   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,12,04:00,6,69,"DENMON, MARCUS",P004195   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
MAL       ,,16,03:49,7,71,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Unicaja Malaga,0
PAN       ,,,03:49,7,72,,          ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0
MAL       ,,23,03:37,7,73,"BROOKS, JEFF",P004117   ,Foul (1),CM,,,Unicaja Malaga,0
PAN       ,,0,03:37,7,74,"SINGLETON, CHRIS",P006614   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
MAL       ,,11,03:30,7,75,"DIEZ, DANIEL",P003198   ,Foul (1),CM,,,Unicaja Malaga,0
PAN       ,,14,03:30,7,76,"GIST, JAMES",P002980   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,03:14,7,77,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
MAL       ,,23,03:13,7,78,"BROOKS, JEFF",P004117   ,Def Rebound (2),D,,,Unicaja Malaga,0
MAL       ,,3,03:08,7,79,"MCCALLUM, RAY",P008002   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Unicaja Malaga,0
PAN       ,,0,03:06,7,80,"SINGLETON, CHRIS",P006614   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,03:01,7,81,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,02:58,8,83,"SINGLETON, CHRIS",P006614   ,Off Rebound (2),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,02:58,8,84,"SINGLETON, CHRIS",P006614   ,Two Pointer (1/2 -  2 pt),2FGM,11.0,9.0,Panathinaikos Superfoods Athens,0
PAN       ,,3,02:43,8,85,"RIVERS, K.C.",P002429   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,24,02:43,8,86,"LOJESKI, MATT",P003608   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
MAL       ,,40,02:43,8,87,"AUGUSTINE, JAMES",P001438   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,44,02:43,8,88,"MUSLI, DEJAN",PLUR      ,In,IN,,,Unicaja Malaga,0
MAL       ,,16,02:33,8,89,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (1/3 -  3 pt),3FGA,,,Unicaja Malaga,0
PAN       ,,14,02:31,8,90,"GIST, JAMES",P002980   ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0
MAL       ,,11,02:27,8,91,"DIEZ, DANIEL",P003198   ,Foul (2),CM,,,Unicaja Malaga,0
PAN       ,,33,02:27,8,92,"CALATHES, NICK",P001932   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
MAL       ,,11,02:27,8,93,"DIEZ, DANIEL",P003198   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,12,02:27,8,94,"MILOSAVLJEVIC, DRAGAN",P002822   ,In,IN,,,Unicaja Malaga,0
PAN       ,,33,02:15,8,95,"CALATHES, NICK",P001932   ,Two Pointer (1/3 -  2 pt),2FGM,13.0,9.0,Panathinaikos Superfoods Athens,0
MAL       ,,23,01:58,9,97,"BROOKS, JEFF",P004117   ,Missed Two Pointer (0/3 -  0 pt),2FGA,,,Unicaja Malaga,0
PAN       ,,14,01:56,9,98,"GIST, JAMES",P002980   ,Def Rebound (3),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,01:45,9,99,"GIST, JAMES",P002980   ,Two Pointer (4/4 -  8 pt),2FGM,15.0,9.0,Panathinaikos Superfoods Athens,0
PAN       ,,33,01:42,9,100,"CALATHES, NICK",P001932   ,Assist (2),AS,,,Panathinaikos Superfoods Athens,0
MAL       ,,,01:39,9,101,,          ,Time Out (1),TOUT,,,Unicaja Malaga,0
MAL       ,,23,01:39,9,102,"BROOKS, JEFF",P004117   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,43,01:39,9,103,"SUAREZ, CARLOS",PJJS      ,In,IN,,,Unicaja Malaga,0
MAL       ,,16,01:24,9,104,"NEDOVIC, NEMANJA",P000848   ,Turnover (2),TO,,,Unicaja Malaga,0
PAN       ,,0,01:24,9,105,"SINGLETON, CHRIS",P006614   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
PAN       ,,15,01:24,9,106,"VOUGIOUKAS, IAN",PTFX      ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,01:12,9,107,"CALATHES, NICK",P001932   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
MAL       ,,12,01:11,9,108,"MILOSAVLJEVIC, DRAGAN",P002822   ,Steal (1),ST,,,Unicaja Malaga,0
MAL       ,,44,01:07,9,109,"MUSLI, DEJAN",PLUR      ,Two Pointer (1/1 -  2 pt),2FGM,15.0,11.0,Unicaja Malaga,0
MAL       ,,16,01:05,9,110,"NEDOVIC, NEMANJA",P000848   ,Assist (1),AS,,,Unicaja Malaga,0
MAL       ,,44,00:53,10,112,"MUSLI, DEJAN",PLUR      ,Foul (1),CM,,,Unicaja Malaga,0
