CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,8,,          ,Begin Period,BP,,,,0
BAS       ,,7,09:43,1,9,"VOIGTMANN, JOHANNES",P007201   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Baskonia Vitoria Gasteiz,0
BAS       ,,9,09:43,1,10,"HUERTAS, MARCELINHO",PJUJ      ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
MAL       ,,16,09:23,1,11,"NEDOVIC, NEMANJA",P000848   ,Turnover (1),TO,,,Unicaja Malaga,0
BAS       ,,10,09:21,1,12,"BEAUBOIS, RODRIGUE",P006590   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0
BAS       ,,10,09:15,1,13,"BEAUBOIS, RODRIGUE",P006590   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,,Baskonia Vitoria Gasteiz,0
BAS       ,,7,09:12,1,14,"VOIGTMANN, JOHANNES",P007201   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
MAL       ,,16,08:50,2,16,"NEDOVIC, NEMANJA",P000848   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
BAS       ,,,08:49,2,17,,          ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,9,08:32,2,18,"HUERTAS, MARCELINHO",PJUJ      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
MAL       ,,3,08:30,2,19,"MCCALLUM, RAY",P008002   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,43,08:07,2,20,"SUAREZ, CARLOS",PJJS      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
BAS       ,,,08:06,2,21,,          ,Def Rebound (2),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,10,07:45,3,23,"BEAUBOIS, RODRIGUE",P006590   ,Three Pointer (2/2 -  6 pt),3FGM,8.0,,Baskonia Vitoria Gasteiz,0
BAS       ,,7,07:40,3,24,"VOIGTMANN, JOHANNES",P007201   ,Assist (2),AS,,,Baskonia Vitoria Gasteiz,0
MAL       ,,3,07:26,3,25,"MCCALLUM, RAY",P008002   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
MAL       ,,17,07:24,3,26,"SHERMADINI, GIORGI",P001386   ,Off Rebound (1),O,,,Unicaja Malaga,0
MAL       ,,17,07:21,3,27,"SHERMADINI, GIORGI",P001386   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
MAL       ,,3,07:20,3,28,"MCCALLUM, RAY",P008002   ,Off Rebound (1),O,,,Unicaja Malaga,0
MAL       ,,3,07:20,3,29,"MCCALLUM, RAY",P008002   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
BAS       ,,21,07:20,3,30,"JONES, KEVIN",P007185   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
