CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,09:52,1,3,"TIMMA, JANIS",P005718   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,09:49,1,4,"JANNING, MATT",P004165   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
IST       ,,15,09:32,1,5,"STIMAC, VLADIMIR",PLBJ      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,Anadolu Efes Istanbul,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,17,09:19,1,6,"POIRIER, VINCENT",P004887   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,5.0,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,09:17,1,7,"TIMMA, JANIS",P005718   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,17,09:01,1,8,"POIRIER, VINCENT",P004887   ,Block (1),FV,,,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
IST       ,,30,08:58,2,10,"DRAGIC, ZORAN",P003514   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Anadolu Efes Istanbul,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
IST       ,,30,08:58,2,11,"DRAGIC, ZORAN",P003514   ,Shot Rejected (1),AG,,,Anadolu Efes Istanbul,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
IST       ,,15,08:55,2,12,"STIMAC, VLADIMIR",PLBJ      ,Off Rebound (1),O,,,Anadolu Efes Istanbul,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,23,08:55,2,57,"SHENGELIA, TORNIKE",P001133   ,Block (1),FV,,,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
IST       ,,15,08:59,2,59,"STIMAC, VLADIMIR",PLBJ      ,Shot Rejected (1),AG,,,Anadolu Efes Istanbul,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
IST       ,,15,08:55,2,58,"STIMAC, VLADIMIR",PLBJ      ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Anadolu Efes Istanbul,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,17,08:53,2,14,"POIRIER, VINCENT",P004887   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,08:49,2,15,"GRANGER, JAYSON",P003024   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,08:47,2,16,"GRANGER, JAYSON",P003024   ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
IST       ,,30,08:41,2,17,"DRAGIC, ZORAN",P003514   ,Foul (1),CM,,,Anadolu Efes Istanbul,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,08:41,2,18,"JANNING, MATT",P004165   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,11,08:34,2,19,"JANNING, MATT",P004165   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,7.0,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,08:32,2,20,"GRANGER, JAYSON",P003024   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
IST       ,,30,08:15,2,21,"DRAGIC, ZORAN",P003514   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,7.0,Anadolu Efes Istanbul,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
IST       ,,1,08:12,2,22,"LEDO, RICKY",P007969   ,Assist (1),AS,,,Anadolu Efes Istanbul,0,Anadolu Efes Istanbul,IST,Baskonia Vitoria Gasteiz,BAS
