CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,27,,          ,Begin Period,BP,,,,0
TEL       ,,43,09:59,1,28,"BOLDEN, JONAH",P007988   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
TEL       ,,43,09:59,1,29,"BOLDEN, JONAH",P007988   ,Shot Rejected (1),AG,,,Maccabi FOX Tel Aviv,0
PAN       ,,0,09:59,1,30,"SINGLETON, CHRIS",P006614   ,Block (1),FV,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,09:59,1,31,"GIST, JAMES",P002980   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,09:13,1,32,"SINGLETON, CHRIS",P006614   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
TEL       ,,55,09:11,1,33,"JACKSON, PIERRE",P005112   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,43,08:50,2,35,"BOLDEN, JONAH",P007988   ,Two Pointer (1/2 -  2 pt),2FGM,,2.0,Maccabi FOX Tel Aviv,0
TEL       ,,50,08:48,2,36,"ZOOSMAN, YOVEL",P006625   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0
PAN       ,,19,08:38,2,37,"LEKAVICIUS, LUKAS",P003210   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Panathinaikos Superfoods Athens,0
TEL       ,,9,08:17,2,38,"TYUS, ALEX",P004119   ,Two Pointer (1/1 -  2 pt),2FGM,3.0,4.0,Maccabi FOX Tel Aviv,0
TEL       ,,55,08:16,2,39,"JACKSON, PIERRE",P005112   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0
PAN       ,,0,08:05,2,40,"SINGLETON, CHRIS",P006614   ,Two Pointer (1/2 -  2 pt),2FGM,5.0,4.0,Panathinaikos Superfoods Athens,0
TEL       ,,43,08:05,2,41,"BOLDEN, JONAH",P007988   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0
PAN       ,,0,08:05,2,42,"SINGLETON, CHRIS",P006614   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,08:05,2,43,"SINGLETON, CHRIS",P006614   ,Free Throw In (1/1 -  3 pt),FTM,6.0,4.0,Panathinaikos Superfoods Athens,0
TEL       ,,55,07:49,3,45,"JACKSON, PIERRE",P005112   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
PAN       ,,14,07:47,3,46,"GIST, JAMES",P002980   ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,24,07:38,3,47,"LOJESKI, MATT",P003608   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,,07:38,3,48,,          ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
TEL       ,,55,07:38,3,49,"JACKSON, PIERRE",P005112   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0
PAN       ,,43,07:38,3,50,"ANTETOKOUNMPO, THANASIS",P007865   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,19,07:38,3,51,"LEKAVICIUS, LUKAS",P003210   ,Three Pointer (2/2 -  6 pt),3FGM,9.0,4.0,Panathinaikos Superfoods Athens,0
PAN       ,,14,07:38,3,52,"GIST, JAMES",P002980   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
TEL       ,,43,07:08,3,53,"BOLDEN, JONAH",P007988   ,Two Pointer (2/3 -  4 pt),2FGM,9.0,6.0,Maccabi FOX Tel Aviv,0
