CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
RED       ,,22,09:45,1,3,"ROCHESTIE, TAYLOR",P002972   ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0
ULK       ,,16,09:44,1,4,"SLOUKAS, KOSTAS",P001926   ,Steal (1),ST,,,Fenerbahce Dogus Istanbul,0
RED       ,,14,09:39,1,5,"FELDEINE, JAMES",P005918   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
ULK       ,,33,09:39,1,6,"KALINIC, NIKOLA",P004866   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,4,09:33,1,7,"MELLI, NICOLO",P002849   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Fenerbahce Dogus Istanbul,0
RED       ,,26,09:31,1,8,"LESSORT, MATHIAS",P003842   ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,26,09:12,1,9,"LESSORT, MATHIAS",P003842   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
ULK       ,,1,09:10,1,10,"THOMPSON, JASON",P007998   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,33,09:03,1,11,"KALINIC, NIKOLA",P004866   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
RED       ,,26,09:01,1,12,"LESSORT, MATHIAS",P003842   ,Def Rebound (2),D,,,Crvena Zvezda mts Belgrade,0
ULK       ,,1,08:52,2,14,"THOMPSON, JASON",P007998   ,Block (1),FV,,,Fenerbahce Dogus Istanbul,0
RED       ,,6,08:50,2,15,"DANGUBIC, NEMANJA",P005942   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
RED       ,,6,08:50,2,16,"DANGUBIC, NEMANJA",P005942   ,Shot Rejected (1),AG,,,Crvena Zvezda mts Belgrade,0
ULK       ,,4,08:48,2,17,"MELLI, NICOLO",P002849   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,4,08:36,2,18,"MELLI, NICOLO",P002849   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
RED       ,,51,08:34,2,19,"BJELICA, MILKO",PCHX      ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,14,08:19,2,20,"FELDEINE, JAMES",P005918   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Crvena Zvezda mts Belgrade,0
ULK       ,,21,08:06,2,21,"NUNNALLY, JAMES",P007400   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Fenerbahce Dogus Istanbul,0
ULK       ,,4,08:04,2,22,"MELLI, NICOLO",P002849   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
RED       ,,26,07:32,3,24,"LESSORT, MATHIAS",P003842   ,Two Pointer (1/2 -  2 pt),2FGM,2.0,4.0,Crvena Zvezda mts Belgrade,0
RED       ,,6,07:30,3,25,"DANGUBIC, NEMANJA",P005942   ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0
RED       ,,6,07:17,3,26,"DANGUBIC, NEMANJA",P005942   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
ULK       ,,33,07:17,3,27,"KALINIC, NIKOLA",P004866   ,Foul Drawn (2),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,4,07:10,3,28,"MELLI, NICOLO",P002849   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0
RED       ,,26,07:08,3,29,"LESSORT, MATHIAS",P003842   ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0
RED       ,,14,07:06,3,30,"FELDEINE, JAMES",P005918   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
ULK       ,,4,07:05,3,31,"MELLI, NICOLO",P002849   ,Def Rebound (2),D,,,Fenerbahce Dogus Istanbul,0
RED       ,,22,07:04,3,32,"ROCHESTIE, TAYLOR",P002972   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
ULK       ,,4,07:04,3,33,"MELLI, NICOLO",P002849   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,1,06:52,4,35,"THOMPSON, JASON",P007998   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
RED       ,,26,06:50,4,36,"LESSORT, MATHIAS",P003842   ,Def Rebound (3),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,22,06:42,4,37,"ROCHESTIE, TAYLOR",P002972   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,6.0,Crvena Zvezda mts Belgrade,0
ULK       ,,1,06:17,4,38,"THOMPSON, JASON",P007998   ,Two Pointer (1/2 -  2 pt),2FGM,4.0,6.0,Fenerbahce Dogus Istanbul,0
ULK       ,,4,06:16,4,39,"MELLI, NICOLO",P002849   ,Assist (2),AS,,,Fenerbahce Dogus Istanbul,0
ULK       ,,1,05:54,5,41,"THOMPSON, JASON",P007998   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
RED       ,,14,05:54,5,42,"FELDEINE, JAMES",P005918   ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0
RED       ,,14,05:54,5,43,"FELDEINE, JAMES",P005918   ,Free Throw In (1/1 -  3 pt),FTM,4.0,7.0,Crvena Zvezda mts Belgrade,0
RED       ,,14,05:54,5,44,"FELDEINE, JAMES",P005918   ,Free Throw In (2/2 -  4 pt),FTM,4.0,8.0,Crvena Zvezda mts Belgrade,0
ULK       ,,1,05:42,5,45,"THOMPSON, JASON",P007998   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0
RED       ,,14,05:41,5,46,"FELDEINE, JAMES",P005918   ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0
