CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,25,,          ,Begin Period,BP,,,,0
BAR       ,,1,09:42,1,26,"SERAPHIN, KEVIN",P001948   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,FC Barcelona Lassa,0
BAR       ,,18,09:38,1,27,"ORIOLA, PIERRE",P005917   ,Assist (1),AS,,,FC Barcelona Lassa,0
BAS       ,,11,09:27,1,28,"JANNING, MATT",P004165   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Baskonia Vitoria Gasteiz,0
BAR       ,,18,09:24,1,29,"ORIOLA, PIERRE",P005917   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,18,09:19,1,30,"ORIOLA, PIERRE",P005917   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
BAS       ,,17,09:16,1,31,"POIRIER, VINCENT",P004887   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,23,09:11,1,32,"SHENGELIA, TORNIKE",P001133   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAR       ,,18,09:09,1,33,"ORIOLA, PIERRE",P005917   ,Def Rebound (2),D,,,FC Barcelona Lassa,0
BAR       ,,13,09:04,1,34,"HEURTEL, THOMAS",PKLT      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
BAS       ,,11,09:02,1,35,"JANNING, MATT",P004165   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,23,08:46,2,37,"SHENGELIA, TORNIKE",P001133   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Baskonia Vitoria Gasteiz,0
BAS       ,,11,08:43,2,38,"JANNING, MATT",P004165   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
BAR       ,,1,08:26,2,39,"SERAPHIN, KEVIN",P001948   ,Two Pointer (2/2 -  4 pt),2FGM,3.0,4.0,FC Barcelona Lassa,0
BAS       ,,6,08:16,2,40,"TIMMA, JANIS",P005718   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,4.0,Baskonia Vitoria Gasteiz,0
BAS       ,,9,08:14,2,41,"HUERTAS, MARCELINHO",PJUJ      ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
BAR       ,,18,08:00,3,43,"ORIOLA, PIERRE",P005917   ,Two Pointer (1/2 -  2 pt),2FGM,5.0,6.0,FC Barcelona Lassa,0
BAR       ,,1,07:56,3,44,"SERAPHIN, KEVIN",P001948   ,Assist (1),AS,,,FC Barcelona Lassa,0
BAS       ,,17,07:41,3,45,"POIRIER, VINCENT",P004887   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,6.0,Baskonia Vitoria Gasteiz,0
BAS       ,,9,07:39,3,46,"HUERTAS, MARCELINHO",PJUJ      ,Assist (2),AS,,,Baskonia Vitoria Gasteiz,0
