CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,13,,          ,Begin Period,BP,,,,0
OLY       ,,16,09:41,1,14,"PAPANIKOLAOU, KOSTAS",P001255   ,Turnover (1),TO,,,Olympiacos Piraeus,0
IST       ,,3,09:39,1,15,"MCCOLLUM, ERRICK",P005216   ,Steal (1),ST,,,Anadolu Efes Istanbul,0
IST       ,,15,09:22,1,16,"STIMAC, VLADIMIR",PLBJ      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Anadolu Efes Istanbul,0
IST       ,,3,09:19,1,17,"MCCOLLUM, ERRICK",P005216   ,Assist (1),AS,,,Anadolu Efes Istanbul,0
OLY       ,,16,09:00,1,18,"PAPANIKOLAOU, KOSTAS",P001255   ,Turnover (2),TO,,,Olympiacos Piraeus,0
IST       ,,15,08:59,2,20,"STIMAC, VLADIMIR",PLBJ      ,Steal (1),ST,,,Anadolu Efes Istanbul,0
IST       ,,3,08:54,2,21,"MCCOLLUM, ERRICK",P005216   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Anadolu Efes Istanbul,0
OLY       ,,33,08:52,2,22,"WILTJER, KYLE",P008052   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
IST       ,,8,08:45,2,23,"BATUK, BIRKAN",P004170   ,Block (1),FV,,,Anadolu Efes Istanbul,0
OLY       ,,7,08:43,2,24,"SPANOULIS, VASSILIS",PJUO      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Olympiacos Piraeus,0
OLY       ,,7,08:43,2,25,"SPANOULIS, VASSILIS",PJUO      ,Shot Rejected (1),AG,,,Olympiacos Piraeus,0
IST       ,,8,08:41,2,26,"BATUK, BIRKAN",P004170   ,Def Rebound (1),D,,,Anadolu Efes Istanbul,0
IST       ,,12,08:24,2,27,"MOTUM, BROCK",P006599   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Anadolu Efes Istanbul,0
OLY       ,,16,08:22,2,28,"PAPANIKOLAOU, KOSTAS",P001255   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,22,08:10,2,29,"ROBERTS, BRIAN",P002091   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0
IST       ,,8,08:07,2,30,"BATUK, BIRKAN",P004170   ,Def Rebound (2),D,,,Anadolu Efes Istanbul,0
IST       ,,44,07:59,3,32,"SIMON, KRUNOSLAV",PCPR      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Anadolu Efes Istanbul,0
OLY       ,,22,07:56,3,33,"ROBERTS, BRIAN",P002091   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,22,07:52,3,34,"ROBERTS, BRIAN",P002091   ,Turnover (1),TO,,,Olympiacos Piraeus,0
IST       ,,15,07:29,3,35,"STIMAC, VLADIMIR",PLBJ      ,Two Pointer (2/2 -  4 pt),2FGM,4.0,,Anadolu Efes Istanbul,0
IST       ,,3,07:27,3,36,"MCCOLLUM, ERRICK",P005216   ,Assist (2),AS,,,Anadolu Efes Istanbul,0
IST       ,,8,07:13,3,37,"BATUK, BIRKAN",P004170   ,Foul (1),CM,,,Anadolu Efes Istanbul,0
OLY       ,,31,07:13,3,38,"BOGRIS, GEORGIOS",P001933   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
OLY       ,,7,07:01,3,39,"SPANOULIS, VASSILIS",PJUO      ,Turnover (1),TO,,,Olympiacos Piraeus,0
IST       ,,44,06:59,4,41,"SIMON, KRUNOSLAV",PCPR      ,Steal (1),ST,,,Anadolu Efes Istanbul,0
IST       ,,3,06:41,4,42,"MCCOLLUM, ERRICK",P005216   ,Turnover (1),TO,,,Anadolu Efes Istanbul,0
OLY       ,,31,06:39,4,43,"BOGRIS, GEORGIOS",P001933   ,Steal (1),ST,,,Olympiacos Piraeus,0
OLY       ,,22,06:34,4,44,"ROBERTS, BRIAN",P002091   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,2.0,Olympiacos Piraeus,0
OLY       ,,7,06:32,4,45,"SPANOULIS, VASSILIS",PJUO      ,Assist (1),AS,,,Olympiacos Piraeus,0
IST       ,,15,06:17,4,46,"STIMAC, VLADIMIR",PLBJ      ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Anadolu Efes Istanbul,0
IST       ,,15,06:14,4,47,"STIMAC, VLADIMIR",PLBJ      ,Off Rebound (1),O,,,Anadolu Efes Istanbul,0
IST       ,,15,06:14,4,48,"STIMAC, VLADIMIR",PLBJ      ,Missed Two Pointer (2/4 -  4 pt),2FGA,,,Anadolu Efes Istanbul,0
IST       ,,15,06:12,4,49,"STIMAC, VLADIMIR",PLBJ      ,Off Rebound (2),O,,,Anadolu Efes Istanbul,0
IST       ,,15,06:12,4,50,"STIMAC, VLADIMIR",PLBJ      ,Missed Two Pointer (2/5 -  4 pt),2FGA,,,Anadolu Efes Istanbul,0
OLY       ,,31,06:10,4,51,"BOGRIS, GEORGIOS",P001933   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,33,06:01,4,52,"WILTJER, KYLE",P008052   ,Three Pointer (1/1 -  3 pt),3FGM,4.0,5.0,Olympiacos Piraeus,0
OLY       ,,7,06:00,5,54,"SPANOULIS, VASSILIS",PJUO      ,Assist (2),AS,,,Olympiacos Piraeus,0
IST       ,,12,05:39,5,55,"MOTUM, BROCK",P006599   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Anadolu Efes Istanbul,0
OLY       ,,7,05:37,5,56,"SPANOULIS, VASSILIS",PJUO      ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,16,05:26,5,57,"PAPANIKOLAOU, KOSTAS",P001255   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0
IST       ,,12,05:23,5,58,"MOTUM, BROCK",P006599   ,Def Rebound (1),D,,,Anadolu Efes Istanbul,0
OLY       ,,31,05:06,5,59,"BOGRIS, GEORGIOS",P001933   ,Foul (1),CM,,,Olympiacos Piraeus,0
IST       ,,15,05:06,5,60,"STIMAC, VLADIMIR",PLBJ      ,Foul Drawn (1),RV,,,Anadolu Efes Istanbul,0
IST       ,,8,05:06,5,61,"BATUK, BIRKAN",P004170   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Anadolu Efes Istanbul,0
OLY       ,,31,05:05,5,62,"BOGRIS, GEORGIOS",P001933   ,Def Rebound (2),D,,,Olympiacos Piraeus,0
IST       ,,8,04:58,6,64,"BATUK, BIRKAN",P004170   ,Foul (2),CM,,,Anadolu Efes Istanbul,0
OLY       ,,22,04:58,6,65,"ROBERTS, BRIAN",P002091   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
          ,,,04:58,6,66,,          ,TV Time Out (1),TOUT_TV,,,,0
IST       ,,8,04:58,6,67,"BATUK, BIRKAN",P004170   ,Out,OUT,,,Anadolu Efes Istanbul,0
IST       ,,30,04:58,6,68,"DRAGIC, ZORAN",P003514   ,In,IN,,,Anadolu Efes Istanbul,0
OLY       ,,22,04:58,6,69,"ROBERTS, BRIAN",P002091   ,Free Throw In (1/1 -  3 pt),FTM,4.0,6.0,Olympiacos Piraeus,0
OLY       ,,16,04:58,6,70,"PAPANIKOLAOU, KOSTAS",P001255   ,Assist (1),AS,,,Olympiacos Piraeus,0
OLY       ,,22,04:58,6,71,"ROBERTS, BRIAN",P002091   ,Free Throw In (2/2 -  4 pt),FTM,4.0,7.0,Olympiacos Piraeus,0
OLY       ,,22,04:37,6,72,"ROBERTS, BRIAN",P002091   ,Foul (1),CM,,,Olympiacos Piraeus,0
IST       ,,3,04:37,6,73,"MCCOLLUM, ERRICK",P005216   ,Foul Drawn (1),RV,,,Anadolu Efes Istanbul,0
IST       ,,3,04:37,6,74,"MCCOLLUM, ERRICK",P005216   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Anadolu Efes Istanbul,0
IST       ,,3,04:37,6,75,"MCCOLLUM, ERRICK",P005216   ,Free Throw In (1/2 -  1 pt),FTM,5.0,7.0,Anadolu Efes Istanbul,0
IST       ,,30,04:22,6,77,"DRAGIC, ZORAN",P003514   ,Foul (1),CM,,,Anadolu Efes Istanbul,0
OLY       ,,31,04:22,6,78,"BOGRIS, GEORGIOS",P001933   ,Foul Drawn (2),RV,,,Olympiacos Piraeus,0
OLY       ,,33,04:08,6,79,"WILTJER, KYLE",P008052   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Olympiacos Piraeus,0
IST       ,,44,04:07,6,80,"SIMON, KRUNOSLAV",PCPR      ,Def Rebound (1),D,,,Anadolu Efes Istanbul,0
IST       ,,44,03:57,7,82,"SIMON, KRUNOSLAV",PCPR      ,Two Pointer (1/2 -  2 pt),2FGM,7.0,7.0,Anadolu Efes Istanbul,0
OLY       ,,22,03:42,7,83,"ROBERTS, BRIAN",P002091   ,Missed Two Pointer (1/2 -  4 pt),2FGA,,,Olympiacos Piraeus,0
IST       ,,15,03:40,7,84,"STIMAC, VLADIMIR",PLBJ      ,Def Rebound (1),D,,,Anadolu Efes Istanbul,0
IST       ,,3,03:21,7,85,"MCCOLLUM, ERRICK",P005216   ,Missed Three Pointer (0/1 -  1 pt),3FGA,,,Anadolu Efes Istanbul,0
OLY       ,,22,03:19,7,86,"ROBERTS, BRIAN",P002091   ,Def Rebound (2),D,,,Olympiacos Piraeus,0
OLY       ,,7,03:07,7,87,"SPANOULIS, VASSILIS",PJUO      ,Three Pointer (1/1 -  3 pt),3FGM,7.0,10.0,Olympiacos Piraeus,0
OLY       ,,22,03:05,7,88,"ROBERTS, BRIAN",P002091   ,Assist (1),AS,,,Olympiacos Piraeus,0
IST       ,,12,02:45,8,90,"MOTUM, BROCK",P006599   ,Turnover (1),TO,,,Anadolu Efes Istanbul,0
OLY       ,,16,02:44,8,91,"PAPANIKOLAOU, KOSTAS",P001255   ,Steal (1),ST,,,Olympiacos Piraeus,0
OLY       ,,33,02:41,8,92,"WILTJER, KYLE",P008052   ,Two Pointer (1/2 -  5 pt),2FGM,7.0,12.0,Olympiacos Piraeus,0
OLY       ,,7,02:39,8,93,"SPANOULIS, VASSILIS",PJUO      ,Assist (3),AS,,,Olympiacos Piraeus,0
IST       ,,15,02:12,8,94,"STIMAC, VLADIMIR",PLBJ      ,Turnover (1),TO,,,Anadolu Efes Istanbul,0
IST       ,,1,02:12,8,95,"LEDO, RICKY",P007969   ,In,IN,,,Anadolu Efes Istanbul,0
IST       ,,5,02:12,8,96,"BROWN, DERRICK",P004425   ,In,IN,,,Anadolu Efes Istanbul,0
IST       ,,12,02:12,8,97,"MOTUM, BROCK",P006599   ,Out,OUT,,,Anadolu Efes Istanbul,0
IST       ,,15,02:12,8,98,"STIMAC, VLADIMIR",PLBJ      ,Out,OUT,,,Anadolu Efes Istanbul,0
IST       ,,42,02:12,8,99,"DUNSTON, BRYANT",P003048   ,In,IN,,,Anadolu Efes Istanbul,0
IST       ,,44,02:12,8,100,"SIMON, KRUNOSLAV",PCPR      ,Out,OUT,,,Anadolu Efes Istanbul,0
OLY       ,,1,02:12,8,101,"MCLEAN, JAMEL",P004418   ,In,IN,,,Olympiacos Piraeus,0
OLY       ,,6,02:12,8,102,"PAPAPETROU, IOANNIS",P005161   ,In,IN,,,Olympiacos Piraeus,0
OLY       ,,31,02:12,8,103,"BOGRIS, GEORGIOS",P001933   ,Out,OUT,,,Olympiacos Piraeus,0
OLY       ,,33,02:12,8,104,"WILTJER, KYLE",P008052   ,Out,OUT,,,Olympiacos Piraeus,0
OLY       ,,22,01:49,9,106,"ROBERTS, BRIAN",P002091   ,Three Pointer (1/2 -  7 pt),3FGM,7.0,15.0,Olympiacos Piraeus,0
OLY       ,,1,01:48,9,107,"MCLEAN, JAMEL",P004418   ,Assist (1),AS,,,Olympiacos Piraeus,0
OLY       ,,22,01:37,9,108,"ROBERTS, BRIAN",P002091   ,Foul (2),CM,,,Olympiacos Piraeus,0
IST       ,,3,01:37,9,109,"MCCOLLUM, ERRICK",P005216   ,Foul Drawn (2),RV,,,Anadolu Efes Istanbul,0
OLY       ,,16,01:37,9,110,"PAPANIKOLAOU, KOSTAS",P001255   ,Out,OUT,,,Olympiacos Piraeus,0
OLY       ,,17,01:37,9,111,"MANTZARIS, VANGELIS",P003537   ,In,IN,,,Olympiacos Piraeus,0
OLY       ,,22,01:37,9,112,"ROBERTS, BRIAN",P002091   ,Out,OUT,,,Olympiacos Piraeus,0
OLY       ,,34,01:37,9,113,"THOMPSON, HOLLIS",P008014   ,In,IN,,,Olympiacos Piraeus,0
IST       ,,1,01:22,9,114,"LEDO, RICKY",P007969   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Anadolu Efes Istanbul,0
OLY       ,,34,01:19,9,115,"THOMPSON, HOLLIS",P008014   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,34,01:02,9,116,"THOMPSON, HOLLIS",P008014   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0
IST       ,,3,01:00,10,118,"MCCOLLUM, ERRICK",P005216   ,Def Rebound (1),D,,,Anadolu Efes Istanbul,0
IST       ,,3,00:56,10,119,"MCCOLLUM, ERRICK",P005216   ,Turnover (2),TO,,,Anadolu Efes Istanbul,0
