CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,10,,          ,Begin Period,BP,,,,0
ZAL       ,,3,09:59,1,11,"PANGOS, KEVIN",P006433   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Zalgiris Kaunas,0
ZAL       ,,0,09:59,1,12,"DAVIES, BRANDON",P007870   ,Off Rebound (1),O,,,Zalgiris Kaunas,0
ZAL       ,,0,09:59,1,13,"DAVIES, BRANDON",P007870   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Zalgiris Kaunas,0
ZAL       ,,13,09:59,1,14,"JANKUNAS, PAULIUS",PBWI      ,Foul (1),CM,,,Zalgiris Kaunas,0
PAM       ,,14,09:59,1,15,"DUBLJEVIC, BOJAN",P002742   ,Foul Drawn (1),RV,,,Valencia Basket,0
PAM       ,,42,09:59,1,16,"DOORNEKAMP, AARON",P002763   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Valencia Basket,0
ZAL       ,,0,09:59,1,17,"DAVIES, BRANDON",P007870   ,Def Rebound (1),D,,,Zalgiris Kaunas,0
ZAL       ,,6,09:59,1,18,"TOUPANE, AXEL",P002582   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0
ZAL       ,,13,09:59,1,19,"JANKUNAS, PAULIUS",PBWI      ,Off Rebound (1),O,,,Zalgiris Kaunas,0
PAM       ,,9,09:59,1,20,"VAN ROSSOM, SAM",PLRQ      ,Foul (1),CM,,,Valencia Basket,0
ZAL       ,,6,09:59,1,21,"TOUPANE, AXEL",P002582   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
ZAL       ,,0,08:31,2,23,"DAVIES, BRANDON",P007870   ,Two Pointer (2/2 -  4 pt),2FGM,,4.0,Zalgiris Kaunas,0
PAM       ,,9,08:22,2,24,"VAN ROSSOM, SAM",PLRQ      ,Offensive Foul (2),OF,,,Valencia Basket,0
PAM       ,,9,08:22,2,25,"VAN ROSSOM, SAM",PLRQ      ,Turnover (1),TO,,,Valencia Basket,0
ZAL       ,,6,08:22,2,26,"TOUPANE, AXEL",P002582   ,Foul Drawn (2),RV,,,Zalgiris Kaunas,0
ZAL       ,,92,08:01,2,27,"ULANOVAS, EDGARAS",P002329   ,Two Pointer (1/1 -  2 pt),2FGM,,6.0,Zalgiris Kaunas,0
