CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,15,,          ,Begin Period,BP,,,,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,16,09:48,1,16,"NEDOVIC, NEMANJA",P000848   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,09:46,1,17,"MCCALLUM, RAY",P008002   ,Assist (1),AS,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,45,09:27,1,18,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,55,09:25,1,19,"JACKSON, PIERRE",P005112   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,16,09:07,1,20,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,,09:07,1,21,,          ,Off Rebound (1),O,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,16,08:55,2,23,"NEDOVIC, NEMANJA",P000848   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,45,08:53,2,24,"PARAKHOUSKI, ARTSIOM",P003034   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,7,08:48,2,25,"KANE, DEANDRE",P005781   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,3.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,5,08:46,2,26,"ROLL, MICHAEL",P004974   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,40,08:27,2,27,"AUGUSTINE, JAMES",P001438   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,45,08:24,2,28,"PARAKHOUSKI, ARTSIOM",P003034   ,Def Rebound (2),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,43,08:19,2,29,"BOLDEN, JONAH",P007988   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,3.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,55,08:15,2,30,"JACKSON, PIERRE",P005112   ,Assist (2),AS,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,23,08:00,2,31,"BROOKS, JEFF",P004117   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,5.0,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,45,07:47,3,33,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (2/2 -  4 pt),2FGM,8.0,5.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,55,07:45,3,34,"JACKSON, PIERRE",P005112   ,Assist (3),AS,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,07:27,3,35,"MCCALLUM, RAY",P008002   ,Three Pointer (1/1 -  3 pt),3FGM,8.0,8.0,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,45,07:10,3,36,"PARAKHOUSKI, ARTSIOM",P003034   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,06:56,4,38,"MCCALLUM, RAY",P008002   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,43,06:53,4,39,"BOLDEN, JONAH",P007988   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,55,06:45,4,40,"JACKSON, PIERRE",P005112   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,06:43,4,41,"MCCALLUM, RAY",P008002   ,Def Rebound (1),D,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,06:38,4,42,"MCCALLUM, RAY",P008002   ,Missed Two Pointer (0/2 -  3 pt),2FGA,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,06:38,4,43,"MCCALLUM, RAY",P008002   ,Shot Rejected (1),AG,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,7,06:37,4,44,"KANE, DEANDRE",P005781   ,Block (1),FV,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,,06:37,4,45,,          ,Off Rebound (2),O,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,16,06:30,4,46,"NEDOVIC, NEMANJA",P000848   ,Missed Two Pointer (0/2 -  3 pt),2FGA,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,,06:29,4,47,,          ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,43,06:08,4,48,"BOLDEN, JONAH",P007988   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,11,06:06,4,49,"DIEZ, DANIEL",P003198   ,Def Rebound (1),D,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,05:51,5,51,"MCCALLUM, RAY",P008002   ,Turnover (1),TO,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,5,05:36,5,52,"ROLL, MICHAEL",P004974   ,Three Pointer (1/1 -  3 pt),3FGM,11.0,8.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,55,05:34,5,53,"JACKSON, PIERRE",P005112   ,Assist (4),AS,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,11,05:23,5,54,"DIEZ, DANIEL",P003198   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,23,05:20,5,55,"BROOKS, JEFF",P004117   ,Off Rebound (1),O,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,23,05:19,5,56,"BROOKS, JEFF",P004117   ,Two Pointer (2/2 -  4 pt),2FGM,11.0,10.0,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,5,05:15,5,57,"ROLL, MICHAEL",P004974   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,40,04:59,6,59,"AUGUSTINE, JAMES",P001438   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,55,04:56,6,60,"JACKSON, PIERRE",P005112   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,55,04:49,6,61,"JACKSON, PIERRE",P005112   ,Two Pointer (1/2 -  2 pt),2FGM,13.0,10.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,23,04:33,6,62,"BROOKS, JEFF",P004117   ,Three Pointer (1/1 -  7 pt),3FGM,13.0,13.0,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,04:31,6,63,"MCCALLUM, RAY",P008002   ,Assist (2),AS,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,45,04:15,6,64,"PARAKHOUSKI, ARTSIOM",P003034   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,11,04:12,6,65,"DIEZ, DANIEL",P003198   ,Def Rebound (2),D,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,04:01,6,66,"MCCALLUM, RAY",P008002   ,Foul Drawn (1),RV,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,55,04:01,6,67,"JACKSON, PIERRE",P005112   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
          ,,,04:01,6,68,,          ,TV Time Out (1),TOUT_TV,,,,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,5,04:01,6,69,"ROLL, MICHAEL",P004974   ,Out,OUT,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,9,04:01,6,70,"TYUS, ALEX",P004119   ,In,IN,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,30,04:01,6,71,"COLE, NORRIS",P007989   ,In,IN,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
TEL       ,,45,04:01,6,72,"PARAKHOUSKI, ARTSIOM",P003034   ,Out,OUT,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,10,04:01,6,73,"SALIN, SASU",P002820   ,In,IN,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,16,04:01,6,74,"NEDOVIC, NEMANJA",P000848   ,Out,OUT,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,04:01,6,75,"MCCALLUM, RAY",P008002   ,Missed Free Throw (0/1 -  3 pt),FTA,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
MAL       ,,3,04:01,6,76,"MCCALLUM, RAY",P008002   ,Missed Free Throw (0/2 -  3 pt),FTA,,,Unicaja Malaga,0,Maccabi FOX Tel Aviv,TEL,Unicaja Malaga,MAL
