CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
OLY       ,,31,09:44,1,3,"BOGRIS, GEORGIOS",P001933   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Olympiacos Piraeus,0
OLY       ,,7,09:42,1,4,"SPANOULIS, VASSILIS",PJUO      ,Assist (1),AS,,,Olympiacos Piraeus,0
ZAL       ,,21,09:08,1,5,"MILAKNIS, ARTURAS",PKPD      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Zalgiris Kaunas,0
OLY       ,,31,09:01,1,6,"BOGRIS, GEORGIOS",P001933   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,16,08:47,2,8,"PAPANIKOLAOU, KOSTAS",P001255   ,Turnover (1),TO,,,Olympiacos Piraeus,0
ZAL       ,,0,08:24,2,9,"DAVIES, BRANDON",P007870   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Zalgiris Kaunas,0
ZAL       ,,92,08:22,2,10,"ULANOVAS, EDGARAS",P002329   ,Assist (1),AS,,,Zalgiris Kaunas,0
OLY       ,,6,07:58,3,12,"PAPAPETROU, IOANNIS",P005161   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Olympiacos Piraeus,0
OLY       ,,22,07:56,3,13,"ROBERTS, BRIAN",P002091   ,Assist (1),AS,,,Olympiacos Piraeus,0
ZAL       ,,3,07:46,3,14,"PANGOS, KEVIN",P006433   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0
OLY       ,,6,07:44,3,15,"PAPAPETROU, IOANNIS",P005161   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,6,07:34,3,16,"PAPAPETROU, IOANNIS",P005161   ,Two Pointer (2/2 -  4 pt),2FGM,2.0,6.0,Olympiacos Piraeus,0
OLY       ,,7,07:32,3,17,"SPANOULIS, VASSILIS",PJUO      ,Assist (2),AS,,,Olympiacos Piraeus,0
OLY       ,,31,07:24,3,18,"BOGRIS, GEORGIOS",P001933   ,Foul (1),CM,,,Olympiacos Piraeus,0
ZAL       ,,0,07:24,3,19,"DAVIES, BRANDON",P007870   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
ZAL       ,,0,07:24,3,20,"DAVIES, BRANDON",P007870   ,Free Throw In (1/1 -  3 pt),FTM,3.0,6.0,Zalgiris Kaunas,0
ZAL       ,,3,07:24,3,21,"PANGOS, KEVIN",P006433   ,Assist (1),AS,,,Zalgiris Kaunas,0
ZAL       ,,0,07:24,3,22,"DAVIES, BRANDON",P007870   ,Free Throw In (2/2 -  4 pt),FTM,4.0,6.0,Zalgiris Kaunas,0
OLY       ,,22,07:11,3,23,"ROBERTS, BRIAN",P002091   ,Three Pointer (1/1 -  3 pt),3FGM,4.0,9.0,Olympiacos Piraeus,0
OLY       ,,7,07:11,3,24,"SPANOULIS, VASSILIS",PJUO      ,Assist (3),AS,,,Olympiacos Piraeus,0
OLY       ,,22,06:58,4,26,"ROBERTS, BRIAN",P002091   ,Foul (1),CM,,,Olympiacos Piraeus,0
ZAL       ,,3,06:58,4,27,"PANGOS, KEVIN",P006433   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
ZAL       ,,21,06:50,4,28,"MILAKNIS, ARTURAS",PKPD      ,Three Pointer (1/2 -  3 pt),3FGM,7.0,9.0,Zalgiris Kaunas,0
ZAL       ,,92,06:48,4,29,"ULANOVAS, EDGARAS",P002329   ,Assist (2),AS,,,Zalgiris Kaunas,0
OLY       ,,7,06:26,4,30,"SPANOULIS, VASSILIS",PJUO      ,Three Pointer (1/1 -  3 pt),3FGM,7.0,12.0,Olympiacos Piraeus,0
