CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,10,,          ,Begin Period,BP,,,,0
OLY       ,,17,09:59,1,11,"MANTZARIS, VANGELIS",P003537   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Olympiacos Piraeus,0
OLY       ,,7,09:59,1,12,"SPANOULIS, VASSILIS",PJUO      ,Assist (1),AS,,,Olympiacos Piraeus,0
BAS       ,,10,09:59,1,13,"BEAUBOIS, RODRIGUE",P006590   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0
OLY       ,,17,09:59,1,14,"MANTZARIS, VANGELIS",P003537   ,Steal (1),ST,,,Olympiacos Piraeus,0
OLY       ,,7,09:59,1,15,"SPANOULIS, VASSILIS",PJUO      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0
BAS       ,,17,09:31,1,16,"POIRIER, VINCENT",P004887   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,09:10,1,17,"GRANGER, JAYSON",P003024   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
OLY       ,,16,09:09,1,18,"PAPANIKOLAOU, KOSTAS",P001255   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,11,08:58,2,20,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (1/1 -  2 pt),2FGM,,5.0,Olympiacos Piraeus,0
OLY       ,,16,08:55,2,21,"PAPANIKOLAOU, KOSTAS",P001255   ,Assist (1),AS,,,Olympiacos Piraeus,0
BAS       ,,10,08:43,2,22,"BEAUBOIS, RODRIGUE",P006590   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
OLY       ,,7,08:43,2,23,"SPANOULIS, VASSILIS",PJUO      ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,15,08:17,2,24,"PRINTEZIS, GEORGIOS",PAMM      ,Three Pointer (1/1 -  3 pt),3FGM,,8.0,Olympiacos Piraeus,0
OLY       ,,16,08:14,2,25,"PAPANIKOLAOU, KOSTAS",P001255   ,Assist (2),AS,,,Olympiacos Piraeus,0
BAS       ,,15,08:02,2,26,"GRANGER, JAYSON",P003024   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,08:00,2,27,"POIRIER, VINCENT",P004887   ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,07:58,3,29,"POIRIER, VINCENT",P004887   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,8.0,Baskonia Vitoria Gasteiz,0
OLY       ,,17,07:46,3,30,"MANTZARIS, VANGELIS",P003537   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Olympiacos Piraeus,0
OLY       ,,16,07:46,3,31,"PAPANIKOLAOU, KOSTAS",P001255   ,Off Rebound (1),O,,,Olympiacos Piraeus,0
OLY       ,,15,07:30,3,32,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Olympiacos Piraeus,0
OLY       ,,15,07:30,3,33,"PRINTEZIS, GEORGIOS",PAMM      ,Shot Rejected (1),AG,,,Olympiacos Piraeus,0
BAS       ,,21,07:28,3,34,"JONES, KEVIN",P007185   ,Block (1),FV,,,Baskonia Vitoria Gasteiz,0
BAS       ,,10,07:26,3,35,"BEAUBOIS, RODRIGUE",P006590   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,07:22,3,36,"POIRIER, VINCENT",P004887   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
OLY       ,,15,07:20,3,37,"PRINTEZIS, GEORGIOS",PAMM      ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,7,07:18,3,38,"SPANOULIS, VASSILIS",PJUO      ,Turnover (1),TO,,,Olympiacos Piraeus,0
BAS       ,,10,07:17,3,39,"BEAUBOIS, RODRIGUE",P006590   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0
BAS       ,,10,07:17,3,40,"BEAUBOIS, RODRIGUE",P006590   ,Two Pointer (1/2 -  2 pt),2FGM,4.0,8.0,Baskonia Vitoria Gasteiz,0
OLY       ,,15,06:54,4,42,"PRINTEZIS, GEORGIOS",PAMM      ,Two Pointer (1/2 -  5 pt),2FGM,4.0,10.0,Olympiacos Piraeus,0
BAS       ,,17,06:37,4,43,"POIRIER, VINCENT",P004887   ,Two Pointer (2/3 -  4 pt),2FGM,6.0,10.0,Baskonia Vitoria Gasteiz,0
BAS       ,,15,06:37,4,44,"GRANGER, JAYSON",P003024   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,06:37,4,45,"POIRIER, VINCENT",P004887   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
OLY       ,,11,06:37,4,46,"MILUTINOV, NIKOLA",P003941   ,Foul (1),CM,,,Olympiacos Piraeus,0
BAS       ,,17,06:37,4,47,"POIRIER, VINCENT",P004887   ,Free Throw In (1/1 -  5 pt),FTM,7.0,10.0,Baskonia Vitoria Gasteiz,0
OLY       ,,7,06:14,4,48,"SPANOULIS, VASSILIS",PJUO      ,Three Pointer (1/2 -  3 pt),3FGM,7.0,13.0,Olympiacos Piraeus,0
BAS       ,,17,05:55,5,50,"POIRIER, VINCENT",P004887   ,Missed Two Pointer (2/4 -  5 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,05:54,5,51,"POIRIER, VINCENT",P004887   ,Off Rebound (2),O,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,05:54,5,52,"POIRIER, VINCENT",P004887   ,Missed Two Pointer (2/5 -  5 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
OLY       ,,15,05:54,5,53,"PRINTEZIS, GEORGIOS",PAMM      ,Def Rebound (2),D,,,Olympiacos Piraeus,0
OLY       ,,15,05:31,5,54,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Two Pointer (1/3 -  5 pt),2FGA,,,Olympiacos Piraeus,0
BAS       ,,17,05:29,5,55,"POIRIER, VINCENT",P004887   ,Def Rebound (2),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,05:11,5,56,"POIRIER, VINCENT",P004887   ,Missed Two Pointer (2/6 -  5 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
OLY       ,,16,05:09,5,57,"PAPANIKOLAOU, KOSTAS",P001255   ,Def Rebound (2),D,,,Olympiacos Piraeus,0
OLY       ,,16,05:01,5,58,"PAPANIKOLAOU, KOSTAS",P001255   ,Turnover (1),TO,,,Olympiacos Piraeus,0
BAS       ,,17,04:59,6,60,"POIRIER, VINCENT",P004887   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,04:54,6,61,"GRANGER, JAYSON",P003024   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Baskonia Vitoria Gasteiz,0
OLY       ,,11,04:52,6,62,"MILUTINOV, NIKOLA",P003941   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,7,04:36,6,63,"SPANOULIS, VASSILIS",PJUO      ,Turnover (2),TO,,,Olympiacos Piraeus,0
BAS       ,,10,04:35,6,64,"BEAUBOIS, RODRIGUE",P006590   ,Steal (2),ST,,,Baskonia Vitoria Gasteiz,0
BAS       ,,10,04:33,6,65,"BEAUBOIS, RODRIGUE",P006590   ,Two Pointer (2/3 -  4 pt),2FGM,9.0,13.0,Baskonia Vitoria Gasteiz,0
OLY       ,,11,04:21,6,66,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
BAS       ,,10,04:21,6,67,"BEAUBOIS, RODRIGUE",P006590   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
          ,,,04:21,6,68,,          ,TV Time Out (1),TOUT_TV,,,,0
BAS       ,,7,04:21,6,69,"VOIGTMANN, JOHANNES",P007201   ,In,IN,,,Baskonia Vitoria Gasteiz,0
