CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
MAD       ,,11,09:39,1,3,"CAMPAZZO, FACUNDO",P005928   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0
MAD       ,,22,09:37,1,4,"TAVARES, WALTER",P005791   ,Off Rebound (1),O,,,Real Madrid,0
MAD       ,,1,09:33,1,5,"CAUSEUR, FABIEN",P001392   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Real Madrid,0
KHI       ,,23,09:11,1,6,"THOMAS, MALCOLM",P004251   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Khimki Moscow Region,0
KHI       ,,22,09:09,1,7,"JENKINS, CHARLES",P005014   ,Assist (1),AS,,,Khimki Moscow Region,0
MAD       ,,22,08:52,2,9,"TAVARES, WALTER",P005791   ,Two Pointer (1/1 -  2 pt),2FGM,3.0,4.0,Real Madrid,0
MAD       ,,1,08:50,2,10,"CAUSEUR, FABIEN",P001392   ,Assist (1),AS,,,Real Madrid,0
KHI       ,,21,08:29,2,11,"ANDERSON, JAMES",P005938   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0
MAD       ,,33,08:27,2,12,"THOMPKINS, TREY",P005836   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,33,08:10,2,13,"THOMPKINS, TREY",P005836   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,7.0,Real Madrid,0
MAD       ,,22,08:08,2,14,"TAVARES, WALTER",P005791   ,Assist (1),AS,,,Real Madrid,0
KHI       ,,1,07:52,3,16,"SHVED, ALEXEY",PKVZ      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0
MAD       ,,11,07:50,3,17,"CAMPAZZO, FACUNDO",P005928   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,11,07:48,3,18,"CAMPAZZO, FACUNDO",P005928   ,Foul Drawn (1),RV,,,Real Madrid,0
KHI       ,,22,07:48,3,19,"JENKINS, CHARLES",P005014   ,Foul (1),CM,,,Khimki Moscow Region,0
MAD       ,,16,07:37,3,20,"YUSTA, SANTI",P005368   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0
KHI       ,,13,07:35,3,21,"GILL, ANTHONY",P008001   ,Def Rebound (1),D,,,Khimki Moscow Region,0
KHI       ,,13,07:21,3,22,"GILL, ANTHONY",P008001   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0
MAD       ,,33,07:19,3,23,"THOMPKINS, TREY",P005836   ,Def Rebound (2),D,,,Real Madrid,0
MAD       ,,11,07:12,3,24,"CAMPAZZO, FACUNDO",P005928   ,Two Pointer (1/2 -  2 pt),2FGM,3.0,9.0,Real Madrid,0
KHI       ,,1,06:54,4,26,"SHVED, ALEXEY",PKVZ      ,Three Pointer (1/2 -  3 pt),3FGM,6.0,9.0,Khimki Moscow Region,0
MAD       ,,22,06:35,4,27,"TAVARES, WALTER",P005791   ,Two Pointer (2/2 -  4 pt),2FGM,6.0,11.0,Real Madrid,0
MAD       ,,11,06:34,4,28,"CAMPAZZO, FACUNDO",P005928   ,Assist (1),AS,,,Real Madrid,0
KHI       ,,1,06:13,4,29,"SHVED, ALEXEY",PKVZ      ,Turnover (1),TO,,,Khimki Moscow Region,0
MAD       ,,22,06:11,4,30,"TAVARES, WALTER",P005791   ,Steal (1),ST,,,Real Madrid,0
MAD       ,,1,06:02,4,31,"CAUSEUR, FABIEN",P001392   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Real Madrid,0
KHI       ,,,06:01,4,32,,          ,Def Rebound (1),D,,,Khimki Moscow Region,0
KHI       ,,1,05:47,5,34,"SHVED, ALEXEY",PKVZ      ,Turnover (2),TO,,,Khimki Moscow Region,0
KHI       ,,,05:47,5,35,,          ,Time Out (1),TOUT,,,Khimki Moscow Region,0
MAD       ,,11,05:36,5,36,"CAMPAZZO, FACUNDO",P005928   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Real Madrid,0
MAD       ,,22,05:34,5,37,"TAVARES, WALTER",P005791   ,Off Rebound (2),O,,,Real Madrid,0
MAD       ,,11,05:31,5,38,"CAMPAZZO, FACUNDO",P005928   ,Three Pointer (1/2 -  5 pt),3FGM,6.0,14.0,Real Madrid,0
MAD       ,,16,05:29,5,39,"YUSTA, SANTI",P005368   ,Assist (1),AS,,,Real Madrid,0
KHI       ,,22,05:12,5,40,"JENKINS, CHARLES",P005014   ,Three Pointer (1/1 -  3 pt),3FGM,9.0,14.0,Khimki Moscow Region,0
KHI       ,,1,05:10,5,41,"SHVED, ALEXEY",PKVZ      ,Assist (1),AS,,,Khimki Moscow Region,0
MAD       ,,1,04:51,6,43,"CAUSEUR, FABIEN",P001392   ,Three Pointer (1/2 -  5 pt),3FGM,9.0,17.0,Real Madrid,0
MAD       ,,11,04:50,6,44,"CAMPAZZO, FACUNDO",P005928   ,Assist (2),AS,,,Real Madrid,0
KHI       ,,1,04:40,6,45,"SHVED, ALEXEY",PKVZ      ,Foul Drawn (1),RV,,,Khimki Moscow Region,0
MAD       ,,16,04:40,6,46,"YUSTA, SANTI",P005368   ,Foul (1),CM,,,Real Madrid,0
KHI       ,,21,04:29,6,47,"ANDERSON, JAMES",P005938   ,Two Pointer (1/1 -  2 pt),2FGM,11.0,17.0,Khimki Moscow Region,0
MAD       ,,11,04:08,6,48,"CAMPAZZO, FACUNDO",P005928   ,Turnover (1),TO,,,Real Madrid,0
KHI       ,,13,04:07,6,49,"GILL, ANTHONY",P008001   ,Steal (1),ST,,,Khimki Moscow Region,0
KHI       ,,1,04:06,6,50,"SHVED, ALEXEY",PKVZ      ,Two Pointer (1/1 -  5 pt),2FGM,13.0,17.0,Khimki Moscow Region,0
KHI       ,,21,04:06,6,51,"ANDERSON, JAMES",P005938   ,Assist (1),AS,,,Khimki Moscow Region,0
MAD       ,,33,03:50,7,53,"THOMPKINS, TREY",P005836   ,Turnover (1),TO,,,Real Madrid,0
KHI       ,,1,03:31,7,54,"SHVED, ALEXEY",PKVZ      ,Missed Three Pointer (1/3 -  5 pt),3FGA,,,Khimki Moscow Region,0
MAD       ,,16,03:28,7,55,"YUSTA, SANTI",P005368   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,11,03:14,7,56,"CAMPAZZO, FACUNDO",P005928   ,Turnover (2),TO,,,Real Madrid,0
KHI       ,,23,03:12,7,57,"THOMAS, MALCOLM",P004251   ,Steal (1),ST,,,Khimki Moscow Region,0
KHI       ,,22,03:08,7,58,"JENKINS, CHARLES",P005014   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Khimki Moscow Region,0
MAD       ,,33,03:06,7,59,"THOMPKINS, TREY",P005836   ,Def Rebound (3),D,,,Real Madrid,0
