CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,26,,          ,Begin Period,BP,,,,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
TEL       ,,55,09:39,1,27,"JACKSON, PIERRE",P005112   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,42,09:36,1,28,"MUSLI, DEJAN",PLUR      ,Def Rebound (1),D,,,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,2,09:17,1,29,"HICKMAN, RICKY",P004159   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,21,09:15,1,30,"RUBIT, AUGUSTINE",P006477   ,Off Rebound (1),O,,,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,42,09:12,1,31,"MUSLI, DEJAN",PLUR      ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,2,09:05,1,32,"HICKMAN, RICKY",P004159   ,Assist (1),AS,,,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
TEL       ,,43,08:56,2,34,"BOLDEN, JONAH",P007988   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
TEL       ,,55,08:54,2,35,"JACKSON, PIERRE",P005112   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,6,08:40,2,36,"ZISIS, NIKOS",PABN      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
TEL       ,,43,08:36,2,37,"BOLDEN, JONAH",P007988   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
TEL       ,,5,08:32,2,38,"ROLL, MICHAEL",P004974   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,42,08:30,2,39,"MUSLI, DEJAN",PLUR      ,Def Rebound (2),D,,,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
TEL       ,,43,08:23,2,40,"BOLDEN, JONAH",P007988   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,21,08:23,2,41,"RUBIT, AUGUSTINE",P006477   ,Foul Drawn (1),RV,,,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,42,08:14,2,42,"MUSLI, DEJAN",PLUR      ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
TEL       ,,43,08:12,2,43,"BOLDEN, JONAH",P007988   ,Def Rebound (2),D,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
TEL       ,,43,08:04,2,44,"BOLDEN, JONAH",P007988   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,2,08:02,2,45,"HICKMAN, RICKY",P004159   ,Steal (1),ST,,,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,6,08:02,2,46,"ZISIS, NIKOS",PABN      ,Foul Drawn (1),RV,,,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
TEL       ,,55,08:02,2,47,"JACKSON, PIERRE",P005112   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
BAM       ,,6,08:02,2,48,"ZISIS, NIKOS",PABN      ,Free Throw In (1/1 -  1 pt),FTM,3.0,3.0,Brose Bamberg,0,Maccabi FOX Tel Aviv,TEL,Brose Bamberg,BAM
