CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,6,,          ,Begin Period,BP,,,,0
ZAL       ,,6,09:51,1,7,"TOUPANE, AXEL",P002582   ,Foul (1),CM,,,Zalgiris Kaunas,0
BAM       ,,6,09:51,1,8,"ZISIS, NIKOS",PABN      ,Foul Drawn (1),RV,,,Brose Bamberg,0
BAM       ,,21,09:41,1,9,"RUBIT, AUGUSTINE",P006477   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Brose Bamberg,0
ZAL       ,,6,09:38,1,10,"TOUPANE, AXEL",P002582   ,Def Rebound (1),D,,,Zalgiris Kaunas,0
BAM       ,,2,09:27,1,11,"HICKMAN, RICKY",P004159   ,Foul (1),CM,,,Brose Bamberg,0
ZAL       ,,3,09:27,1,12,"PANGOS, KEVIN",P006433   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
ZAL       ,,3,09:19,1,13,"PANGOS, KEVIN",P006433   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Zalgiris Kaunas,0
BAM       ,,42,09:15,1,14,"MUSLI, DEJAN",PLUR      ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,33,08:55,2,16,"HECKMANN, PATRICK",P006420   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,,Brose Bamberg,0
BAM       ,,6,08:52,2,17,"ZISIS, NIKOS",PABN      ,Assist (1),AS,,,Brose Bamberg,0
ZAL       ,,0,08:38,2,18,"DAVIES, BRANDON",P007870   ,Two Pointer (1/1 -  2 pt),2FGM,3.0,2.0,Zalgiris Kaunas,0
ZAL       ,,0,08:18,2,19,"DAVIES, BRANDON",P007870   ,Foul (1),CM,,,Zalgiris Kaunas,0
BAM       ,,21,08:18,2,20,"RUBIT, AUGUSTINE",P006477   ,Foul Drawn (1),RV,,,Brose Bamberg,0
BAM       ,,2,08:11,2,21,"HICKMAN, RICKY",P004159   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
BAM       ,,2,08:11,2,22,"HICKMAN, RICKY",P004159   ,Shot Rejected (1),AG,,,Brose Bamberg,0
ZAL       ,,3,08:11,2,23,"PANGOS, KEVIN",P006433   ,Block (1),FV,,,Zalgiris Kaunas,0
BAM       ,,,08:11,2,24,,          ,Off Rebound (1),O,,,Brose Bamberg,0
BAM       ,,33,08:04,2,25,"HECKMANN, PATRICK",P006420   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Brose Bamberg,0
ZAL       ,,13,08:02,2,26,"JANKUNAS, PAULIUS",PBWI      ,Def Rebound (1),D,,,Zalgiris Kaunas,0
BAM       ,,6,07:59,3,28,"ZISIS, NIKOS",PABN      ,Foul (1),CM,,,Brose Bamberg,0
ZAL       ,,6,07:59,3,29,"TOUPANE, AXEL",P002582   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
ZAL       ,,6,07:59,3,30,"TOUPANE, AXEL",P002582   ,Free Throw In (1/1 -  1 pt),FTM,3.0,3.0,Zalgiris Kaunas,0
ZAL       ,,6,07:59,3,31,"TOUPANE, AXEL",P002582   ,Free Throw In (2/2 -  2 pt),FTM,3.0,4.0,Zalgiris Kaunas,0
ZAL       ,,3,07:52,3,32,"PANGOS, KEVIN",P006433   ,Foul (1),CM,,,Zalgiris Kaunas,0
BAM       ,,2,07:52,3,33,"HICKMAN, RICKY",P004159   ,Foul Drawn (1),RV,,,Brose Bamberg,0
BAM       ,,21,07:42,3,34,"RUBIT, AUGUSTINE",P006477   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,4.0,Brose Bamberg,0
BAM       ,,6,07:31,3,35,"ZISIS, NIKOS",PABN      ,Foul (2),CM,,,Brose Bamberg,0
ZAL       ,,6,07:31,3,36,"TOUPANE, AXEL",P002582   ,Foul Drawn (2),RV,,,Zalgiris Kaunas,0
BAM       ,,0,07:31,3,37,"HACKETT, DANIEL",P001844   ,In,IN,,,Brose Bamberg,0
BAM       ,,6,07:31,3,38,"ZISIS, NIKOS",PABN      ,Out,OUT,,,Brose Bamberg,0
