CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
MIL       ,,25,09:45,1,3,"THEODORE, JORDAN",P007946   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
MAL       ,,16,09:43,1,4,"NEDOVIC, NEMANJA",P000848   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,23,09:42,1,5,"BROOKS, JEFF",P004117   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
MIL       ,,25,09:42,1,6,"THEODORE, JORDAN",P007946   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
MAL       ,,23,09:42,1,7,"BROOKS, JEFF",P004117   ,Free Throw In (1/1 -  1 pt),FTM,,1.0,Unicaja Malaga,0
MAL       ,,16,09:42,1,8,"NEDOVIC, NEMANJA",P000848   ,Assist (1),AS,,,Unicaja Malaga,0
MAL       ,,23,09:42,1,9,"BROOKS, JEFF",P004117   ,Free Throw In (2/2 -  2 pt),FTM,,2.0,Unicaja Malaga,0
MIL       ,,5,09:37,1,10,"MICOV, VLADIMIR",P000529   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
MAL       ,,23,09:37,1,11,"BROOKS, JEFF",P004117   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,23,09:20,1,12,"BROOKS, JEFF",P004117   ,Two Pointer (1/1 -  4 pt),2FGM,,4.0,Unicaja Malaga,0
MAL       ,,12,09:18,1,13,"MILOSAVLJEVIC, DRAGAN",P002822   ,Assist (1),AS,,,Unicaja Malaga,0
MIL       ,,19,09:06,1,14,"KUZMINSKAS, MINDAUGAS",P002008   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
MAL       ,,23,09:04,1,15,"BROOKS, JEFF",P004117   ,Def Rebound (2),D,,,Unicaja Malaga,0
MAL       ,,16,08:51,2,17,"NEDOVIC, NEMANJA",P000848   ,Turnover (1),TO,,,Unicaja Malaga,0
MIL       ,,0,08:33,2,18,"GOUDELOCK, ANDREW",P004903   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,4.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,08:31,2,19,"KUZMINSKAS, MINDAUGAS",P002008   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
MAL       ,,16,08:08,2,20,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
MIL       ,,25,08:06,2,21,"THEODORE, JORDAN",P007946   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,08:03,2,22,"GOUDELOCK, ANDREW",P004903   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
MAL       ,,12,08:03,2,23,"MILOSAVLJEVIC, DRAGAN",P002822   ,Foul (1),CM,,,Unicaja Malaga,0
MIL       ,,25,07:51,3,25,"THEODORE, JORDAN",P007946   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,4.0,AX Armani Exchange Olimpia Milan,0
MAL       ,,12,07:31,3,26,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
MIL       ,,,07:30,3,27,,          ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,07:19,3,28,"TARCZEWSKI, KALEB",P008004   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,4.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,07:16,3,29,"KUZMINSKAS, MINDAUGAS",P002008   ,Assist (2),AS,,,AX Armani Exchange Olimpia Milan,0
MAL       ,,12,07:07,3,30,"MILOSAVLJEVIC, DRAGAN",P002822   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
MIL       ,,5,07:07,3,31,"MICOV, VLADIMIR",P000529   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
MAL       ,,16,07:00,3,32,"NEDOVIC, NEMANJA",P000848   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
MIL       ,,15,06:58,4,34,"TARCZEWSKI, KALEB",P008004   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
