CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
OLY       ,,11,09:59,1,3,"MILUTINOV, NIKOLA",P003941   ,Foul (1),CM,,,Olympiacos Piraeus,0
TEL       ,,45,09:59,1,4,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0
TEL       ,,45,09:46,1,5,"PARAKHOUSKI, ARTSIOM",P003034   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
OLY       ,,17,09:44,1,6,"MANTZARIS, VANGELIS",P003537   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,17,09:27,1,7,"MANTZARIS, VANGELIS",P003537   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Olympiacos Piraeus,0
OLY       ,,7,09:15,1,8,"SPANOULIS, VASSILIS",PJUO      ,Foul (1),CM,,,Olympiacos Piraeus,0
TEL       ,,7,09:15,1,9,"KANE, DEANDRE",P005781   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0
TEL       ,,5,09:07,1,10,"ROLL, MICHAEL",P004974   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Maccabi FOX Tel Aviv,0
TEL       ,,55,09:05,1,11,"JACKSON, PIERRE",P005112   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0
TEL       ,,7,08:56,2,13,"KANE, DEANDRE",P005781   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0
OLY       ,,7,08:56,2,14,"SPANOULIS, VASSILIS",PJUO      ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
OLY       ,,15,08:45,2,15,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Olympiacos Piraeus,0
TEL       ,,5,08:43,2,16,"ROLL, MICHAEL",P004974   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,1,08:36,2,17,"THOMAS, DESHAUN",P005094   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,5.0,Maccabi FOX Tel Aviv,0
TEL       ,,5,08:33,2,18,"ROLL, MICHAEL",P004974   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0
OLY       ,,15,08:17,2,19,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0
TEL       ,,45,08:15,2,20,"PARAKHOUSKI, ARTSIOM",P003034   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,5,08:05,2,21,"ROLL, MICHAEL",P004974   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0
OLY       ,,15,07:50,3,23,"PRINTEZIS, GEORGIOS",PAMM      ,Two Pointer (1/2 -  2 pt),2FGM,4.0,5.0,Olympiacos Piraeus,0
OLY       ,,7,07:48,3,24,"SPANOULIS, VASSILIS",PJUO      ,Assist (1),AS,,,Olympiacos Piraeus,0
TEL       ,,45,07:36,3,25,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/2 -  2 pt),2FGM,4.0,7.0,Maccabi FOX Tel Aviv,0
TEL       ,,55,07:35,3,26,"JACKSON, PIERRE",P005112   ,Assist (2),AS,,,Maccabi FOX Tel Aviv,0
OLY       ,,16,07:16,3,27,"PAPANIKOLAOU, KOSTAS",P001255   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0
TEL       ,,1,07:14,3,28,"THOMAS, DESHAUN",P005094   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,55,07:07,3,29,"JACKSON, PIERRE",P005112   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
OLY       ,,11,07:05,3,30,"MILUTINOV, NIKOLA",P003941   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,7,06:55,4,32,"SPANOULIS, VASSILIS",PJUO      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Olympiacos Piraeus,0
OLY       ,,7,06:55,4,33,"SPANOULIS, VASSILIS",PJUO      ,Shot Rejected (1),AG,,,Olympiacos Piraeus,0
TEL       ,,5,06:55,4,34,"ROLL, MICHAEL",P004974   ,Block (1),FV,,,Maccabi FOX Tel Aviv,0
OLY       ,,,06:55,4,35,,          ,Off Rebound (1),O,,,Olympiacos Piraeus,0
TEL       ,,1,06:47,4,36,"THOMAS, DESHAUN",P005094   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0
OLY       ,,15,06:47,4,37,"PRINTEZIS, GEORGIOS",PAMM      ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
OLY       ,,11,06:37,4,38,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,7.0,Olympiacos Piraeus,0
OLY       ,,16,06:35,4,39,"PAPANIKOLAOU, KOSTAS",P001255   ,Assist (1),AS,,,Olympiacos Piraeus,0
