CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
PAN       ,,12,09:42,1,3,"DENMON, MARCUS",P004195   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Panathinaikos Superfoods Athens,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
PAN       ,,43,09:40,1,4,"ANTETOKOUNMPO, THANASIS",P007865   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
ULK       ,,23,09:31,1,5,"GUDURIC, MARKO",P004004   ,Turnover (1),TO,,,FB Dogus,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
PAN       ,,43,09:31,1,6,"ANTETOKOUNMPO, THANASIS",P007865   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,09:31,1,7,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
ULK       ,,,09:31,1,8,,          ,Def Rebound (1),D,,,FB Dogus,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
ULK       ,,16,08:54,2,10,"SLOUKAS, KOSTAS",P001926   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,FB Dogus,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
ULK       ,,4,08:51,2,11,"MELLI, NICOLO",P002849   ,Assist (1),AS,,,FB Dogus,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
PAN       ,,14,08:29,2,12,"GIST, JAMES",P002980   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
ULK       ,,23,08:28,2,13,"GUDURIC, MARKO",P004004   ,Foul (1),CM,,,FB Dogus,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
PAN       ,,0,08:28,2,14,"SINGLETON, CHRIS",P006614   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
PAN       ,,,08:28,2,15,,          ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
ULK       ,,23,08:16,2,16,"GUDURIC, MARKO",P004004   ,Foul (2),CM,,,FB Dogus,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
PAN       ,,14,08:16,2,17,"GIST, JAMES",P002980   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
PAN       ,,14,08:16,2,18,"GIST, JAMES",P002980   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Panathinaikos Superfoods Athens,0,FB Dogus,ULK,Panathinaikos Superfoods Athens,PAN
