CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
IST       ,,23,09:47,1,3,"DOUGLAS, TONEY",P008152   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Anadolu Efes Istanbul,0
IST       ,,42,09:47,1,4,"DUNSTON, BRYANT",P003048   ,Foul (1),CM,,,Anadolu Efes Istanbul,0
ULK       ,,1,09:47,1,5,"THOMPSON, JASON",P007998   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,70,09:31,1,6,"DATOME, LUIGI",PCCD      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,09:26,1,7,"VESELY, JAN",P000925   ,Off Rebound (1),O,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,09:24,1,8,"VESELY, JAN",P000925   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0
IST       ,,23,09:23,1,9,"DOUGLAS, TONEY",P008152   ,Steal (1),ST,,,Anadolu Efes Istanbul,0
IST       ,,30,09:22,1,10,"DRAGIC, ZORAN",P003514   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Anadolu Efes Istanbul,0
IST       ,,12,09:20,1,11,"MOTUM, BROCK",P006599   ,Off Rebound (1),O,,,Anadolu Efes Istanbul,0
IST       ,,23,09:11,1,12,"DOUGLAS, TONEY",P008152   ,Turnover (1),TO,,,Anadolu Efes Istanbul,0
ULK       ,,70,09:10,1,13,"DATOME, LUIGI",PCCD      ,Steal (1),ST,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,08:59,2,15,"VESELY, JAN",P000925   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
IST       ,,42,08:57,2,16,"DUNSTON, BRYANT",P003048   ,Def Rebound (1),D,,,Anadolu Efes Istanbul,0
IST       ,,30,08:34,2,17,"DRAGIC, ZORAN",P003514   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Anadolu Efes Istanbul,0
IST       ,,12,08:32,2,18,"MOTUM, BROCK",P006599   ,Off Rebound (2),O,,,Anadolu Efes Istanbul,0
IST       ,,12,08:32,2,19,"MOTUM, BROCK",P006599   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,,Anadolu Efes Istanbul,0
IST       ,,12,08:32,2,20,"MOTUM, BROCK",P006599   ,Foul Drawn (1),RV,,,Anadolu Efes Istanbul,0
ULK       ,,70,08:32,2,21,"DATOME, LUIGI",PCCD      ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
IST       ,,12,08:32,2,22,"MOTUM, BROCK",P006599   ,Free Throw In (1/1 -  3 pt),FTM,5.0,,Anadolu Efes Istanbul,0
ULK       ,,16,08:13,2,23,"SLOUKAS, KOSTAS",P001926   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0
IST       ,,30,08:12,2,24,"DRAGIC, ZORAN",P003514   ,Steal (1),ST,,,Anadolu Efes Istanbul,0
IST       ,,30,08:11,2,25,"DRAGIC, ZORAN",P003514   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,,Anadolu Efes Istanbul,0
IST       ,,30,08:11,2,26,"DRAGIC, ZORAN",P003514   ,Foul Drawn (1),RV,,,Anadolu Efes Istanbul,0
ULK       ,,16,08:11,2,27,"SLOUKAS, KOSTAS",P001926   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
IST       ,,30,08:11,2,28,"DRAGIC, ZORAN",P003514   ,Free Throw In (1/1 -  3 pt),FTM,8.0,,Anadolu Efes Istanbul,0
ULK       ,,11,08:00,2,29,"WANAMAKER, BRAD",P005838   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Fenerbahce Dogus Istanbul,0
IST       ,,,07:59,3,31,,          ,Def Rebound (1),D,,,Anadolu Efes Istanbul,0
IST       ,,23,07:44,3,32,"DOUGLAS, TONEY",P008152   ,Two Pointer (2/2 -  4 pt),2FGM,10.0,,Anadolu Efes Istanbul,0
ULK       ,,,07:44,3,33,,          ,Time Out (1),TOUT,,,Fenerbahce Dogus Istanbul,0
          ,,,07:44,3,34,,          ,TV Time Out (1),TOUT_TV,,,,0
ULK       ,,16,07:25,3,35,"SLOUKAS, KOSTAS",P001926   ,Two Pointer (1/1 -  2 pt),2FGM,10.0,2.0,Fenerbahce Dogus Istanbul,0
IST       ,,44,07:04,3,36,"SIMON, KRUNOSLAV",PCPR      ,Turnover (1),TO,,,Anadolu Efes Istanbul,0
ULK       ,,16,07:03,3,37,"SLOUKAS, KOSTAS",P001926   ,Steal (1),ST,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,06:57,4,39,"VESELY, JAN",P000925   ,Two Pointer (1/2 -  2 pt),2FGM,10.0,4.0,Fenerbahce Dogus Istanbul,0
ULK       ,,1,06:55,4,40,"THOMPSON, JASON",P007998   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
