CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,63,,          ,Begin Period,BP,,,,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,6,09:45,1,64,"SOLUADE, MO",P004479   ,Foul (1),CM,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,1,09:45,1,65,"CAUSEUR, FABIEN",P001392   ,Foul Drawn (1),RV,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,9,09:34,1,66,"DIAZ, ALBERTO",P004213   ,Foul (1),CM,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,22,09:34,1,67,"TAVARES, WALTER",P005791   ,Foul Drawn (1),RV,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,1,09:19,1,68,"CAUSEUR, FABIEN",P001392   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,16,09:16,1,69,"YUSTA, SANTI",P005368   ,Off Rebound (1),O,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,33,09:03,1,70,"THOMPKINS, TREY",P005836   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,11,09:00,2,72,"CAMPAZZO, FACUNDO",P005928   ,Assist (1),AS,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,9,08:39,2,73,"DIAZ, ALBERTO",P004213   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,22,08:37,2,74,"TAVARES, WALTER",P005791   ,Def Rebound (1),D,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,11,08:27,2,75,"CAMPAZZO, FACUNDO",P005928   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,,08:27,2,76,,          ,Def Rebound (1),D,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,23,08:10,2,77,"BROOKS, JEFF",P004117   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,11,08:05,2,78,"CAMPAZZO, FACUNDO",P005928   ,Def Rebound (1),D,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,22,07:56,3,80,"TAVARES, WALTER",P005791   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,17,07:56,3,81,"SHERMADINI, GIORGI",P001386   ,Def Rebound (1),D,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,21,07:40,3,82,"WACZYNSKI, ADAM",PLDX      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,17,07:40,3,83,"SHERMADINI, GIORGI",P001386   ,Off Rebound (1),O,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,17,07:40,3,84,"SHERMADINI, GIORGI",P001386   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,17,07:40,3,85,"SHERMADINI, GIORGI",P001386   ,Shot Rejected (1),AG,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,22,07:40,3,86,"TAVARES, WALTER",P005791   ,Block (1),FV,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,,07:40,3,87,,          ,Def Rebound (2),D,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,16,06:59,4,89,"YUSTA, SANTI",P005368   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,9,06:57,4,90,"DIAZ, ALBERTO",P004213   ,Def Rebound (1),D,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,21,06:51,4,91,"WACZYNSKI, ADAM",PLDX      ,Three Pointer (1/2 -  3 pt),3FGM,3.0,3.0,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,9,06:28,4,92,"DIAZ, ALBERTO",P004213   ,Assist (1),AS,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,1,06:03,4,95,"CAUSEUR, FABIEN",P001392   ,Turnover (1),TO,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,9,06:01,4,96,"DIAZ, ALBERTO",P004213   ,Steal (1),ST,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,23,05:59,5,98,"BROOKS, JEFF",P004117   ,Three Pointer (1/1 -  3 pt),3FGM,6.0,3.0,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,6,05:59,5,99,"SOLUADE, MO",P004479   ,Assist (1),AS,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,16,05:52,5,100,"YUSTA, SANTI",P005368   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,17,05:48,5,101,"SHERMADINI, GIORGI",P001386   ,Def Rebound (2),D,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,23,05:45,5,102,"BROOKS, JEFF",P004117   ,Three Pointer (2/2 -  6 pt),3FGM,9.0,3.0,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,9,05:43,5,103,"DIAZ, ALBERTO",P004213   ,Assist (2),AS,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,1,05:32,5,104,"CAUSEUR, FABIEN",P001392   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,21,05:29,5,105,"WACZYNSKI, ADAM",PLDX      ,Def Rebound (1),D,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,16,05:24,5,106,"YUSTA, SANTI",P005368   ,Foul (1),CM,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,21,05:24,5,107,"WACZYNSKI, ADAM",PLDX      ,Foul Drawn (1),RV,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,6,05:15,5,108,"SOLUADE, MO",P004479   ,Turnover (1),TO,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAD       ,,1,05:10,5,109,"CAUSEUR, FABIEN",P001392   ,Steal (1),ST,,,Real Madrid,0,Unicaja Malaga,MAL,Real Madrid,MAD
MAL       ,,9,05:10,5,110,"DIAZ, ALBERTO",P004213   ,Foul (2),CM,,,Unicaja Malaga,0,Unicaja Malaga,MAL,Real Madrid,MAD
