CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,25,,          ,Begin Period,BP,,,,0
PAN       ,,43,09:50,1,26,"ANTETOKOUNMPO, THANASIS",P007865   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Panathinaikos Superfoods Athens,0
CSK       ,,22,09:29,1,27,"HIGGINS, CORY",P006450   ,Turnover (1),TO,,,CSKA Moscow,0
PAN       ,,33,09:15,1,28,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,22,09:13,1,29,"HIGGINS, CORY",P006450   ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,21,08:56,2,31,"CLYBURN, WILL",P004888   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
PAN       ,,43,08:53,2,32,"ANTETOKOUNMPO, THANASIS",P007865   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,08:46,2,33,"SINGLETON, CHRIS",P006614   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,,Panathinaikos Superfoods Athens,0
PAN       ,,33,08:45,2,34,"CALATHES, NICK",P001932   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
CSK       ,,41,08:25,2,35,"KURBANOV, NIKITA",PJLX      ,Two Pointer (1/1 -  2 pt),2FGM,5.0,2.0,CSKA Moscow,0
PAN       ,,33,08:12,2,36,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,08:10,2,37,"ANTETOKOUNMPO, THANASIS",P007865   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,08:10,2,38,"ANTETOKOUNMPO, THANASIS",P007865   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,2.0,Panathinaikos Superfoods Athens,0
CSK       ,,1,07:52,3,40,"DE COLO, NANDO",P002100   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,4.0,CSKA Moscow,0
PAN       ,,33,07:28,3,41,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,41,07:26,3,42,"KURBANOV, NIKITA",PJLX      ,Def Rebound (1),D,,,CSKA Moscow,0
PAN       ,,22,07:15,3,43,"GABRIEL, KENNY",P005881   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
CSK       ,,42,07:15,3,44,"HINES, KYLE",P002812   ,Foul Drawn (1),RV,,,CSKA Moscow,0
CSK       ,,1,07:08,3,45,"DE COLO, NANDO",P002100   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,CSKA Moscow,0
CSK       ,,42,07:06,3,46,"HINES, KYLE",P002812   ,Off Rebound (1),O,,,CSKA Moscow,0
CSK       ,,42,07:01,3,47,"HINES, KYLE",P002812   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
PAN       ,,0,06:59,4,49,"SINGLETON, CHRIS",P006614   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,06:47,4,50,"SINGLETON, CHRIS",P006614   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,22,06:45,4,51,"GABRIEL, KENNY",P005881   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,3,06:41,4,52,"RIVERS, KC",P002429   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,21,06:38,4,53,"CLYBURN, WILL",P004888   ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,22,06:32,4,54,"HIGGINS, CORY",P006450   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,6.0,CSKA Moscow,0
PAN       ,,3,06:10,4,55,"RIVERS, KC",P002429   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,41,06:09,4,56,"KURBANOV, NIKITA",PJLX      ,Def Rebound (2),D,,,CSKA Moscow,0
CSK       ,,21,05:52,5,58,"CLYBURN, WILL",P004888   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,CSKA Moscow,0
PAN       ,,0,05:50,5,59,"SINGLETON, CHRIS",P006614   ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,05:43,5,60,"ANTETOKOUNMPO, THANASIS",P007865   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,3,05:41,5,61,"RIVERS, KC",P002429   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
CSK       ,,41,05:32,5,62,"KURBANOV, NIKITA",PJLX      ,Foul (1),CM,,,CSKA Moscow,0
PAN       ,,0,05:32,5,63,"SINGLETON, CHRIS",P006614   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,05:32,5,64,"GIST, JAMES",P002980   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,22,05:32,5,65,"GABRIEL, KENNY",P005881   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,05:32,5,66,"SINGLETON, CHRIS",P006614   ,Free Throw In (1/1 -  4 pt),FTM,8.0,6.0,Panathinaikos Superfoods Athens,0
PAN       ,,33,05:32,5,67,"CALATHES, NICK",P001932   ,Assist (2),AS,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,05:32,5,68,"SINGLETON, CHRIS",P006614   ,Free Throw In (2/2 -  5 pt),FTM,9.0,6.0,Panathinaikos Superfoods Athens,0
PAN       ,,14,05:21,5,69,"GIST, JAMES",P002980   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
CSK       ,,1,05:21,5,70,"DE COLO, NANDO",P002100   ,Foul Drawn (1),RV,,,CSKA Moscow,0
CSK       ,,22,05:13,5,71,"HIGGINS, CORY",P006450   ,Turnover (2),TO,,,CSKA Moscow,0
PAN       ,,14,05:11,5,72,"GIST, JAMES",P002980   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0
CSK       ,,1,05:10,5,73,"DE COLO, NANDO",P002100   ,Foul (1),CM,,,CSKA Moscow,0
PAN       ,,43,05:10,5,74,"ANTETOKOUNMPO, THANASIS",P007865   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,05:10,5,75,"ANTETOKOUNMPO, THANASIS",P007865   ,Free Throw In (1/1 -  5 pt),FTM,10.0,6.0,Panathinaikos Superfoods Athens,0
PAN       ,,14,05:10,5,76,"GIST, JAMES",P002980   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,05:10,5,77,"ANTETOKOUNMPO, THANASIS",P007865   ,Missed Free Throw (1/2 -  5 pt),FTA,,,Panathinaikos Superfoods Athens,0
CSK       ,,,05:10,5,78,,          ,Def Rebound (1),D,,,CSKA Moscow,0
PAN       ,,33,05:01,5,79,"CALATHES, NICK",P001932   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
CSK       ,,1,05:01,5,80,"DE COLO, NANDO",P002100   ,Foul Drawn (2),RV,,,CSKA Moscow,0
CSK       ,,42,04:58,6,82,"HINES, KYLE",P002812   ,Two Pointer (1/2 -  2 pt),2FGM,10.0,8.0,CSKA Moscow,0
CSK       ,,1,04:58,6,83,"DE COLO, NANDO",P002100   ,Assist (1),AS,,,CSKA Moscow,0
PAN       ,,43,04:39,6,84,"ANTETOKOUNMPO, THANASIS",P007865   ,Two Pointer (3/4 -  7 pt),2FGM,12.0,8.0,Panathinaikos Superfoods Athens,0
PAN       ,,33,04:37,6,85,"CALATHES, NICK",P001932   ,Assist (3),AS,,,Panathinaikos Superfoods Athens,0
CSK       ,,22,04:14,6,86,"HIGGINS, CORY",P006450   ,Two Pointer (2/2 -  4 pt),2FGM,12.0,10.0,CSKA Moscow,0
PAN       ,,3,03:48,7,88,"RIVERS, KC",P002429   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,22,03:46,7,89,"HIGGINS, CORY",P006450   ,Def Rebound (2),D,,,CSKA Moscow,0
CSK       ,,41,03:33,7,90,"KURBANOV, NIKITA",PJLX      ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,CSKA Moscow,0
PAN       ,,3,03:30,7,91,"RIVERS, KC",P002429   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,03:22,7,92,"SINGLETON, CHRIS",P006614   ,Two Pointer (1/1 -  7 pt),2FGM,14.0,10.0,Panathinaikos Superfoods Athens,0
PAN       ,,33,03:20,7,93,"CALATHES, NICK",P001932   ,Assist (4),AS,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,03:09,7,94,"SINGLETON, CHRIS",P006614   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
CSK       ,,42,03:09,7,95,"HINES, KYLE",P002812   ,Foul Drawn (2),RV,,,CSKA Moscow,0
          ,,,03:09,7,96,,          ,TV Time Out (1),TOUT_TV,,,,0
PAN       ,,3,03:09,7,97,"RIVERS, KC",P002429   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
PAN       ,,11,03:09,7,98,"PAPPAS, NIKOS",P000464   ,In,IN,,,Panathinaikos Superfoods Athens,0
CSK       ,,1,03:09,7,99,"DE COLO, NANDO",P002100   ,Out,OUT,,,CSKA Moscow,0
CSK       ,,13,03:09,7,100,"RODRIGUEZ, SERGIO",PCVM      ,In,IN,,,CSKA Moscow,0
CSK       ,,41,02:55,8,102,"KURBANOV, NIKITA",PJLX      ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,CSKA Moscow,0
PAN       ,,14,02:53,8,103,"GIST, JAMES",P002980   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,02:50,8,104,"ANTETOKOUNMPO, THANASIS",P007865   ,Two Pointer (4/5 -  9 pt),2FGM,16.0,10.0,Panathinaikos Superfoods Athens,0
PAN       ,,33,02:46,8,105,"CALATHES, NICK",P001932   ,Assist (5),AS,,,Panathinaikos Superfoods Athens,0
CSK       ,,42,02:31,8,106,"HINES, KYLE",P002812   ,Two Pointer (2/3 -  4 pt),2FGM,16.0,12.0,CSKA Moscow,0
CSK       ,,41,02:29,8,107,"KURBANOV, NIKITA",PJLX      ,Assist (1),AS,,,CSKA Moscow,0
CSK       ,,42,02:29,8,108,"HINES, KYLE",P002812   ,Foul (1),CM,,,CSKA Moscow,0
PAN       ,,33,02:29,8,109,"CALATHES, NICK",P001932   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
CSK       ,,11,02:18,8,110,"ANTONOV, SEMEN",P004941   ,In,IN,,,CSKA Moscow,0
CSK       ,,22,02:18,8,111,"HIGGINS, CORY",P006450   ,Out,OUT,,,CSKA Moscow,0
PAN       ,,33,02:05,8,112,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,21,02:04,8,113,"CLYBURN, WILL",P004888   ,Def Rebound (2),D,,,CSKA Moscow,0
CSK       ,,13,01:48,9,115,"RODRIGUEZ, SERGIO",PCVM      ,Three Pointer (1/1 -  3 pt),3FGM,16.0,15.0,CSKA Moscow,0
PAN       ,,11,01:25,9,116,"PAPPAS, NIKOS",P000464   ,Two Pointer (1/1 -  2 pt),2FGM,18.0,15.0,Panathinaikos Superfoods Athens,0
CSK       ,,41,01:07,9,117,"KURBANOV, NIKITA",PJLX      ,Turnover (1),TO,,,CSKA Moscow,0
PAN       ,,0,01:07,9,118,"SINGLETON, CHRIS",P006614   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
PAN       ,,23,01:07,9,119,"AUGUSTE, ZACH",P007948   ,In,IN,,,Panathinaikos Superfoods Athens,0
CSK       ,,22,01:07,9,120,"HIGGINS, CORY",P006450   ,In,IN,,,CSKA Moscow,0
CSK       ,,41,01:07,9,121,"KURBANOV, NIKITA",PJLX      ,Out,OUT,,,CSKA Moscow,0
CSK       ,,13,00:48,10,123,"RODRIGUEZ, SERGIO",PCVM      ,Foul (1),CM,,,CSKA Moscow,0
PAN       ,,11,00:48,10,124,"PAPPAS, NIKOS",P000464   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,00:38,10,125,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/3 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,42,00:36,10,126,"HINES, KYLE",P002812   ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,13,00:28,10,127,"RODRIGUEZ, SERGIO",PCVM      ,Turnover (1),TO,,,CSKA Moscow,0
PAN       ,,14,00:27,10,128,"GIST, JAMES",P002980   ,Steal (2),ST,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,00:23,10,129,"CALATHES, NICK",P001932   ,Two Pointer (1/3 -  2 pt),2FGM,20.0,15.0,Panathinaikos Superfoods Athens,0
PAN       ,,14,00:21,10,130,"GIST, JAMES",P002980   ,Assist (2),AS,,,Panathinaikos Superfoods Athens,0
CSK       ,,11,00:00,10,131,"ANTONOV, SEMEN",P004941   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,CSKA Moscow,0
          ,,,,11,133,,          ,End Period,EP,,,,0
          ,,,,11,136,,          ,Begin Period,BP,,,,0
CSK       ,,1,10:00,11,134,"DE COLO, NANDO",P002100   ,In,IN,,,CSKA Moscow,0
CSK       ,,22,10:00,11,135,"HIGGINS, CORY",P006450   ,Out,OUT,,,CSKA Moscow,0
PAN       ,,43,09:45,11,137,"ANTETOKOUNMPO, THANASIS",P007865   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
CSK       ,,21,09:45,11,138,"CLYBURN, WILL",P004888   ,Foul Drawn (1),RV,,,CSKA Moscow,0
PAN       ,,0,09:45,11,139,"SINGLETON, CHRIS",P006614   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,09:45,11,140,"ANTETOKOUNMPO, THANASIS",P007865   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
CSK       ,,42,09:45,11,141,"HINES, KYLE",P002812   ,Out,OUT,,,CSKA Moscow,0
CSK       ,,44,09:45,11,142,"HUNTER, OTHELLO",P005160   ,In,IN,,,CSKA Moscow,0
CSK       ,,21,09:45,11,143,"CLYBURN, WILL",P004888   ,Free Throw In (1/1 -  1 pt),FTM,20.0,16.0,CSKA Moscow,0
CSK       ,,21,09:45,11,144,"CLYBURN, WILL",P004888   ,Free Throw In (2/2 -  2 pt),FTM,20.0,17.0,CSKA Moscow,0
PAN       ,,14,09:30,11,145,"GIST, JAMES",P002980   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,11,09:29,11,146,"ANTONOV, SEMEN",P004941   ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,11,09:27,11,147,"ANTONOV, SEMEN",P004941   ,Turnover (1),TO,,,CSKA Moscow,0
PAN       ,,23,09:26,11,148,"AUGUSTE, ZACH",P007948   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0
PAN       ,,11,09:20,11,149,"PAPPAS, NIKOS",P000464   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,11,09:18,11,150,"ANTONOV, SEMEN",P004941   ,Def Rebound (2),D,,,CSKA Moscow,0
CSK       ,,44,09:12,11,151,"HUNTER, OTHELLO",P005160   ,Two Pointer (1/1 -  2 pt),2FGM,20.0,19.0,CSKA Moscow,0
CSK       ,,13,09:10,11,152,"RODRIGUEZ, SERGIO",PCVM      ,Assist (1),AS,,,CSKA Moscow,0
PAN       ,,23,08:59,12,154,"AUGUSTE, ZACH",P007948   ,Two Pointer (1/1 -  2 pt),2FGM,22.0,19.0,Panathinaikos Superfoods Athens,0
PAN       ,,33,08:57,12,155,"CALATHES, NICK",P001932   ,Assist (6),AS,,,Panathinaikos Superfoods Athens,0
CSK       ,,21,08:32,12,156,"CLYBURN, WILL",P004888   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,CSKA Moscow,0
PAN       ,,33,08:30,12,157,"CALATHES, NICK",P001932   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,08:23,12,158,"SINGLETON, CHRIS",P006614   ,Missed Three Pointer (1/3 -  7 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,23,08:21,12,159,"AUGUSTE, ZACH",P007948   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
CSK       ,,1,08:11,12,160,"DE COLO, NANDO",P002100   ,Foul (2),CM,,,CSKA Moscow,0
PAN       ,,11,08:11,12,161,"PAPPAS, NIKOS",P000464   ,Foul Drawn (2),RV,,,Panathinaikos Superfoods Athens,0
CSK       ,,11,08:04,12,162,"ANTONOV, SEMEN",P004941   ,Foul (1),CM,,,CSKA Moscow,0
PAN       ,,23,08:04,12,163,"AUGUSTE, ZACH",P007948   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
CSK       ,,,08:04,12,164,,          ,Time Out (1),TOUT,,,CSKA Moscow,0
PAN       ,,23,08:04,12,165,"AUGUSTE, ZACH",P007948   ,Missed Free Throw (0/1 -  2 pt),FTA,,,Panathinaikos Superfoods Athens,0
PAN       ,,23,08:04,12,166,"AUGUSTE, ZACH",P007948   ,Missed Free Throw (0/2 -  2 pt),FTA,,,Panathinaikos Superfoods Athens,0
CSK       ,,13,08:04,12,167,"RODRIGUEZ, SERGIO",PCVM      ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,13,07:38,13,169,"RODRIGUEZ, SERGIO",PCVM      ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,CSKA Moscow,0
PAN       ,,23,07:36,13,170,"AUGUSTE, ZACH",P007948   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,11,07:23,13,171,"PAPPAS, NIKOS",P000464   ,Missed Three Pointer (0/2 -  2 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,07:23,13,172,"GIST, JAMES",P002980   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,07:23,13,173,"GIST, JAMES",P002980   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,,07:23,13,175,,          ,Def Rebound (2),D,,,CSKA Moscow,0
CSK       ,,44,07:01,13,176,"HUNTER, OTHELLO",P005160   ,Two Pointer (2/2 -  4 pt),2FGM,22.0,21.0,CSKA Moscow,0
CSK       ,,13,06:59,14,178,"RODRIGUEZ, SERGIO",PCVM      ,Assist (2),AS,,,CSKA Moscow,0
PAN       ,,12,06:59,14,179,"DENMON, MARCUS",P004195   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,06:59,14,180,"CALATHES, NICK",P001932   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
CSK       ,,11,06:44,14,181,"ANTONOV, SEMEN",P004941   ,Foul (2),CM,,,CSKA Moscow,0
