CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,14,,          ,Begin Period,BP,,,,0
TEL       ,,1,09:37,1,15,"THOMAS, DESHAUN",P005094   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
RED       ,,10,09:35,1,16,"LAZIC, BRANKO",PLUO      ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,22,09:23,1,17,"ROCHESTIE, TAYLOR",P002972   ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0
TEL       ,,1,09:20,1,18,"THOMAS, DESHAUN",P005094   ,Steal (1),ST,,,Maccabi FOX Tel Aviv,0
TEL       ,,45,09:10,1,19,"PARAKHOUSKI, ARTSIOM",P003034   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
RED       ,,10,09:08,1,20,"LAZIC, BRANKO",PLUO      ,Def Rebound (2),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,26,08:53,2,22,"LESSORT, MATHIAS",P003842   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Crvena Zvezda mts Belgrade,0
RED       ,,10,08:51,2,23,"LAZIC, BRANKO",PLUO      ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0
TEL       ,,55,08:43,2,24,"JACKSON, PIERRE",P005112   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0
RED       ,,10,08:43,2,25,"LAZIC, BRANKO",PLUO      ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
TEL       ,,1,08:32,2,26,"THOMAS, DESHAUN",P005094   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
TEL       ,,,08:32,2,27,,          ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0
TEL       ,,55,08:17,2,28,"JACKSON, PIERRE",P005112   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0
RED       ,,10,08:15,2,29,"LAZIC, BRANKO",PLUO      ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0
RED       ,,10,08:13,2,30,"LAZIC, BRANKO",PLUO      ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0
TEL       ,,1,08:11,2,31,"THOMAS, DESHAUN",P005094   ,Steal (2),ST,,,Maccabi FOX Tel Aviv,0
TEL       ,,1,08:09,2,32,"THOMAS, DESHAUN",P005094   ,Missed Two Pointer (0/3 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
RED       ,,6,08:07,2,33,"DANGUBIC, NEMANJA",P005942   ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,22,08:04,2,34,"ROCHESTIE, TAYLOR",P002972   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
TEL       ,,43,08:00,2,35,"BOLDEN, JONAH",P007988   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,55,07:49,3,37,"JACKSON, PIERRE",P005112   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Maccabi FOX Tel Aviv,0
RED       ,,10,07:30,3,38,"LAZIC, BRANKO",PLUO      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0
TEL       ,,43,07:28,3,39,"BOLDEN, JONAH",P007988   ,Def Rebound (2),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,1,07:18,3,40,"THOMAS, DESHAUN",P005094   ,Missed Two Pointer (0/4 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
TEL       ,,45,07:16,3,41,"PARAKHOUSKI, ARTSIOM",P003034   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0
TEL       ,,45,07:14,3,42,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/2 -  2 pt),2FGM,5.0,2.0,Maccabi FOX Tel Aviv,0
RED       ,,51,07:02,3,43,"BJELICA, MILKO",PCHX      ,Three Pointer (1/1 -  3 pt),3FGM,5.0,5.0,Crvena Zvezda mts Belgrade,0
RED       ,,22,06:58,4,45,"ROCHESTIE, TAYLOR",P002972   ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0
TEL       ,,45,06:43,4,46,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (2/3 -  4 pt),2FGM,7.0,5.0,Maccabi FOX Tel Aviv,0
TEL       ,,43,06:41,4,47,"BOLDEN, JONAH",P007988   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0
RED       ,,22,06:32,4,48,"ROCHESTIE, TAYLOR",P002972   ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0
TEL       ,,45,06:32,4,49,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0
RED       ,,6,06:23,4,50,"DANGUBIC, NEMANJA",P005942   ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0
TEL       ,,5,06:21,4,51,"ROLL, MICHAEL",P004974   ,Steal (1),ST,,,Maccabi FOX Tel Aviv,0
TEL       ,,5,06:20,4,52,"ROLL, MICHAEL",P004974   ,Two Pointer (1/1 -  2 pt),2FGM,9.0,5.0,Maccabi FOX Tel Aviv,0
TEL       ,,5,06:20,4,53,"ROLL, MICHAEL",P004974   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0
RED       ,,22,06:20,4,54,"ROCHESTIE, TAYLOR",P002972   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
TEL       ,,5,06:20,4,55,"ROLL, MICHAEL",P004974   ,Free Throw In (1/1 -  3 pt),FTM,10.0,5.0,Maccabi FOX Tel Aviv,0
RED       ,,51,06:04,4,56,"BJELICA, MILKO",PCHX      ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
RED       ,,51,06:04,4,57,"BJELICA, MILKO",PCHX      ,Shot Rejected (1),AG,,,Crvena Zvezda mts Belgrade,0
TEL       ,,43,06:01,4,58,"BOLDEN, JONAH",P007988   ,Block (1),FV,,,Maccabi FOX Tel Aviv,0
TEL       ,,1,06:00,4,59,"THOMAS, DESHAUN",P005094   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,5,05:56,5,61,"ROLL, MICHAEL",P004974   ,Two Pointer (2/2 -  5 pt),2FGM,12.0,5.0,Maccabi FOX Tel Aviv,0
RED       ,,,05:54,5,62,,          ,Time Out (1),TOUT,,,Crvena Zvezda mts Belgrade,0
RED       ,,22,05:54,5,63,"ROCHESTIE, TAYLOR",P002972   ,Out,OUT,,,Crvena Zvezda mts Belgrade,0
RED       ,,31,05:54,5,64,"ENNIS, DYLAN",P008066   ,In,IN,,,Crvena Zvezda mts Belgrade,0
TEL       ,,43,05:42,5,65,"BOLDEN, JONAH",P007988   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0
RED       ,,51,05:42,5,66,"BJELICA, MILKO",PCHX      ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0
RED       ,,51,05:29,5,67,"BJELICA, MILKO",PCHX      ,Two Pointer (1/2 -  5 pt),2FGM,12.0,7.0,Crvena Zvezda mts Belgrade,0
RED       ,,51,05:29,5,68,"BJELICA, MILKO",PCHX      ,Foul Drawn (2),RV,,,Crvena Zvezda mts Belgrade,0
TEL       ,,1,05:29,5,69,"THOMAS, DESHAUN",P005094   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0
TEL       ,,9,05:29,5,70,"TYUS, ALEX",P004119   ,In,IN,,,Maccabi FOX Tel Aviv,0
TEL       ,,45,05:29,5,71,"PARAKHOUSKI, ARTSIOM",P003034   ,Out,OUT,,,Maccabi FOX Tel Aviv,0
RED       ,,51,05:29,5,72,"BJELICA, MILKO",PCHX      ,Missed Free Throw (0/1 -  5 pt),FTA,,,Crvena Zvezda mts Belgrade,0
TEL       ,,43,05:29,5,73,"BOLDEN, JONAH",P007988   ,Def Rebound (3),D,,,Maccabi FOX Tel Aviv,0
RED       ,,6,05:20,5,74,"DANGUBIC, NEMANJA",P005942   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
TEL       ,,55,05:20,5,75,"JACKSON, PIERRE",P005112   ,Foul Drawn (2),RV,,,Maccabi FOX Tel Aviv,0
TEL       ,,9,05:09,5,76,"TYUS, ALEX",P004119   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
RED       ,,6,05:06,5,77,"DANGUBIC, NEMANJA",P005942   ,Def Rebound (2),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,31,04:51,6,79,"ENNIS, DYLAN",P008066   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
TEL       ,,9,04:49,6,80,"TYUS, ALEX",P004119   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,55,04:37,6,81,"JACKSON, PIERRE",P005112   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Maccabi FOX Tel Aviv,0
RED       ,,26,04:34,6,82,"LESSORT, MATHIAS",P003842   ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,31,04:22,6,83,"ENNIS, DYLAN",P008066   ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0
TEL       ,,55,04:22,6,84,"JACKSON, PIERRE",P005112   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0
TEL       ,,30,04:22,6,85,"COLE, NORRIS",P007989   ,In,IN,,,Maccabi FOX Tel Aviv,0
TEL       ,,55,04:22,6,86,"JACKSON, PIERRE",P005112   ,Out,OUT,,,Maccabi FOX Tel Aviv,0
RED       ,,10,04:22,6,87,"LAZIC, BRANKO",PLUO      ,Out,OUT,,,Crvena Zvezda mts Belgrade,0
RED       ,,14,04:22,6,88,"FELDEINE, JAMES",P005918   ,In,IN,,,Crvena Zvezda mts Belgrade,0
RED       ,,31,04:22,6,89,"ENNIS, DYLAN",P008066   ,Free Throw In (1/1 -  1 pt),FTM,12.0,8.0,Crvena Zvezda mts Belgrade,0
RED       ,,31,04:22,6,90,"ENNIS, DYLAN",P008066   ,Free Throw In (2/2 -  2 pt),FTM,12.0,9.0,Crvena Zvezda mts Belgrade,0
TEL       ,,1,04:05,6,91,"THOMAS, DESHAUN",P005094   ,Missed Two Pointer (0/5 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
RED       ,,6,04:02,6,92,"DANGUBIC, NEMANJA",P005942   ,Def Rebound (3),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,26,03:53,7,94,"LESSORT, MATHIAS",P003842   ,Two Pointer (2/2 -  4 pt),2FGM,12.0,11.0,Crvena Zvezda mts Belgrade,0
TEL       ,,30,03:44,7,95,"COLE, NORRIS",P007989   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
RED       ,,6,03:42,7,96,"DANGUBIC, NEMANJA",P005942   ,Def Rebound (4),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,51,03:30,7,97,"BJELICA, MILKO",PCHX      ,Missed Three Pointer (1/2 -  5 pt),3FGA,,,Crvena Zvezda mts Belgrade,0
TEL       ,,,03:30,7,98,,          ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,1,03:30,7,99,"THOMAS, DESHAUN",P005094   ,Out,OUT,,,Maccabi FOX Tel Aviv,0
