CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
IST       ,,3,09:31,1,3,"MCCOLLUM, ERRICK",P005216   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Anadolu Efes Istanbul,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
PAM       ,,14,09:28,1,4,"DUBLJEVIC, BOJAN",P002742   ,Def Rebound (1),D,,,Valencia Basket,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
IST       ,,2,09:09,1,5,"DOELLMAN, JUSTIN",P001832   ,Foul (1),CM,,,Anadolu Efes Istanbul,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
PAM       ,,14,09:09,1,252,"DUBLJEVIC, BOJAN",P002742   ,Foul Drawn (1),RV,,,Valencia Basket,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
PAM       ,,14,09:09,1,6,"DUBLJEVIC, BOJAN",P002742   ,Free Throw In (1/1 -  1 pt),FTM,1.0,,Valencia Basket,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
PAM       ,,14,09:09,1,7,"DUBLJEVIC, BOJAN",P002742   ,Free Throw In (2/2 -  2 pt),FTM,2.0,,Valencia Basket,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
IST       ,,24,09:01,1,8,"MURIC, EDO",P003515   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Anadolu Efes Istanbul,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
PAM       ,,32,09:01,1,9,"GREEN, ERICK",P005159   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Valencia Basket,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
IST       ,,2,09:01,1,10,"DOELLMAN, JUSTIN",P001832   ,Def Rebound (1),D,,,Anadolu Efes Istanbul,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
IST       ,,44,09:01,1,11,"SIMON, KRUNOSLAV",PCPR      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Anadolu Efes Istanbul,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
PAM       ,,14,09:01,1,12,"DUBLJEVIC, BOJAN",P002742   ,Def Rebound (2),D,,,Valencia Basket,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
PAM       ,,30,09:01,1,13,"SASTRE, JOAN",P002936   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Valencia Basket,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
IST       ,,2,09:01,1,14,"DOELLMAN, JUSTIN",P001832   ,Def Rebound (2),D,,,Anadolu Efes Istanbul,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
IST       ,,44,09:01,1,15,"SIMON, KRUNOSLAV",PCPR      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Anadolu Efes Istanbul,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
PAM       ,,0,09:01,1,16,"THOMAS, WILL",P005856   ,Def Rebound (1),D,,,Valencia Basket,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
PAM       ,,0,09:01,1,17,"THOMAS, WILL",P005856   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,2.0,Valencia Basket,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
PAM       ,,30,09:01,1,18,"SASTRE, JOAN",P002936   ,Assist (1),AS,,,Valencia Basket,0,Valencia Basket,PAM,Anadolu Efes Istanbul,IST
