CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
BAM       ,,2,09:43,1,3,"HICKMAN, RICKY",P004159   ,Turnover (1),TO,,,Brose Bamberg,0
CSK       ,,42,09:30,1,4,"HINES, KYLE",P002812   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
BAM       ,,2,09:27,1,5,"HICKMAN, RICKY",P004159   ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,6,09:21,1,6,"ZISIS, NIKOS",PABN      ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Brose Bamberg,0
CSK       ,,21,08:55,2,8,"CLYBURN, WILL",P004888   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
BAM       ,,3,08:51,2,9,"WRIGHT, DORELL",P008049   ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,3,08:39,2,10,"WRIGHT, DORELL",P008049   ,Three Pointer (1/1 -  3 pt),3FGM,,5.0,Brose Bamberg,0
BAM       ,,21,08:39,2,11,"RUBIT, AUGUSTINE",P006477   ,Assist (1),AS,,,Brose Bamberg,0
CSK       ,,11,08:11,2,13,"ANTONOV, SEMEN",P004941   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,5.0,CSKA Moscow,0
CSK       ,,21,08:11,2,14,"CLYBURN, WILL",P004888   ,Assist (1),AS,,,CSKA Moscow,0
BAM       ,,43,08:11,2,15,"RADOSEVIC, LEON",PLEM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
CSK       ,,41,08:11,2,16,"KURBANOV, NIKITA",PJLX      ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,42,07:50,3,18,"HINES, KYLE",P002812   ,Foul Drawn (1),RV,,,CSKA Moscow,0
