CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
TEL       ,,45,09:36,1,3,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Maccabi FOX Tel Aviv,0
MIL       ,,5,09:24,1,4,"MICOV, VLADIMIR",P000529   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
TEL       ,,5,09:24,1,5,"ROLL, MICHAEL",P004974   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0
MIL       ,,25,09:18,1,6,"THEODORE, JORDAN",P007946   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,09:16,1,7,"GOUDELOCK, ANDREW",P004903   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
TEL       ,,45,09:16,1,8,"PARAKHOUSKI, ARTSIOM",P003034   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0
MIL       ,,15,09:16,1,9,"TARCZEWSKI, KALEB",P008004   ,Steal (1),ST,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,09:16,1,10,"KUZMINSKAS, MINDAUGAS",P002008   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
TEL       ,,43,09:16,1,11,"BOLDEN, JONAH",P007988   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0
MIL       ,,19,08:46,2,13,"KUZMINSKAS, MINDAUGAS",P002008   ,Missed Free Throw (0/1 -  0 pt),FTA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,08:46,2,14,"KUZMINSKAS, MINDAUGAS",P002008   ,Free Throw In (1/2 -  1 pt),FTM,4.0,2.0,AX Armani Exchange Olimpia Milan,0
TEL       ,,43,08:35,2,15,"BOLDEN, JONAH",P007988   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
MIL       ,,19,08:32,2,16,"KUZMINSKAS, MINDAUGAS",P002008   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,08:27,2,17,"GOUDELOCK, ANDREW",P004903   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,08:24,2,18,"GOUDELOCK, ANDREW",P004903   ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,08:14,2,19,"GOUDELOCK, ANDREW",P004903   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
TEL       ,,55,08:11,2,20,"JACKSON, PIERRE",P005112   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,5,08:05,2,21,"ROLL, MICHAEL",P004974   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,4.0,Maccabi FOX Tel Aviv,0
TEL       ,,55,08:02,2,22,"JACKSON, PIERRE",P005112   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0
MIL       ,,25,07:46,3,24,"THEODORE, JORDAN",P007946   ,Three Pointer (2/2 -  6 pt),3FGM,7.0,4.0,AX Armani Exchange Olimpia Milan,0
TEL       ,,45,07:24,3,25,"PARAKHOUSKI, ARTSIOM",P003034   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Maccabi FOX Tel Aviv,0
TEL       ,,43,07:24,3,26,"BOLDEN, JONAH",P007988   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0
TEL       ,,43,07:24,3,27,"BOLDEN, JONAH",P007988   ,Two Pointer (1/2 -  2 pt),2FGM,7.0,6.0,Maccabi FOX Tel Aviv,0
MIL       ,,19,07:09,3,28,"KUZMINSKAS, MINDAUGAS",P002008   ,Missed Two Pointer (0/1 -  1 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
TEL       ,,43,07:06,3,29,"BOLDEN, JONAH",P007988   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,7,07:02,3,30,"KANE, DEANDRE",P005781   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,8.0,Maccabi FOX Tel Aviv,0
TEL       ,,43,07:00,3,31,"BOLDEN, JONAH",P007988   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0
MIL       ,,25,06:36,4,33,"THEODORE, JORDAN",P007946   ,Missed Three Pointer (2/3 -  6 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
TEL       ,,5,06:33,4,34,"ROLL, MICHAEL",P004974   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,55,06:25,4,35,"JACKSON, PIERRE",P005112   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,10.0,Maccabi FOX Tel Aviv,0
TEL       ,,5,06:22,4,36,"ROLL, MICHAEL",P004974   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0
MIL       ,,5,06:08,4,37,"MICOV, VLADIMIR",P000529   ,Two Pointer (1/1 -  2 pt),2FGM,9.0,10.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,06:06,4,38,"KUZMINSKAS, MINDAUGAS",P002008   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
TEL       ,,7,05:56,5,40,"KANE, DEANDRE",P005781   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0
MIL       ,,0,05:56,5,41,"GOUDELOCK, ANDREW",P004903   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
TEL       ,,45,05:54,5,42,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (2/3 -  4 pt),2FGM,9.0,12.0,Maccabi FOX Tel Aviv,0
TEL       ,,43,05:51,5,43,"BOLDEN, JONAH",P007988   ,Assist (2),AS,,,Maccabi FOX Tel Aviv,0
MIL       ,,19,05:27,5,44,"KUZMINSKAS, MINDAUGAS",P002008   ,Two Pointer (1/2 -  3 pt),2FGM,11.0,12.0,AX Armani Exchange Olimpia Milan,0
TEL       ,,45,05:17,5,45,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0
MIL       ,,15,05:17,5,46,"TARCZEWSKI, KALEB",P008004   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,05:14,5,47,"TARCZEWSKI, KALEB",P008004   ,Out,OUT,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,77,05:14,5,48,"GUDAITIS, ARTURAS",P003120   ,In,IN,,,AX Armani Exchange Olimpia Milan,0
TEL       ,,1,05:14,5,49,"THOMAS, DESHAUN",P005094   ,In,IN,,,Maccabi FOX Tel Aviv,0
TEL       ,,43,05:14,5,50,"BOLDEN, JONAH",P007988   ,Out,OUT,,,Maccabi FOX Tel Aviv,0
